Prop	Altura	Erro
0.05	463.47696	4.63096
0.1	455.57304	4.91764
0.15	456.61148	5.01493
0.2	468.74806	5.49659
0.25	510.64834	5.57388
0.3	489.35618	5.3032
0.35	549.23456	6.15938
0.4	518.70195	5.87494
0.45	622.83874	6.3702
0.5	617.50798	6.24413
0.6	609.31702	6.02384
0.65	721.02215	6.60383
0.7	746.853	6.53768
0.75	700.37615	6.36047
0.8	695.41502	6.31361
0.9	823.49282	7.21209
1	769.23638	6.38286
1.2	932.75824	7.95992
1.4	1024.22817	7.31971
1.5	1003.32593	7.41441
1.6	1039.84385	7.24597
2	1124.51734	9.81947
2.5	1153.96361	11.6708
3	1152.31341	10.4011
