C	DH
0.02621	3.22408
0.04587	3.18483
0.06553	2.93696
0.08519	2.70503
0.10485	2.50908
0.1245	2.42697
0.14416	2.3017
0.16382	2.11691
0.18348	1.88143
0.20314	1.45568
0.2228	0.15451
0.24246	-3.08975
0.26211	-7.32963
0.28177	-8.79621
0.30143	-11.75342
0.32109	-11.99226
0.34075	-11.06331
0.36041	-11.2563
0.38007	-11.75366
0.39972	-11.78928
0.41938	-11.35162
0.43904	-11.24733
0.4587	-11.10608
0.47836	-10.72465
0.49802	-10.55583
0.51768	-10.72149
0.53734	-9.89404
0.55699	-9.60941
0.57665	-9.75519
0.59631	-9.33119
0.61597	-8.66371
0.63563	-8.91468
0.65529	-8.65053
0.67495	-7.99978
0.6946	-8.03155
0.71426	-8.11476
0.73392	-7.55943
0.75358	-7.44325
0.77324	-7.50245
0.7929	-7.08281
0.81256	-6.89858
0.83221	-6.2539
0.85187	-6.32868
0.87153	-5.8543
0.89119	-5.84687
0.91085	-5.86164
0.93051	-5.14766
0.95017	-4.90783
0.96982	-4.79254
0.98948	-4.54796
1.00914	-3.98099
1.0288	-3.82649
1.04846	-4.10513
1.06812	-3.42926
1.08778	-3.15133
1.10743	-2.99396
1.12709	-2.64228
1.14675	-2.29251
1.16641	-2.11752
1.18607	-2.09211
1.20573	-1.75091
1.22539	-1.62999
1.24504	-1.34924
1.2647	-0.22351
1.28436	-1.34538
1.30402	-1.13789
1.32368	-0.89727
1.34334	-0.74507
1.363	-0.80339
1.38265	-0.71597
1.40231	-0.53356
1.42197	-0.75416
1.44163	-0.63236
1.46129	-0.53357
1.48095	-0.42744
1.50061	-0.23487
1.52027	-0.2315
1.53992	-0.12059
1.55958	-0.17868
