q[nm-1] time=2017-08-25T17:42:45.519214+0200|I_title=SSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7-time=2017-08-25T16:04:56.211499+0200|I_title=wat_FT_3|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7 
2.7894900000e-02 4.1200000000e-03 1.3380496791e-02 
3.1614200000e-02 4.0000000000e-06 8.1772053836e-03 
3.5333500000e-02 -5.8800000000e-04 5.8452880900e-03 
3.9052800000e-02 -1.6100000000e-03 4.4287843407e-03 
4.2772200000e-02 -4.1460000000e-03 3.4592587526e-03 
4.6491500000e-02 -2.1240000000e-03 2.8067106445e-03 
5.0210800000e-02 -3.8000000000e-04 2.3355133379e-03 
5.3930100000e-02 -5.6000000000e-05 1.9703587657e-03 
5.7649400000e-02 -2.8400000000e-04 1.6859289101e-03 
6.1368800000e-02 -4.6400000000e-05 1.4630744513e-03 
6.5088100000e-02 -7.4940000000e-04 1.2762442230e-03 
6.8807400000e-02 -6.9680000000e-04 1.1252279450e-03 
7.2526700000e-02 -1.1361000000e-03 9.9604355459e-04 
7.6246000000e-02 -1.3571000000e-03 8.8226092778e-04 
7.9965300000e-02 -8.5380000000e-04 7.7172075419e-04 
8.3684700000e-02 -1.0414000000e-03 7.0133133940e-04 
8.7404000000e-02 -1.4807000000e-03 6.4144886001e-04 
9.1123300000e-02 -9.4110000000e-04 6.0078130520e-04 
9.4842600000e-02 -4.0630000000e-04 5.6470382994e-04 
9.8561900000e-02 -8.0500000000e-05 5.2730074532e-04 
1.0228100000e-01 1.7240000000e-04 4.9904662801e-04 
1.0600100000e-01 2.1540000000e-04 4.7237713488e-04 
1.0972000000e-01 -5.2300000000e-05 4.4528632360e-04 
1.1343900000e-01 -2.0600000000e-04 4.2351229562e-04 
1.1715900000e-01 -8.9500000000e-05 4.0766558619e-04 
1.2087800000e-01 -9.0100000000e-05 3.9051150619e-04 
1.2459700000e-01 -3.2460000000e-04 3.7297668014e-04 
1.2831600000e-01 -3.2160000000e-04 3.5838460593e-04 
1.3203600000e-01 -3.4700000000e-04 3.4634941190e-04 
1.3575500000e-01 -2.8670000000e-04 3.3542248369e-04 
1.3947400000e-01 3.6050000000e-04 3.3133211256e-04 
1.4319400000e-01 1.2460000000e-04 3.1877152024e-04 
1.4691300000e-01 4.3120000000e-05 3.0925899795e-04 
1.5063200000e-01 8.9270000000e-05 3.0178946733e-04 
1.5435200000e-01 7.8760000000e-05 2.9454532874e-04 
1.5807100000e-01 -4.0030000000e-05 2.8628022598e-04 
1.6179000000e-01 -3.9590000000e-05 2.8078400840e-04 
1.6551000000e-01 -2.7366000000e-04 2.7327908903e-04 
1.6922900000e-01 -7.9410000000e-05 2.7056850275e-04 
1.7294800000e-01 1.8380000000e-04 2.6840092646e-04 
1.7666800000e-01 1.5890000000e-04 2.6249199632e-04 
1.8038700000e-01 7.2440000000e-05 2.5615289382e-04 
1.8410600000e-01 2.1733000000e-04 2.5239214981e-04 
1.8782600000e-01 2.3199000000e-04 2.4880524223e-04 
1.9154500000e-01 3.2128000000e-04 2.4599629284e-04 
1.9526400000e-01 2.4361000000e-04 2.4121437852e-04 
1.9898400000e-01 1.3123000000e-04 2.3797771585e-04 
2.0270300000e-01 -1.2904000000e-04 2.3171802267e-04 
2.0642200000e-01 -2.7126000000e-04 2.2754704045e-04 
2.1014100000e-01 -1.1877000000e-04 2.2678640513e-04 
2.1386100000e-01 4.3110000000e-05 2.2622720217e-04 
2.1758000000e-01 -2.5610000000e-04 2.1937841641e-04 
2.2129900000e-01 -1.9720000000e-04 2.1739968960e-04 
2.2501900000e-01 2.9060000000e-05 2.1838773200e-04 
2.2873800000e-01 2.0649000000e-04 2.1760369179e-04 
2.3245700000e-01 4.1955000000e-04 2.1684914004e-04 
2.3617700000e-01 7.3435000000e-04 2.1723129700e-04 
2.3989600000e-01 3.0832000000e-04 2.1075374024e-04 
2.4361500000e-01 2.1196000000e-04 2.0835977947e-04 
2.4733500000e-01 1.4602000000e-04 2.0723908262e-04 
2.5105400000e-01 3.9923000000e-04 2.0717809012e-04 
2.5477300000e-01 6.5014000000e-04 2.0716263447e-04 
2.5849300000e-01 6.8048000000e-04 2.0621771986e-04 
2.6221200000e-01 4.8430000000e-04 2.0189739210e-04 
2.6593100000e-01 3.8522000000e-04 1.9961176903e-04 
2.6965100000e-01 6.9945000000e-04 2.0075103928e-04 
2.7337000000e-01 6.0140000000e-04 1.9752145302e-04 
2.7708900000e-01 3.1448000000e-04 1.9281297988e-04 
2.8080900000e-01 4.1524000000e-04 1.9231888500e-04 
2.8452800000e-01 3.3965000000e-04 1.9022293027e-04 
2.8824700000e-01 4.1384000000e-04 1.9000674710e-04 
2.9196600000e-01 4.3618000000e-04 1.8921234166e-04 
2.9568600000e-01 3.8961000000e-04 1.8699120441e-04 
2.9940500000e-01 4.0156000000e-04 1.8590514720e-04 
3.0312400000e-01 4.8654000000e-04 1.8556569885e-04 
3.0684400000e-01 5.4577000000e-04 1.8448826559e-04 
3.1056300000e-01 4.0717000000e-04 1.8220575727e-04 
3.1428200000e-01 6.0733000000e-04 1.8423525884e-04 
3.1800200000e-01 6.0945000000e-04 1.8304466263e-04 
3.2172100000e-01 4.8021000000e-04 1.8036562640e-04 
3.2544000000e-01 6.4549000000e-04 1.8006833060e-04 
3.2916000000e-01 7.1149000000e-04 1.7935805658e-04 
3.3287900000e-01 6.4480000000e-04 1.7804407350e-04 
3.3659800000e-01 5.5550000000e-04 1.7584837540e-04 
3.4031800000e-01 4.3262000000e-04 1.7387085330e-04 
3.4403700000e-01 5.5018000000e-04 1.7417475761e-04 
3.4775600000e-01 6.5432000000e-04 1.7415794265e-04 
3.5147600000e-01 6.6917000000e-04 1.7284210114e-04 
3.5519500000e-01 1.0128200000e-03 1.7383025314e-04 
3.5891400000e-01 9.1368000000e-04 1.7199234418e-04 
3.6263400000e-01 9.9209000000e-04 1.7169633725e-04 
3.6635300000e-01 1.2020200000e-03 1.7235828854e-04 
3.7007200000e-01 1.0308500000e-03 1.7139990022e-04 
3.7379100000e-01 1.0280200000e-03 1.7044849994e-04 
3.7751100000e-01 9.8388000000e-04 1.6875430362e-04 
3.8123000000e-01 1.0416300000e-03 1.6834489598e-04 
3.8494900000e-01 8.7471000000e-04 1.6649341842e-04 
3.8866900000e-01 8.8008000000e-04 1.6550265376e-04 
3.9238800000e-01 1.0559100000e-03 1.6627803828e-04 
3.9610700000e-01 1.0793600000e-03 1.6571800727e-04 
3.9982700000e-01 1.0747500000e-03 1.6455477431e-04 
4.0354600000e-01 1.1984600000e-03 1.6450777227e-04 
4.0726500000e-01 1.2546100000e-03 1.6422833493e-04 
4.1098500000e-01 1.1612300000e-03 1.6298546261e-04 
4.1470400000e-01 1.2246400000e-03 1.6246714066e-04 
4.1842300000e-01 1.5073900000e-03 1.6359782363e-04 
4.2214300000e-01 1.5503000000e-03 1.6340404525e-04 
4.2586200000e-01 1.6415200000e-03 1.6343708974e-04 
4.2958100000e-01 1.5612500000e-03 1.6156828856e-04 
4.3330100000e-01 1.6075400000e-03 1.6107062073e-04 
4.3702000000e-01 1.6364800000e-03 1.6052116954e-04 
4.4073900000e-01 1.8674900000e-03 1.6171543046e-04 
4.4445900000e-01 1.9042100000e-03 1.6161164139e-04 
4.4817800000e-01 1.9365400000e-03 1.6119383371e-04 
4.5189700000e-01 1.9376200000e-03 1.6050964636e-04 
4.5561700000e-01 2.2816500000e-03 1.6168738059e-04 
4.5933600000e-01 2.6318000000e-03 1.6328499743e-04 
4.6305500000e-01 2.7287900000e-03 1.6353714836e-04 
4.6677400000e-01 2.5723900000e-03 1.6156614192e-04 
4.7049400000e-01 2.6482400000e-03 1.6143545100e-04 
