q[nm-1] time=2017-08-25T17:54:39.604838+0200|I_title=SSH2_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7-time=2017-08-25T16:04:56.211499+0200|I_title=wat_FT_3|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7 
2.7894900000e-02 -1.3520000000e-02 1.3531344633e-02 
3.1614200000e-02 -5.8230000000e-03 8.2924591445e-03 
3.5333500000e-02 -6.8830000000e-03 5.9134076702e-03 
3.9052800000e-02 -9.6630000000e-03 4.4628210891e-03 
4.2772200000e-02 -7.6230000000e-03 3.4982185840e-03 
4.6491500000e-02 -4.7540000000e-03 2.8389880412e-03 
5.0210800000e-02 -6.1530000000e-03 2.3378631461e-03 
5.3930100000e-02 -4.7750000000e-03 1.9713906012e-03 
5.7649400000e-02 -1.1280000000e-03 1.7088462421e-03 
6.1368800000e-02 -1.7480000000e-04 1.4872934867e-03 
6.5088100000e-02 -1.5569000000e-03 1.2915142355e-03 
6.8807400000e-02 -1.4758000000e-03 1.1381199435e-03 
7.2526700000e-02 -1.4689000000e-03 1.0105666175e-03 
7.6246000000e-02 -2.2549000000e-03 8.9047554829e-04 
7.9965300000e-02 -1.6766000000e-03 7.7789629588e-04 
8.3684700000e-02 -1.2013000000e-03 7.1253466227e-04 
8.7404000000e-02 -1.0224000000e-03 6.5774105295e-04 
9.1123300000e-02 -2.6900000000e-04 6.1858999210e-04 
9.4842600000e-02 -3.1320000000e-04 5.7599111017e-04 
9.8561900000e-02 -3.9390000000e-04 5.3399132083e-04 
1.0228100000e-01 2.6310000000e-04 5.0953188523e-04 
1.0600100000e-01 4.9900000000e-04 4.8443152023e-04 
1.0972000000e-01 5.5580000000e-04 4.6061706949e-04 
1.1343900000e-01 1.1280000000e-04 4.3568702600e-04 
1.1715900000e-01 -2.4700000000e-04 4.1405217808e-04 
1.2087800000e-01 -3.0850000000e-04 3.9580266813e-04 
1.2459700000e-01 -4.1270000000e-04 3.7929113545e-04 
1.2831600000e-01 -3.9810000000e-04 3.6465885497e-04 
1.3203600000e-01 -3.3920000000e-04 3.5341617473e-04 
1.3575500000e-01 -5.0990000000e-04 3.3968654766e-04 
1.3947400000e-01 -4.6392000000e-04 3.2825232949e-04 
1.4319400000e-01 -1.0090000000e-04 3.2271232551e-04 
1.4691300000e-01 -1.6487000000e-04 3.1335221774e-04 
