q[nm-1] time=2017-08-25T18:23:53.458387+0200|I_title=NSH2_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7-time=2017-08-25T16:04:56.211499+0200|I_title=wat_FT_3|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7 
2.7894900000e-02 -1.4430000000e-02 1.3365125005e-02 
3.1614200000e-02 -1.3112000000e-02 8.1586383498e-03 
3.5333500000e-02 -9.3270000000e-03 5.8329638384e-03 
3.9052800000e-02 -2.5830000000e-03 4.4467068482e-03 
4.2772200000e-02 -4.9560000000e-03 3.4690233831e-03 
4.6491500000e-02 -1.8300000000e-03 2.8189716882e-03 
5.0210800000e-02 -9.7100000000e-04 2.3416462396e-03 
5.3930100000e-02 -3.2300000000e-04 1.9777738374e-03 
5.7649400000e-02 4.9100000000e-04 1.6993105573e-03 
6.1368800000e-02 2.3550000000e-04 1.4715641111e-03 
6.5088100000e-02 2.0419000000e-03 1.3041770450e-03 
6.8807400000e-02 3.3581000000e-03 1.1642219691e-03 
7.2526700000e-02 3.9769000000e-03 1.0449362060e-03 
7.6246000000e-02 3.2624000000e-03 9.2731285413e-04 
7.9965300000e-02 3.4129000000e-03 8.1305631277e-04 
8.3684700000e-02 3.3302000000e-03 7.4430567265e-04 
8.7404000000e-02 2.8468000000e-03 6.8527551644e-04 
9.1123300000e-02 1.8742000000e-03 6.3094287525e-04 
9.4842600000e-02 2.0159000000e-03 5.9122245802e-04 
9.8561900000e-02 2.9080000000e-03 5.5991746425e-04 
1.0228100000e-01 3.0368000000e-03 5.3083508039e-04 
1.0600100000e-01 2.6112000000e-03 4.9962765149e-04 
1.0972000000e-01 2.6547000000e-03 4.7624781973e-04 
1.1343900000e-01 2.6129000000e-03 4.5606764920e-04 
1.1715900000e-01 2.2614000000e-03 4.3512739073e-04 
1.2087800000e-01 1.8928000000e-03 4.1426430926e-04 
1.2459700000e-01 1.9497000000e-03 4.0030131714e-04 
1.2831600000e-01 2.2818000000e-03 3.8922953420e-04 
1.3203600000e-01 2.7636000000e-03 3.8239379866e-04 
1.3575500000e-01 2.5861000000e-03 3.6901323480e-04 
1.3947400000e-01 2.1747000000e-03 3.5309901912e-04 
1.4319400000e-01 1.9092000000e-03 3.4035127617e-04 
1.4691300000e-01 2.1426600000e-03 3.3433992336e-04 
1.5063200000e-01 2.3748200000e-03 3.2876054354e-04 
1.5435200000e-01 2.4686200000e-03 3.2253191749e-04 
1.5807100000e-01 2.4589400000e-03 3.1541664626e-04 
1.6179000000e-01 2.3413300000e-03 3.0858935395e-04 
1.6551000000e-01 2.1057800000e-03 3.0101028551e-04 
1.6922900000e-01 2.0840700000e-03 2.9563114852e-04 
1.7294800000e-01 2.0763500000e-03 2.9033462448e-04 
1.7666800000e-01 2.3118400000e-03 2.8713282387e-04 
1.8038700000e-01 2.1015800000e-03 2.7955918583e-04 
1.8410600000e-01 2.4979200000e-03 2.7819013783e-04 
1.8782600000e-01 2.6445900000e-03 2.7552930698e-04 
1.9154500000e-01 2.5930200000e-03 2.7119754793e-04 
1.9526400000e-01 2.4241500000e-03 2.6545787897e-04 
1.9898400000e-01 2.0058700000e-03 2.5903248919e-04 
2.0270300000e-01 2.1379900000e-03 2.5678522509e-04 
2.0642200000e-01 2.1881500000e-03 2.5443076441e-04 
2.1014100000e-01 1.9112200000e-03 2.4908591067e-04 
2.1386100000e-01 1.5867300000e-03 2.4338521248e-04 
2.1758000000e-01 1.5379200000e-03 2.3956083983e-04 
2.2129900000e-01 1.6872900000e-03 2.3850260770e-04 
2.2501900000e-01 1.7127600000e-03 2.3665286216e-04 
2.2873800000e-01 1.7696500000e-03 2.3457248364e-04 
2.3245700000e-01 2.0781600000e-03 2.3449309110e-04 
2.3617700000e-01 2.2112200000e-03 2.3282779718e-04 
2.3989600000e-01 1.9345200000e-03 2.2787694422e-04 
2.4361500000e-01 1.8169300000e-03 2.2512663580e-04 
2.4733500000e-01 2.0101200000e-03 2.2633471181e-04 
2.5105400000e-01 1.9869100000e-03 2.2337460336e-04 
2.5477300000e-01 2.0657000000e-03 2.2175218007e-04 
2.5849300000e-01 1.9617300000e-03 2.1904470218e-04 
2.6221200000e-01 2.1319400000e-03 2.1879093601e-04 
2.6593100000e-01 2.2271500000e-03 2.1830145460e-04 
2.6965100000e-01 2.1743900000e-03 2.1604126786e-04 
2.7337000000e-01 2.0577400000e-03 2.1239359848e-04 
2.7708900000e-01 2.0190700000e-03 2.0964577816e-04 
2.8080900000e-01 2.0293300000e-03 2.0809220831e-04 
2.8452800000e-01 2.0384100000e-03 2.0682152010e-04 
2.8824700000e-01 2.2088000000e-03 2.0718547612e-04 
2.9196600000e-01 2.0338900000e-03 2.0450010099e-04 
2.9568600000e-01 2.0818700000e-03 2.0310501257e-04 
2.9940500000e-01 2.0286600000e-03 2.0140947289e-04 
3.0312400000e-01 1.9236200000e-03 1.9938437633e-04 
3.0684400000e-01 1.9792600000e-03 1.9810257132e-04 
3.1056300000e-01 2.0064200000e-03 1.9703608687e-04 
3.1428200000e-01 1.8627000000e-03 1.9575355657e-04 
3.1800200000e-01 1.8303400000e-03 1.9386351889e-04 
3.2172100000e-01 2.0892700000e-03 1.9473528274e-04 
3.2544000000e-01 1.8294900000e-03 1.9131621338e-04 
3.2916000000e-01 1.5837400000e-03 1.8815839301e-04 
3.3287900000e-01 1.4704800000e-03 1.8596467340e-04 
3.3659800000e-01 1.8223400000e-03 1.8742606931e-04 
3.4031800000e-01 1.7996200000e-03 1.8618547330e-04 
3.4403700000e-01 1.8192200000e-03 1.8550153025e-04 
3.4775600000e-01 1.7688600000e-03 1.8414662178e-04 
3.5147600000e-01 1.8054300000e-03 1.8318087546e-04 
3.5519500000e-01 1.8493800000e-03 1.8158871781e-04 
3.5891400000e-01 2.0558800000e-03 1.8223111825e-04 
3.6263400000e-01 1.8143200000e-03 1.7932057864e-04 
3.6635300000e-01 1.6936800000e-03 1.7732209109e-04 
3.7007200000e-01 1.9887500000e-03 1.7980187367e-04 
3.7379100000e-01 1.8251100000e-03 1.7762224348e-04 
3.7751100000e-01 1.6842100000e-03 1.7545994858e-04 
3.8123000000e-01 1.8945100000e-03 1.7596892568e-04 
3.8494900000e-01 1.8092500000e-03 1.7451823935e-04 
3.8866900000e-01 1.8752200000e-03 1.7409731790e-04 
3.9238800000e-01 1.8517100000e-03 1.7339633524e-04 
3.9610700000e-01 1.8624300000e-03 1.7272290235e-04 
3.9982700000e-01 2.0393500000e-03 1.7295588298e-04 
4.0354600000e-01 2.0543200000e-03 1.7188260084e-04 
4.0726500000e-01 1.9509100000e-03 1.7035131705e-04 
4.1098500000e-01 1.9071300000e-03 1.6948100860e-04 
4.1470400000e-01 2.0652800000e-03 1.6971490340e-04 
4.1842300000e-01 2.2021800000e-03 1.6972282016e-04 
4.2214300000e-01 2.1303300000e-03 1.6856024984e-04 
4.2586200000e-01 2.0624500000e-03 1.6752214518e-04 
4.2958100000e-01 2.0391400000e-03 1.6607992542e-04 
4.3330100000e-01 2.1370700000e-03 1.6589137090e-04 
4.3702000000e-01 2.1962700000e-03 1.6550783427e-04 
4.4073900000e-01 2.1133700000e-03 1.6441771279e-04 
4.4445900000e-01 1.9242100000e-03 1.6269500565e-04 
