q[nm-1] (time=2017-08-25T18:36:42.335011+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:43.440293+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:44.542474+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:45.533121+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:46.753507+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:47.744863+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:49.057906+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:50.052011+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:50.932754+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:51.923383+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7)/10-time=2017-08-25T16:04:56.211499+0200|I_title=wat_FT_3|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7 
2.7894900000e-02 -2.5958000000e-02 5.7042827700e-03 
3.1614200000e-02 -1.3180900000e-02 3.4936401307e-03 
3.5333500000e-02 -5.7185000000e-03 2.5014684591e-03 
3.9052800000e-02 1.4760000000e-04 1.9029585990e-03 
4.2772200000e-02 2.4222000000e-03 1.4948943967e-03 
4.6491500000e-02 5.4973000000e-03 1.2147859929e-03 
5.0210800000e-02 6.7443000000e-03 1.0107045922e-03 
5.3930100000e-02 8.3527000000e-03 8.5650193560e-04 
5.7649400000e-02 9.0958000000e-03 7.3701701649e-04 
6.1368800000e-02 8.7306800000e-03 6.4064008657e-04 
6.5088100000e-02 8.9803700000e-03 5.6392856376e-04 
6.8807400000e-02 9.1210800000e-03 5.0007624241e-04 
7.2526700000e-02 9.3363400000e-03 4.4752948614e-04 
7.6246000000e-02 9.4122200000e-03 4.0050114472e-04 
7.9965300000e-02 8.9888700000e-03 3.4981601681e-04 
8.3684700000e-02 8.6678300000e-03 3.2006409723e-04 
8.7404000000e-02 8.6261400000e-03 2.9668101964e-04 
9.1123300000e-02 8.4584500000e-03 2.7707775351e-04 
9.4842600000e-02 8.5880500000e-03 2.6002548912e-04 
9.8561900000e-02 8.7052100000e-03 2.4338625700e-04 
1.0228100000e-01 8.4874800000e-03 2.2993203897e-04 
1.0600100000e-01 8.4048400000e-03 2.1827798507e-04 
1.0972000000e-01 8.3570800000e-03 2.0803650110e-04 
1.1343900000e-01 7.9598400000e-03 1.9866073554e-04 
1.1715900000e-01 7.8536000000e-03 1.9105845849e-04 
1.2087800000e-01 7.7017800000e-03 1.8344329285e-04 
1.2459700000e-01 7.4941400000e-03 1.7658713472e-04 
1.2831600000e-01 7.4890000000e-03 1.7039615935e-04 
1.3203600000e-01 7.3152500000e-03 1.6495538289e-04 
