q[nm-1] (time=2017-08-25T18:55:43.953921+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:44.837510+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:46.160563+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:47.041561+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:48.372136+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:49.356821+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:50.569218+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:51.561031+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:52.773996+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:53.675349+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7)/10-time=2017-08-25T16:04:56.211499+0200|I_title=wat_FT_3|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7 
2.7894900000e-02 4.7117700000e-01 6.2563136559e-03 
3.1614200000e-02 3.5171400000e-01 3.9013567258e-03 
3.5333500000e-02 2.5027420000e-01 2.8017957623e-03 
3.9052800000e-02 1.7349210000e-01 2.1205643254e-03 
4.2772200000e-02 1.1950650000e-01 1.6541187282e-03 
4.6491500000e-02 8.5536800000e-02 1.3323917918e-03 
5.0210800000e-02 6.2708100000e-02 1.0993089481e-03 
5.3930100000e-02 4.7514400000e-02 9.2314270530e-04 
5.7649400000e-02 3.5814600000e-02 7.8582922655e-04 
6.1368800000e-02 2.6976800000e-02 6.7636209360e-04 
6.5088100000e-02 2.1210960000e-02 5.8995803575e-04 
6.8807400000e-02 1.7467900000e-02 5.1937640944e-04 
7.2526700000e-02 1.4156960000e-02 4.5989574616e-04 
7.6246000000e-02 1.0986890000e-02 4.0554844057e-04 
7.9965300000e-02 8.5721200000e-03 3.5096634196e-04 
8.3684700000e-02 7.0472900000e-03 3.1850625883e-04 
8.7404000000e-02 6.2088100000e-03 2.9313060380e-04 
9.1123300000e-02 5.5301400000e-03 2.7211224243e-04 
9.4842600000e-02 4.6028500000e-03 2.5230031073e-04 
9.8561900000e-02 3.9907700000e-03 2.3357538486e-04 
1.0228100000e-01 3.6624400000e-03 2.1954968835e-04 
1.0600100000e-01 3.2622300000e-03 2.0683609259e-04 
1.0972000000e-01 2.9300400000e-03 1.9562992971e-04 
1.1343900000e-01 2.4823800000e-03 1.8587474657e-04 
1.1715900000e-01 2.2392900000e-03 1.7780675620e-04 
1.2087800000e-01 2.1659700000e-03 1.7021334379e-04 
1.2459700000e-01 1.9390200000e-03 1.6311576433e-04 
1.2831600000e-01 1.7614200000e-03 1.5636391762e-04 
