q[nm-1] (time=2017-08-27T11:40:00.871726+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:54:52.854367+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:55:52.482363+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T12:08:43.452803+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T12:17:35.706876+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T12:22:49.829196+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T12:50:23.501924+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T13:47:59.052968+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T13:56:52.607445+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:04:55.337465+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:14:11.471711+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:17:36.136098+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:36:17.772962+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:37:02.188043+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:42:13.212079+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:52:27.314072+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T15:11:56.542253+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T15:21:00.535366+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T15:21:59.057718+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T16:48:48.998839+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T16:51:33.765057+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T16:56:32.116173+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T17:08:33.136855+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T17:14:06.321496+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7)/24 
2.3246500000e-02 1.3797183333e+00 3.9307762713e-03 
3.2545100000e-02 7.6016775000e-01 1.2152017919e-03 
4.1843700000e-02 3.6854662500e-01 6.4745432877e-04 
5.1142300000e-02 1.8589925000e-01 3.9118835286e-04 
6.0440900000e-02 1.0549397500e-01 2.6271630235e-04 
6.9739500000e-02 6.5410758333e-02 1.8969439912e-04 
7.9038000000e-02 4.3278570833e-02 1.3520969603e-04 
8.8336600000e-02 3.1003270833e-02 1.0760274487e-04 
9.7635200000e-02 2.3426400000e-02 8.9593079376e-05 
1.0693400000e-01 1.7981400000e-02 7.5620542185e-05 
1.1623200000e-01 1.4433479167e-02 6.5972728103e-05 
1.2553100000e-01 1.2051800000e-02 5.8360853404e-05 
1.3483000000e-01 1.0294566667e-02 5.2435866390e-05 
1.4412800000e-01 9.0299350000e-03 4.7915440855e-05 
1.5342700000e-01 8.0609895833e-03 4.4229316879e-05 
1.6272500000e-01 7.3551245833e-03 4.1509334551e-05 
1.7202400000e-01 6.8293758333e-03 3.9457906476e-05 
1.8132300000e-01 6.4111558333e-03 3.7556196465e-05 
1.9062100000e-01 6.0983666667e-03 3.6173648544e-05 
1.9992000000e-01 5.7706966667e-03 3.4416902571e-05 
2.0921800000e-01 5.5237883333e-03 3.2896103216e-05 
2.1851700000e-01 5.3694500000e-03 3.2038441625e-05 
2.2781600000e-01 5.2558529167e-03 3.1290978518e-05 
2.3711400000e-01 5.1088845833e-03 3.0160468851e-05 
2.4641300000e-01 4.9778800000e-03 2.9380662471e-05 
2.5571100000e-01 4.9382962500e-03 2.9062220981e-05 
2.6501000000e-01 4.8216345833e-03 2.7929336762e-05 
2.7430900000e-01 4.7338475000e-03 2.7208784203e-05 
2.8360700000e-01 4.7154587500e-03 2.6958994815e-05 
2.9290600000e-01 4.6571787500e-03 2.6276178176e-05 
3.0220400000e-01 4.6324250000e-03 2.5774483656e-05 
3.1150300000e-01 4.6163295833e-03 2.5495921011e-05 
3.2080200000e-01 4.5825237500e-03 2.5152410286e-05 
3.3010000000e-01 4.5000575000e-03 2.4342842509e-05 
3.3939900000e-01 4.4587733333e-03 2.3797346238e-05 
3.4869700000e-01 4.5014008333e-03 2.3795027078e-05 
3.5799600000e-01 4.4584145833e-03 2.3397278416e-05 
3.6729400000e-01 4.3961504167e-03 2.2906751517e-05 
3.7659300000e-01 4.3931920833e-03 2.2746462707e-05 
3.8589200000e-01 4.3872512500e-03 2.2462209885e-05 
3.9519000000e-01 4.3691616667e-03 2.2050965231e-05 
4.0448900000e-01 4.3450283333e-03 2.1835780235e-05 
4.1378700000e-01 4.3305816667e-03 2.1542228902e-05 
4.2308600000e-01 4.3171608333e-03 2.1232554694e-05 
4.3238500000e-01 4.3290350000e-03 2.1120826034e-05 
4.4168300000e-01 4.3423729167e-03 2.0994918137e-05 
4.5098200000e-01 4.3601387500e-03 2.0868408664e-05 
4.6028000000e-01 4.3415812500e-03 2.0521020871e-05 
4.6957900000e-01 4.2961787500e-03 2.0141325332e-05 
4.7887800000e-01 4.2878812500e-03 1.9913963818e-05 
4.8817600000e-01 4.2872950000e-03 1.9780099763e-05 
4.9747500000e-01 4.2857529167e-03 1.9588791007e-05 
5.0677300000e-01 4.2698133333e-03 1.9328364375e-05 
5.1607200000e-01 4.2820933333e-03 1.9229471574e-05 
5.2537100000e-01 4.2651529167e-03 1.8950681672e-05 
5.3466900000e-01 4.2500037500e-03 1.8700793302e-05 
5.4396800000e-01 4.2421762500e-03 1.8581672070e-05 
5.5326600000e-01 4.2495333333e-03 1.8515779045e-05 
5.6256500000e-01 4.2629658333e-03 1.8468661378e-05 
5.7186400000e-01 4.2496758333e-03 1.8222949217e-05 
