q[nm-1] (time=2017-08-27T11:27:39.330466+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:40.545153+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:41.318206+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:41.978510+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:42.864010+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:43.631777+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:44.403655+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:45.176872+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:45.950328+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:47.272715+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7)/10 
2.3246500000e-02 1.1731060000e+00 3.8373625499e-03 
3.2545100000e-02 6.5729350000e-01 1.1981500760e-03 
4.1843700000e-02 3.1829560000e-01 6.3588286326e-04 
5.1142300000e-02 1.6191920000e-01 3.8661494738e-04 
6.0440900000e-02 9.1790760000e-02 2.5821576306e-04 
6.9739500000e-02 5.7262580000e-02 1.8540153287e-04 
7.9038000000e-02 3.8237310000e-02 1.3182126662e-04 
8.8336600000e-02 2.7514630000e-02 1.0433249042e-04 
9.7635200000e-02 2.1032490000e-02 8.6613953209e-05 
1.0693400000e-01 1.6386880000e-02 7.2999483158e-05 
1.1623200000e-01 1.3262260000e-02 6.2987026031e-05 
1.2553100000e-01 1.1102350000e-02 5.5491656257e-05 
1.3483000000e-01 9.5154920000e-03 4.9594472882e-05 
1.4412800000e-01 8.4317130000e-03 4.5187757841e-05 
1.5342700000e-01 7.6300550000e-03 4.1686654819e-05 
1.6272500000e-01 6.9999220000e-03 3.8800692074e-05 
1.7202400000e-01 6.5398320000e-03 3.6506525727e-05 
1.8132300000e-01 6.1562070000e-03 3.4511679912e-05 
1.9062100000e-01 5.8138850000e-03 3.2724862189e-05 
1.9992000000e-01 5.6190760000e-03 3.1431737568e-05 
2.0921800000e-01 5.4583330000e-03 3.0297074687e-05 
2.1851700000e-01 5.2862440000e-03 2.9170875775e-05 
2.2781600000e-01 5.1139380000e-03 2.8108379243e-05 
2.3711400000e-01 4.9707970000e-03 2.7176186024e-05 
2.4641300000e-01 4.9114730000e-03 2.6498940738e-05 
