name;scale;err;d_head;err.1;rad_core;err.2;rho_rel;err.3;d_cq;err.9;nu_rpa;err.10
P615ave.dat;0.1301;0.0009331;16.35;0.107;9.99;0.04803;0.111;0.0018260000000000001;104.3;1.4340000000000002;37.59;1.126
P615m01.dat;0.1227;0.0030670000000000003;19.26;0.2604;9.544;0.1132;0.07996;0.00294;79.66;1.365;87.48;4.651
6ave.dat;0.14400000000000002;0.00106;19.3;0.28600000000000003;8.11;0.152;0.06;0.00315;105.0;1.18;38.5;0.9179999999999999
P6d3m_01.dat;0.121;0.00309;20.6;0.621;8.8;0.312;0.0633;0.006409999999999999;85.4;1.48;69.5;3.4
100ave.dat;0.1843;0.0025050000000000003;17.51;0.5755;8.15;0.302;0.06902;0.007751999999999999;81.04;2.0180000000000002;25.16;0.9038
100_01.dat;0.1442;0.004722;19.44;0.9664;8.031;0.5007;0.05848;0.010209999999999999;79.12;2.96;38.73;2.7710000000000004
55ave.dat;0.08892;0.00116;17.03;0.5887;8.157;0.3202;0.07397000000000001;0.008496;85.42;3.306;15.75;0.7337
55_01.dat;0.06917999999999999;0.002682;20.59;1.2229999999999999;7.391;0.6696;0.047369999999999995;0.01123;97.18;8.406;22.14;3.055
75ave.dat;0.1256;0.001041;17.6;0.3686;7.9639999999999995;0.2004;0.06734;0.0050149999999999995;91.53;1.8869999999999998;20.36;0.5834
75_01.dat;0.09043999999999999;0.002869;23.34;0.8368;5.9910000000000005;0.4807;0.02705;0.0050479999999999995;93.32;6.569;20.43;2.215
