name;scale;err;d_head;err;rad_core;err;rho_rel;err;sigma;err;bck;err;l_cont;err;b_kuhn;err;eps_xs;err;d_cq;err;nu_rpa;err;sc_pow;err;exp;err
P615ave.dat;0.1301E+00;0.9331E-03;0.1635E+02;0.1070E+00;0.9990E+01;0.4803E-01;0.1110E+00;0.1826E-02;0.1000E+01;*FIXED;0.4969E-03;0.2460E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1043E+03;0.1434E+01;0.3759E+02;0.1126E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m01.dat;0.1227E+00;0.3067E-02;0.1926E+02;0.2604E+00;0.9544E+01;0.1132E+00;0.7996E-01;0.2940E-02;0.1000E+01;*FIXED;0.4550E-03;0.7656E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.7966E+02;0.1365E+01;0.8748E+02;0.4651E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m02.dat;0.1277E+00;0.2506E-02;0.1761E+02;0.2597E+00;0.9656E+01;0.1163E+00;0.9362E-01;0.3668E-02;0.1000E+01;*FIXED;0.5067E-03;0.7022E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.9428E+02;0.2841E+01;0.4373E+02;0.2954E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m03.dat;0.1386E+00;0.2615E-02;0.1633E+02;0.2807E+00;0.1005E+02;0.1228E+00;0.1102E+00;0.4706E-02;0.1000E+01;*FIXED;0.5209E-03;0.6082E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.9478E+02;0.2970E+01;0.4122E+02;0.2755E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m04.dat;0.1347E+00;0.2864E-02;0.1595E+02;0.3081E+00;0.1015E+02;0.1358E+00;0.1174E+00;0.5548E-02;0.1000E+01;*FIXED;0.5220E-03;0.6418E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.9426E+02;0.3617E+01;0.3710E+02;0.2870E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m05.dat;0.1303E+00;0.2052E-02;0.1613E+02;0.2438E+00;0.1012E+02;0.1095E+00;0.1157E+00;0.4371E-02;0.1000E+01;*FIXED;0.5230E-03;0.5330E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1099E+03;0.2880E+01;0.4606E+02;0.3037E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m06.dat;0.1377E+00;0.2799E-02;0.1544E+02;0.3257E+00;0.1036E+02;0.1434E+00;0.1267E+00;0.6394E-02;0.1000E+01;*FIXED;0.5107E-03;0.6259E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1041E+03;0.3391E+01;0.4687E+02;0.3684E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m07.dat;0.1302E+00;0.2421E-02;0.1661E+02;0.2718E+00;0.9960E+01;0.1217E+00;0.1078E+00;0.4495E-02;0.1000E+01;*FIXED;0.5308E-03;0.6356E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1017E+03;0.3194E+01;0.4241E+02;0.3057E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m08.dat;0.1270E+00;0.2419E-02;0.1626E+02;0.2892E+00;0.9977E+01;0.1314E+00;0.1127E+00;0.5084E-02;0.1000E+01;*FIXED;0.5184E-03;0.6724E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1114E+03;0.3942E+01;0.4081E+02;0.3442E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m09.dat;0.1319E+00;0.2643E-02;0.1535E+02;0.3014E+00;0.1030E+02;0.1338E+00;0.1282E+00;0.6015E-02;0.1000E+01;*FIXED;0.5221E-03;0.5861E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.9960E+02;0.3780E+01;0.3707E+02;0.2929E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
