name;scale;err;d_head;err;rad_core;err;rho_rel;err;sigma;err;bck;err;l_cont;err;b_kuhn;err;eps_xs;err;d_cq;err;nu_rpa;err;sc_pow;err;exp;err
6ave.dat;1.44E-01;1.06E-03;1.93E+01;2.86E-01;8.11E+00;1.52E-01;6.00E-02;3.15E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.05E+02;1.18E+00;3.85E+01;9.18E-01;6.76E-04;4.27E-05;4.00E+00;*FIXED
P6d3m_01.dat;1.21E-01;3.09E-03;2.06E+01;6.21E-01;8.80E+00;3.12E-01;6.33E-02;6.41E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;8.54E+01;1.48E+00;6.95E+01;3.40E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_02.dat;1.41E-01;2.87E-03;2.06E+01;6.68E-01;7.70E+00;3.53E-01;4.99E-02;6.10E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;9.73E+01;2.30E+00;4.73E+01;2.47E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_03.dat;1.46E-01;3.18E-03;2.03E+01;7.22E-01;7.72E+00;3.79E-01;5.07E-02;6.75E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;9.38E+01;2.48E+00;4.38E+01;2.39E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_04.dat;1.43E-01;2.55E-03;2.03E+01;6.23E-01;7.75E+00;3.31E-01;5.13E-02;5.91E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.03E+02;2.58E+00;4.00E+01;2.04E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_05.dat;1.42E-01;2.49E-03;2.07E+01;6.48E-01;7.36E+00;3.52E-01;4.56E-02;5.76E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.12E+02;2.86E+00;4.17E+01;2.34E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_06.dat;1.45E-01;2.57E-03;2.00E+01;6.70E-01;7.79E+00;3.58E-01;5.29E-02;6.59E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.08E+02;2.70E+00;4.28E+01;2.31E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_07.dat;1.47E-01;2.60E-03;2.00E+01;6.81E-01;7.74E+00;3.63E-01;5.22E-02;6.71E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.07E+02;2.73E+00;4.17E+01;2.25E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_08.dat;1.42E-01;2.78E-03;2.14E+01;6.83E-01;6.99E+00;3.73E-01;3.95E-02;5.41E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.05E+02;2.96E+00;3.94E+01;2.26E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_09.dat;1.40E-01;2.38E-03;2.05E+01;6.19E-01;7.60E+00;3.34E-01;4.92E-02;5.71E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.11E+02;2.93E+00;3.79E+01;2.07E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_10.dat;1.41E-01;2.39E-03;2.02E+01;6.36E-01;7.64E+00;3.44E-01;5.07E-02;6.12E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.11E+02;2.90E+00;3.87E+01;2.11E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_11.dat;1.43E-01;2.36E-03;2.11E+01;6.06E-01;7.28E+00;3.28E-01;4.33E-02;5.12E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.12E+02;2.89E+00;3.81E+01;2.05E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_12.dat;1.40E-01;2.18E-03;2.06E+01;5.93E-01;7.39E+00;3.24E-01;4.64E-02;5.34E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.17E+02;2.67E+00;4.30E+01;2.25E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_13.dat;1.44E-01;2.30E-03;2.06E+01;6.09E-01;7.49E+00;3.27E-01;4.69E-02;5.44E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.14E+02;2.89E+00;3.83E+01;2.04E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_14.dat;1.33E-01;2.48E-03;2.07E+01;6.37E-01;7.70E+00;3.44E-01;5.01E-02;5.92E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.12E+02;3.48E+00;3.50E+01;2.18E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_15.dat;1.46E-01;2.63E-03;1.99E+01;7.08E-01;7.75E+00;3.78E-01;5.24E-02;6.97E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.09E+02;2.70E+00;4.42E+01;2.42E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_16.dat;1.44E-01;2.29E-03;1.98E+01;6.17E-01;7.92E+00;3.28E-01;5.53E-02;6.31E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.09E+02;2.44E+00;4.30E+01;2.10E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_17.dat;1.45E-01;2.68E-03;1.96E+01;7.08E-01;7.85E+00;3.78E-01;5.51E-02;7.29E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.04E+02;2.89E+00;3.88E+01;2.14E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_18.dat;1.46E-01;2.96E-03;1.93E+01;7.98E-01;8.05E+00;4.24E-01;5.90E-02;8.65E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.05E+02;3.11E+00;3.98E+01;2.39E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_19.dat;1.42E-01;2.27E-03;1.87E+01;6.81E-01;8.39E+00;3.63E-01;6.68E-02;8.25E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.15E+02;2.68E+00;4.35E+01;2.30E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_20.dat;1.49E-01;2.47E-03;1.86E+01;7.02E-01;8.48E+00;3.68E-01;6.80E-02;8.60E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.07E+02;2.47E+00;4.38E+01;2.19E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_21.dat;1.42E-01;2.84E-03;1.86E+01;8.25E-01;8.45E+00;4.39E-01;6.87E-02;1.03E-02;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.08E+02;3.03E+00;4.34E+01;2.65E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_22.dat;1.42E-01;2.50E-03;1.95E+01;7.03E-01;8.02E+00;3.76E-01;5.79E-02;7.57E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.12E+02;2.88E+00;4.21E+01;2.39E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_23.dat;1.41E-01;2.68E-03;2.04E+01;7.17E-01;7.57E+00;3.86E-01;4.88E-02;6.69E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.10E+02;2.77E+00;4.62E+01;2.67E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_24.dat;1.41E-01;2.91E-03;2.00E+01;7.30E-01;7.80E+00;3.88E-01;5.33E-02;7.20E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;9.96E+01;2.94E+00;3.82E+01;2.20E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_25.dat;1.39E-01;2.68E-03;1.94E+01;7.41E-01;8.10E+00;3.96E-01;5.95E-02;8.04E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.10E+02;3.32E+00;3.79E+01;2.34E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_26.dat;1.40E-01;2.63E-03;1.93E+01;7.36E-01;8.20E+00;3.92E-01;6.15E-02;8.25E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.09E+02;2.71E+00;4.64E+01;2.65E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_27.dat;1.42E-01;2.40E-03;1.89E+01;6.86E-01;8.33E+00;3.64E-01;6.51E-02;8.10E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.06E+02;2.55E+00;4.20E+01;2.14E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_28.dat;1.40E-01;2.47E-03;1.88E+01;7.36E-01;8.27E+00;3.95E-01;6.51E-02;8.84E-03;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.11E+02;2.83E+00;4.26E+01;2.37E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
P6d3m_29.dat;1.43E-01;2.71E-03;1.80E+01;7.79E-01;8.71E+00;4.12E-01;7.60E-02;1.06E-02;1.00E+00;*FIXED;0.00E+00;*FIXED;5.00E+03;*FIXED;1.00E+03;*FIXED;1.00E+00;*FIXED;1.03E+02;2.89E+00;3.90E+01;2.18E+00;1.00E-03;*FIXED;4.00E+00;*FIXED
