name;scale;err;d_head;err;rad_core;err;rho_rel;err;sigma;err;bck;err;l_cont;err;b_kuhn;err;eps_xs;err;d_cq;err;nu_rpa;err;sc_pow;err;exp;err
100ave.dat;0.1843E+00;0.2505E-02;0.1751E+02;0.5755E+00;0.8150E+01;0.3020E+00;0.6902E-01;0.7752E-02;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.8104E+02;0.2018E+01;0.2516E+02;0.9038E+00;0.3954E-03;0.7013E-04;0.4000E+01;*FIXED
100_01.dat;0.1442E+00;0.4722E-02;0.1944E+02;0.9664E+00;0.8031E+01;0.5007E+00;0.5848E-01;0.1021E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.7912E+02;0.2960E+01;0.3873E+02;0.2771E+01;0.8113E-03;0.1296E-03;0.4000E+01;*FIXED
100_02.dat;0.1738E+00;0.7002E-02;0.1853E+02;0.1299E+01;0.7944E+01;0.6681E+00;0.6096E-01;0.1454E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.7429E+02;0.5164E+01;0.2317E+02;0.2202E+01;0.3463E-03;0.1587E-03;0.4000E+01;*FIXED
100_03.dat;0.1809E+00;0.6553E-02;0.1897E+02;0.1280E+01;0.7528E+01;0.6675E+00;0.5305E-01;0.1305E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.7671E+02;0.4200E+01;0.2805E+02;0.2316E+01;0.5187E-03;0.1562E-03;0.4000E+01;*FIXED
100_04.dat;0.1822E+00;0.5611E-02;0.1767E+02;0.1208E+01;0.8147E+01;0.6314E+00;0.6819E-01;0.1539E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.7853E+02;0.4932E+01;0.2162E+02;0.1791E+01;0.2705E-03;0.1492E-03;0.4000E+01;*FIXED
100_05.dat;0.1757E+00;0.4193E-02;0.1911E+02;0.9547E+00;0.7528E+01;0.5124E+00;0.5308E-01;0.9967E-02;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.9049E+02;0.4175E+01;0.2590E+02;0.1841E+01;-0.6083E-04;0.1368E-03;0.4000E+01;*FIXED
100_06.dat;0.1719E+00;0.5379E-02;0.2158E+02;0.1050E+01;0.6195E+01;0.5862E+00;0.3122E-01;0.7279E-02;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.8684E+02;0.5265E+01;0.2418E+02;0.2191E+01;0.8912E-03;0.1690E-03;0.4000E+01;*FIXED
100_07.dat;0.1850E+00;0.5367E-02;0.2068E+02;0.1088E+01;0.6547E+01;0.5910E+00;0.3602E-01;0.8283E-02;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.8615E+02;0.4729E+01;0.2532E+02;0.2049E+01;0.4015E-03;0.1607E-03;0.4000E+01;*FIXED
100_08.dat;0.1805E+00;0.5191E-02;0.1972E+02;0.1022E+01;0.7113E+01;0.5465E+00;0.4545E-01;0.9239E-02;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.8203E+02;0.4426E+01;0.2450E+02;0.1908E+01;0.7499E-03;0.1505E-03;0.4000E+01;*FIXED
100_09.dat;0.1833E+00;0.5578E-02;0.1968E+02;0.1073E+01;0.7132E+01;0.5688E+00;0.4558E-01;0.9711E-02;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.7959E+02;0.4635E+01;0.2313E+02;0.1855E+01;0.1050E-03;0.1492E-03;0.4000E+01;*FIXED
