Inverso2.csv Xt (mM);Inverso2.csv ∆H (J/mol);Normal2-2.csv Xt (mM);Normal2-2.csv ∆H (J/mol);Normal2.csv Xt (mM);Normal2.csv ∆H (J/mol)
1,56956e-2;-388,63798;1,56956e-2;1104,61622;1,56956e-2;445,16886
6,78575e-2;-1572,20641;6,78575e-2;1197,82372;6,78575e-2;1023,45208
0,11977;-1687,32536;0,11977;857,43778;0,11977;1031,60197
0,17143;-1869,13878;0,17143;834,33377;0,17143;906,77812
0,22285;-1977,30748;0,22285;590,82517;0,22285;784,53763
0,27401;-2928,85928;0,27401;-418,93573;0,27401;654,61442
0,32493;-4100,13541;0,32493;-789,33987;0,32493;-230,42258
0,37559;-4841,42792;0,37559;-1016,47767;0,37559;-830,26062
0,42601;-6263,04163;0,42601;-1782,57320;0,42601;-1086,40516
0,47618;-7258,56299;0,47618;-1995,60695;0,47618;-1799,77929
0,52610;-7690,32991;0,52610;-4084,12816;0,52610;-1690,22403
0,57577;-7469,97818;0,57577;-5819,86825;0,57577;-2466,55538
0,62519;-7527,70164;0,62519;-6082,90537;0,62519;-5171,24068
0,67436;-7402,38020;0,67436;-6357,27832;0,67436;-5940,03477
0,72328;-7801,31192;0,72328;-6172,74711;0,72328;-5263,02686
0,77195;-7499,20918;0,77195;-6072,89030;0,77195;-5086,86472
0,82038;-7762,92823;0,82038;-5888,46395;0,82038;-5125,30405
0,86855;-7144,94044;0,86855;-5635,50601;0,86855;-5024,86947
0,91647;-7267,83612;0,91647;-5837,42899;0,91647;-5208,25877
0,96415;-6924,03530;0,96415;-5917,76120;0,96415;-5044,35828
1,01158;-6898,56452;1,01158;-5759,06781;1,01158;-4577,29276
1,05875;-6852,11176;1,05875;-5430,86697;1,05875;-4499,49629
1,10568;-6188,53747;1,10568;-5533,56620;1,10568;-4597,30014
1,15236;-6634,51126;1,15236;-5417,53398;1,15236;-4332,46735
1,19879;-6016,70108;1,19879;-5325,23842;1,19879;-4177,12572
1,24497;-5920,58817;1,24497;-4978,12144;1,24497;-3976,14375
1,29090;-5712,56553;1,29090;-5262,34151;1,29090;-3757,95738
1,33658;-5813,36618;1,33658;-5061,45008;1,33658;-3722,44410
1,38201;-5588,88967;1,38201;-4885,40611;1,38201;-3871,44976
1,42720;-5289,45310;1,42720;-4855,99293;1,42720;-3691,40826
1,47213;-5146,72747;1,47213;-4610,50470;1,47213;-3269,37232
1,51681;-5168,90625;1,51681;-4089,61379;1,51681;-2522,54773
1,56125;-5323,22032;1,56125;-4254,75073;1,56125;-2124,01894
1,60544;-4839,22031;1,60544;-4216,20799;1,60544;-2489,73059
1,64937;-4250,58099;1,64937;-3988,94905;1,64937;-2615,47936
1,69306;-4570,21711;1,69306;-3799,58298;1,69306;-2384,95609
1,73650;-4160,58404;1,73650;-3597,17930;1,73650;-2449,14427
1,77969;-4103,13091;1,77969;-3769,37887;1,77969;-2262,24451
