Composto;Concentração (% m/m);cmc/mM;DeltaH/kJ.mol-1;Índice de refração;Viscosidade;Cte dielétrica;Param Gordon
Água;0,00;3,980465;-4,331862588;1,3325;1,002;80,2;2,72648
Glicerina;5,00;3,95272;-7,5933612;1,3388;1,127;78,96;2,749596084
Glicerina;10,00;3,79222;-7,739862303;1,34481;1,31;77,55;2,70422
Glicerina;20,00;3,99695;-12,61696168;1,35749;1,76;74,72;2,60532
Glicerina;30,00;4,387;-15,1753433;1,3707;2,5;71,77;2,50642
Glicerina;40,00;4,93401;-17,05203973;1,38413;3,72;68,76;2,40752
Glicerina;50,00;6,21216;-21,81046792;1,39809;6;65,63;2,30862
Glicerina;60,00;7,90782;-18,44904728;1,41299;10,8;62,03;2,20972
Sacarose;5,00;3,64624;-6,085643305;1,3403;1,146;79,21;2,768773346
Sacarose;10,00;3,73389;-6,8287835;1,3478;1,336;78,04;2,76519506
Sacarose;20,00;3,4299;-9,550107316;1,3639;1,945;75,45;2,76674012
Sacarose;30,00;3,11327;-11,3012975;1,3812;3,187;72,64;2,76828518
Sacarose;40,00;2,91;-16,95340075;1,3999;6,162;69,45;2,76983024
Sacarose;50,00;1,21;-30,85948562;1,4201;15,431;65,88;2,7713753
Ureia;5,00;4,36849;-5,268448124;1,3401;1,033;82,89502;2,72648
Ureia;10,00;4,84674;-4,6282441;1,3476;1,074;85,03632;2,71323
Ureia;15,00;6,03099;-5,642340693;1,35525;1,1195;87,17762;2,69998
Ureia;20,00;6,45779;-5,127674103;1,3629;1,178;89,31892;2,68673
Ureia;25,00;7,4484;-5,154319149;1,3707;1,2525;91,46022;2,67348
Ureia;30,00;9,55765;-5,994160213;1,3785;1,3332;93,60152;2,66023
1,3BD;5,00;3,80207;-7,967211626;1,33988;1,1036265;76,949074;2,34676
1,3BD;10,00;4,35268;-13,36435854;1,34553;1,569233;74,443188;2,23286
1,3BD;15,00;4,91222;-16,51747756;1,35118;2,0348395;71,937302;2,11896
1,3BD;20,00;5,04993;-20,70659403;1,35683;2,500446;69,431416;2,00506
1,3BD;30,00;9;-16,40147461;1,36248;2,9660525;66,92553;1,89116
DMSO;5,00;4,27732;-6,46529639;1,339;0,96;78,02;2,60836
DMSO;10,00;4,86178;-8,024460263;1,3458;1,06;77,75;2,53151
DMSO;15,00;5,60665;-11,16751424;1,3527;1,18;77,48;2,45466
DMSO;20,00;6,674285;-15,43798935;1,36;1,34;77,21;2,37781
DMSO;25,00;7,47234;-18,0615431;1,3677;1,5;76,93;2,30096
DMSO;30,00;8,95641;-18,72796262;1,3754;1,69;76,66;2,22411
