13BD 10p.csv Xt (mM);13BD 10p.csv ∆H (J/mol);13BD 15p-2.csv Xt (mM);13BD 15p-2.csv ∆H (J/mol);13BD 15p.csv Xt (mM);13BD 15p.csv ∆H (J/mol);13BD 20p.csv Xt (mM);13BD 20p.csv ∆H (J/mol);13BD 5p.csv Xt (mM);13BD 5p.csv ∆H (J/mol);Agua 2018.csv Xt (mM);Agua 2018.csv ∆H (J/mol);DMSO 05p.csv Xt (mM);DMSO 05p.csv ∆H (J/mol);DMSO 10p.csv Xt (mM);DMSO 10p.csv ∆H (J/mol);DMSO 15p-3.csv Xt (mM);DMSO 15p-3.csv ∆H (J/mol);DMSO 20p-2.csv Xt (mM);DMSO 20p-2.csv ∆H (J/mol);DMSO 25p.csv Xt (mM);DMSO 25p.csv ∆H (J/mol);DMSO 30p.csv Xt (mM);DMSO 30p.csv ∆H (J/mol);Glic 10p-2.csv Xt (mM);Glic 10p-2.csv ∆H (J/mol);Glic 20p.csv Xt (mM);Glic 20p.csv ∆H (J/mol);Glic 30p.csv Xt (mM);Glic 30p.csv ∆H (J/mol);Glic 40p-2.csv Xt (mM);Glic 40p-2.csv ∆H (J/mol);Glic 50p.csv Xt (mM);Glic 50p.csv ∆H (J/mol);Glic 5p.csv Xt (mM);Glic 5p.csv ∆H (J/mol);Glic 60p.csv Xt (mM);Glic 60p.csv ∆H (J/mol);Sac 10p.csv Xt (mM);Sac 10p.csv ∆H (J/mol);Sac 20p.csv Xt (mM);Sac 20p.csv ∆H (J/mol);Sac 30p.csv Xt (mM);Sac 30p.csv ∆H (J/mol);Sac 40p.csv Xt (mM);Sac 40p.csv ∆H (J/mol);Sac 50p.csv Xt (mM);Sac 50p.csv ∆H (J/mol);Sac 5p.csv Xt (mM);Sac 5p.csv ∆H (J/mol);Ureia 10p.csv Xt (mM);Ureia 10p.csv ∆H (J/mol);Ureia 15p.csv Xt (mM);Ureia 15p.csv ∆H (J/mol);Ureia 20p-2.csv Xt (mM);Ureia 20p-2.csv ∆H (J/mol);Ureia 25p-2.csv Xt (mM);Ureia 25p-2.csv ∆H (J/mol);Ureia 30p.csv Xt (mM);Ureia 30p.csv ∆H (J/mol);Ureia 5p.csv Xt (mM);Ureia 5p.csv ∆H (J/mol)
0,10131;661,56365;0,18873;7494,67904;0,13627;858,33297;0,19301;21433,68846;7,27E-02;355,74191;6,02E-02;4054,29525;6,96E-02;376,05461;0,14476;2081,93867;9,42E-02;10079,72175;0,11372;11356,49815;0,2213;7117,41698;0,14654;16022,88614;6,12E-02;6845,37033;7,23E-02;10162,07969;7,63E-02;11936,12532;8,58E-02;13723,64849;0,19135;14196,33551;7,56E-02;6355,67129;0,18944;13709,48429;6,08E-02;2443,79361;8,22E-02;4447,6412;7,89E-02;5318,92288;0,10364;8253,52382;5,85E-02;2581,44828;5,94E-02;4914,70608;5,89E-02;516,70901;8,56E-02;788,49372;7,39E-02;245,35878;8,88E-02;311,37049;0,14169;257,7406;5,95E-02;511,11367
0,43799;13650,16691;0,56489;17030,83935;0,58913;17408,0201;0,57769;21762,53177;0,31449;8508,43177;0,26033;5077,12961;0,30104;5322,11941;0,43327;4431,92063;0,31339;13438,8999;0,37844;15433,03836;0,66235;17553,31075;0,48765;19919,48005;0,21386;8794,47657;0,25239;12817,99248;0,26633;16089,80121;0,29954;17777,4788;0,66816;21067,18278;0,32695;7951,59518;0,66152;20076,53008;0,26279;7183,48141;0,28692;9337,42511;0,27563;12018,79196;0,31019;16175,56764;0,25292;37442,40833;0,25662;6467,27493;0,25477;5941,31004;0,37013;6116,12578;0,31955;6288,19833;0,3837;6338,13081;0,61257;6391,50542;0,25724;5729,6734
0,77306;13979,73896;0,93924;17223,75794;0,90481;17731,38717;0,8076;22958,61286;0,55508;8581,31407;0,45948;5049,89583;0,53134;5505,68345;0,7204;4501,07618;0,62531;13326,66086;0,64227;15451,23525;0,96981;18330,62419;0,82762;19829,29811;0,36575;9002,71251;0,43164;13049,80591;0,45549;16473,84754;0,51228;18351,53779;1,1427;20870,82977;0,57707;8003,44814;1,13134;19551,30632;0,46384;7279,36117;0,4907;9524,2339;0,47139;12203,04431;0,51575;16425,00584;0,44642;36699,51982;0,45295;6524,79614;0,44968;6085,71862;0,65329;6366,36611;0,56401;6571,72257;0,67725;6546,03774;1,0812;6583,11663;0,45404;5906,54519
1,10653;13982,55401;1,3118;17352,58888;1,21943;18206,46747;1,03684;22918,30437;0,79452;8555,62816;0,65768;5012,57737;0,76054;5534,49238;1,00615;4587,64979;0,93574;13410,9766;0,90522;15131,54129;1,27623;17709,92757;1,16646;19352,13349;0,51691;9070,22802;0,61002;13192,12308;0,64373;16578,98089;0,724;18491,99826;1,61496;21061,89959;0,826;7977,63532;1,5989;19685,07641;0,66392;7286,72801;0,6935;9572,07785;0,66621;12281,87269;0,72033;16564,93993;0,63898;34344,83303;0,64833;6513,99316;0,64365;6122,1635;0,93509;6355,92244;0,8073;6563,50672;0,96938;6534,03529;1,54758;6541,4787;0,64989;5910,53331
1,43838;13868,58593;1,68255;17469,87941;1,53299;17554,46658;1,26541;22838,34672;1,0328;8533,57234;0,85492;4984,41709;0,98863;5520,76214;1,29052;4684,03749;1,24468;13431,40105;1,16729;15437,76285;1,58162;18088,83032;1,50415;19718,004;0,66734;9100,28927;0,78755;13204,14066;0,83107;16609,74224;0,9347;18504,83731;2,08493;21031,69232;1,07372;7933,7391;2,06421;19469,48826;0,86303;7249,81745;0,89532;9573,27897;0,86009;12250,38173;0,92392;16636,01116;0,83061;33409,57523;0,84277;6475,8309;0,83669;6088,95838;1,21553;6333,57926;1,04941;6500,71328;1,2601;6503,1734;2,01171;6513,02055;0,84479;5906,35549
1,76863;13956,33193;2,05151;17651,43922;1,8455;17650,32005;1,49333;22566,66304;1,26992;8525,49864;1,05121;4977,25556;1,21562;5544,33578;1,57351;4770,54203;1,55211;13512,68564;1,42847;15663,29823;1,88597;18419,8439;1,8407;19965,3725;0,81704;9057,71836;0,96421;13139,82199;1,0175;16482,39745;1,14437;18393,21012;2,55263;21005,39942;1,32024;7913,04284;2,52726;19311,1799;1,06118;7226,4456;1,09616;9545,96768;1,05302;12166,9149;1,12652;16698,2082;1,02132;32425,72153;1,03627;6460,11373;1,02879;6087,74806;1,49461;6319,73501;1,29035;6506,67416;1,54942;6521,14036;2,47359;6526,6764;1,03876;5896,37693
2,09726;13991,40996;2,41867;17561,34928;2,15694;18189,19605;1,72058;22093,48637;1,50589;8535,16458;1,24654;4977,82469;1,4415;5596,61821;1,85513;4840,31457;1,85806;13530,96481;1,68876;15221,21584;2,18929;18078,94228;2,17611;19409,3156;0,96602;9004,21363;1,14002;13058,02542;1,20302;16420,03993;1,35302;18293,27016;3,01805;20824,06391;1,56556;7942,32786;2,98805;19040,52465;1,25836;7243,1208;1,29602;9510,13803;1,24502;12096,88742;1,32814;16588,93675;1,2111;16338,38275;1,22882;6473,36284;1,21996;6101,71608;1,77234;6328,51618;1,53012;6501,53423;1,83732;6489,69975;2,93321;6506,40706;1,23177;5920,84659
2,42429;14139,64419;2,78403;17590,1519;2,46732;18235,83967;1,94718;22769,25729;1,74071;8585,35056;1,44092;4993,03845;1,66627;5644,73906;2,13536;4885,78156;2,1625;13480,62169;1,94817;15410,22786;2,49158;17966,27904;2,51038;19565,76285;1,11426;8996,65907;1,31496;13068,88071;1,38763;16443,86635;1,56065;18294,36882;3,48119;20834,95218;1,80968;7973,0865;3,44658;19049,37921;1,45458;7274,47716;1,4949;9607,38961;1,43608;12069,53376;1,52876;16482,02038;1,39994;5576,95656;1,42043;6505,01525;1,41019;6114,81289;2,0487;6354,99657;1,76871;6545,78576;2,12382;6524,44516;3,39059;6555,3241;1,42384;5921,92689
2,74971;14221,05188;3,14759;17598,84425;2,77664;17608,95342;2,17311;22445,22855;1,97437;8696,40982;1,63434;5008,52884;1,88994;5675,81065;2,41421;4937,49113;2,46545;13417,67226;2,2067;15654,75763;2,79283;18438,28022;2,84351;19924,47049;1,26177;9002,45188;1,48904;13094,80858;1,57133;16455,0232;1,76726;18341,11676;3,94205;20892,69718;2,0526;7998,01585;3,90286;19030,96564;1,64983;7274,49599;1,69281;9623,46095;1,62619;12054,69631;1,7284;16375,37711;1,58786;3630,66788;1,6111;6520,74431;1,59948;6125,15556;2,3237;6375,18738;2,00613;6566,92731;2,4089;6544,44116;3,84572;6579,82236;1,61497;5919,30592
3,07352;14361,27779;3,50935;17847,87646;3,08491;18314,88239;2,39837;23019,67887;2,20688;8712,91993;1,8268;5043,03304;2,11251;5723,35982;2,69168;5046,69567;2,76691;13491,01328;2,46434;15491,86888;3,09305;18294,25402;3,17551;19679,18103;1,40855;9038,58003;1,66227;13139,35392;1,75413;16526,31569;1,97285;18393,55655;4,40063;20943,91725;2,29432;8044,58813;4,35689;19029,65905;1,84411;7314,63941;1,88973;9696,10335;1,81537;12056,94506;1,92705;16471,04656;1,77485;2893,3313;1,80082;6542,06026;1,78784;6134,16436;2,59734;6388,19419;2,24237;6588,35213;2,69258;6575,96045;4,2986;6629,65655;1,80515;5957,1195
