13BD 10p.csv Xt (mM);13BD 10p.csv ∆H (J/mol);13BD 15p-2.csv Xt (mM);13BD 15p-2.csv ∆H (J/mol);13BD 15p.csv Xt (mM);13BD 15p.csv ∆H (J/mol);13BD 20p.csv Xt (mM);13BD 20p.csv ∆H (J/mol);13BD 30p.csv Xt (mM);13BD 30p.csv ∆H (J/mol);13BD 5p.csv Xt (mM);13BD 5p.csv ∆H (J/mol);Agua 2017.csv Xt (mM);Agua 2017.csv ∆H (J/mol);Agua 2018.csv Xt (mM);Agua 2018.csv ∆H (J/mol);DMSO 05p.csv Xt (mM);DMSO 05p.csv ∆H (J/mol);DMSO 10p.csv Xt (mM);DMSO 10p.csv ∆H (J/mol);DMSO 15p-3.csv Xt (mM);DMSO 15p-3.csv ∆H (J/mol);DMSO 15p.csv Xt (mM);DMSO 15p.csv ∆H (J/mol);DMSO 20p-2.csv Xt (mM);DMSO 20p-2.csv ∆H (J/mol);DMSO 20p.csv Xt (mM);DMSO 20p.csv ∆H (J/mol);DMSO 25p.csv Xt (mM);DMSO 25p.csv ∆H (J/mol);DMSO 30p.csv Xt (mM);DMSO 30p.csv ∆H (J/mol);Glic 10p-2.csv Xt (mM);Glic 10p-2.csv ∆H (J/mol);Glic 10p.csv Xt (mM);Glic 10p.csv ∆H (J/mol);Glic 20p.csv Xt (mM);Glic 20p.csv ∆H (J/mol);Glic 30p.csv Xt (mM);Glic 30p.csv ∆H (J/mol);Glic 40p-2.csv Xt (mM);Glic 40p-2.csv ∆H (J/mol);Glic 40p.csv Xt (mM);Glic 40p.csv ∆H (J/mol);Glic 50p.csv Xt (mM);Glic 50p.csv ∆H (J/mol);Glic 5p.csv Xt (mM);Glic 5p.csv ∆H (J/mol);Glic 60p.csv Xt (mM);Glic 60p.csv ∆H (J/mol);Sac 10p.csv Xt (mM);Sac 10p.csv ∆H (J/mol);Sac 20p.csv Xt (mM);Sac 20p.csv ∆H (J/mol);Sac 30p.csv Xt (mM);Sac 30p.csv ∆H (J/mol);Sac 40p.csv Xt (mM);Sac 40p.csv ∆H (J/mol);Sac 50p.csv Xt (mM);Sac 50p.csv ∆H (J/mol);Sac 5p.csv Xt (mM);Sac 5p.csv ∆H (J/mol);Ureia 10p.csv Xt (mM);Ureia 10p.csv ∆H (J/mol);Ureia 15p.csv Xt (mM);Ureia 15p.csv ∆H (J/mol);Ureia 20p-2.csv Xt (mM);Ureia 20p-2.csv ∆H (J/mol);Ureia 20p.csv Xt (mM);Ureia 20p.csv ∆H (J/mol);Ureia 25p-2.csv Xt (mM);Ureia 25p-2.csv ∆H (J/mol);Ureia 25p.csv Xt (mM);Ureia 25p.csv ∆H (J/mol);Ureia 30p.csv Xt (mM);Ureia 30p.csv ∆H (J/mol);Ureia 5p.csv Xt (mM);Ureia 5p.csv ∆H (J/mol)
0,10131;661,56365;0,18873;7494,67904;0,13627;858,33297;0,19301;21433,68846;0,11064;19795,76280;7,27419e-2;355,74191;6,04994e-2;1095,06158;6,02140e-2;4054,29525;6,96314e-2;376,05461;0,14476;2081,93867;9,41736e-2;10079,72175;0,15569;2527,59355;0,11372;11356,49815;0,18945;6345,32353;0,22130;7117,41698;0,14654;16022,88614;6,12458e-2;6845,37033;6,65715e-4;437632,36491;7,22776e-2;10162,07969;7,62719e-2;11936,12532;8,57821e-2;13723,64849;8,57821e-2;36434,38057;0,19135;14196,33551;7,56242e-2;6355,67129;0,18944;13709,48429;6,07847e-2;2443,79361;8,21683e-2;4447,64120;7,89348e-2;5318,92288;0,10364;8253,52382;5,85018e-2;2581,44828;5,93579e-2;4914,70608;5,89298e-2;516,70901;8,56123e-2;788,49372;7,39120e-2;245,35878;7,79072e-2;1076,57961;8,87514e-2;311,37049;8,61831e-2;947,24810;0,14169;257,74060;5,95006e-2;511,11367
0,43799;13650,16691;0,56489;17030,83935;0,58913;17408,02010;0,57769;21762,53177;0,36818;27655,53201;0,31449;8508,43177;0,26156;4973,11337;0,26033;5077,12961;0,30104;5322,11941;0,43327;4431,92063;0,31339;13438,89990;0,46600;5210,59123;0,37844;15433,03836;0,56702;15354,57680;0,66235;17553,31075;0,48765;19919,48005;0,21386;8794,47657;2,32462e-3;609490,27127;0,25239;12817,99248;0,26633;16089,80121;0,29954;17777,47880;0,29954;43333,50025;0,66816;21067,18278;0,32695;7951,59518;0,66152;20076,53008;0,26279;7183,48141;0,28692;9337,42511;0,27563;12018,79196;0,31019;16175,56764;0,25292;37442,40833;0,25662;6467,27493;0,25477;5941,31004;0,37013;6116,12578;0,31955;6288,19833;0,33682;6364,70101;0,38370;6338,13081;0,37260;6318,55847;0,61257;6391,50542;0,25724;5729,67340
0,77306;13979,73896;0,93924;17223,75794;0,90481;17731,38717;0,80760;22958,61286;0,62487;27755,26208;0,55508;8581,31407;0,46166;4986,11414;0,45948;5049,89583;0,53134;5505,68345;0,72040;4501,07618;0,62531;13326,66086;0,77482;5331,08894;0,64227;15451,23525;0,86775;15645,05534;0,96981;18330,62419;0,82762;19829,29811;0,36575;9002,71251;3,97559e-3;622076,52964;0,43164;13049,80591;0,45549;16473,84754;0,51228;18351,53779;0,51228;43760,71239;1,14270;20870,82977;0,57707;8003,44814;1,13134;19551,30632;0,46384;7279,36117;0,49070;9524,23390;0,47139;12203,04431;0,51575;16425,00584;0,44642;36699,51982;0,45295;6524,79614;0,44968;6085,71862;0,65329;6366,36611;0,56401;6571,72257;0,59450;6470,40865;0,67725;6546,03774;0,65765;6367,43573;1,08120;6583,11663;0,45404;5906,54519
1,10653;13982,55401;1,31180;17352,58888;1,21943;18206,46747;1,03684;22918,30437;0,88069;26997,38718;0,79452;8555,62816;0,66080;4993,80745;0,65768;5012,57737;0,76054;5534,49238;1,00615;4587,64979;0,93574;13410,97660;1,08215;5453,32686;0,90522;15131,54129;1,16733;15420,30442;1,27623;17709,92757;1,16646;19352,13349;0,51691;9070,22802;5,61863e-3;626690,84364;0,61002;13192,12308;0,64373;16578,98089;0,72400;18491,99826;0,68172;44431,04372;1,61496;21061,89959;0,82600;7977,63532;1,59890;19685,07641;0,66392;7286,72801;0,69350;9572,07785;0,66621;12281,87269;0,72033;16564,93993;0,63898;34344,83303;0,64833;6513,99316;0,64365;6122,16350;0,93509;6355,92244;0,80730;6563,50672;0,85093;6379,34514;0,96938;6534,03529;0,94133;6382,21851;1,54758;6541,47870;0,64989;5910,53331
1,43838;13868,58593;1,68255;17469,87941;1,53299;17554,46658;1,26541;22838,34672;1,13565;27431,95462;1,03280;8533,57234;0,85898;4978,07436;0,85492;4984,41709;0,98863;5520,76214;1,29052;4684,03749;1,24468;13431,40105;1,38800;5557,17774;1,16729;15437,76285;1,46574;15737,08872;1,58162;18088,83032;1,50415;19718,00400;0,66734;9100,28927;7,25374e-3;627488,80597;0,78755;13204,14066;0,83107;16609,74224;0,93470;18504,83731;0,85051;43387,46209;2,08493;21031,69232;1,07372;7933,73910;2,06421;19469,48826;0,86303;7249,81745;0,89532;9573,27897;0,86009;12250,38173;0,92392;16636,01116;0,83061;33409,57523;0,84277;6475,83090;0,83669;6088,95838;1,21553;6333,57926;1,04941;6500,71328;1,10613;6298,80804;1,26010;6503,17340;1,22364;6295,16312;2,01171;6513,02055;0,84479;5906,35549
1,76863;13956,33193;2,05151;17651,43922;1,84550;17650,32005;1,49333;22566,66304;1,38975;27698,18007;1,26992;8525,49864;1,05619;4946,43744;1,05121;4977,25556;1,21562;5544,33578;1,57351;4770,54203;1,55211;13512,68564;1,69237;5674,29462;1,42847;15663,29823;1,76301;15438,69819;1,88597;18419,84390;1,84070;19965,37250;0,81704;9057,71836;8,88092e-3;622227,09751;0,96421;13139,82199;1,01750;16482,39745;1,14437;18393,21012;1,01864;44179,32676;2,55263;21005,39942;1,32024;7913,04284;2,52726;19311,17990;1,06118;7226,44560;1,09616;9545,96768;1,05302;12166,91490;1,12652;16698,20820;1,02132;32425,72153;1,03627;6460,11373;1,02879;6087,74806;1,49461;6319,73501;1,29035;6506,67416;1,36010;6452,12660;1,54942;6521,14036;1,50458;6323,87012;2,47359;6526,67640;1,03876;5896,37693
2,09726;13991,40996;2,41867;17561,34928;2,15694;18189,19605;1,72058;22093,48637;1,64299;26887,66738;1,50589;8535,16458;1,25245;4968,20033;1,24654;4977,82469;1,44150;5596,61821;1,85513;4840,31457;1,85806;13530,96481;1,99525;5746,94513;1,68876;15221,21584;2,05912;15836,40673;2,18929;18078,94228;2,17611;19409,31560;0,96602;9004,21363;1,05002e-2;620951,22184;1,14002;13058,02542;1,20302;16420,03993;1,35302;18293,27016;1,18612;43349,90669;3,01805;20824,06391;1,56556;7942,32786;2,98805;19040,52465;1,25836;7243,12080;1,29602;9510,13803;1,24502;12096,88742;1,32814;16588,93675;1,21110;16338,38275;1,22882;6473,36284;1,21996;6101,71608;1,77234;6328,51618;1,53012;6501,53423;1,61283;6274,21412;1,83732;6489,69975;1,78415;6384,49183;2,93321;6506,40706;1,23177;5920,84659
2,42429;14139,64419;2,78403;17590,15190;2,46732;18235,83967;1,94718;22769,25729;1,89537;27071,54382;1,74071;8585,35056;1,44775;4982,27889;1,44092;4993,03845;1,66627;5644,73906;2,13536;4885,78156;2,16250;13480,62169;2,29665;5801,55134;1,94817;15410,22786;2,35407;15461,21795;2,49158;17966,27904;2,51038;19565,76285;1,11426;8996,65907;1,21115e-2;621559,22893;1,31496;13068,88071;1,38763;16443,86635;1,56065;18294,36882;1,35294;43894,97221;3,48119;20834,95218;1,80968;7973,08650;3,44658;19049,37921;1,45458;7274,47716;1,49490;9607,38961;1,43608;12069,53376;1,52876;16482,02038;1,39994;5576,95656;1,42043;6505,01525;1,41019;6114,81289;2,04870;6354,99657;1,76871;6545,78576;1,86431;6386,69562;2,12382;6524,44516;2,06236;6359,33089;3,39059;6555,32410;1,42384;5921,92689
2,74971;14221,05188;3,14759;17598,84425;2,77664;17608,95342;2,17311;22445,22855;2,14689;27437,07688;1,97437;8696,40982;1,64208;4989,13291;1,63434;5008,52884;1,88994;5675,81065;2,41421;4937,49113;2,46545;13417,67226;2,59656;5861,45898;2,20670;15654,75763;2,64786;15881,24853;2,79283;18438,28022;2,84351;19924,47049;1,26177;9002,45188;1,37149e-2;622415,34407;1,48904;13094,80858;1,57133;16455,02320;1,76726;18341,11676;1,51911;43274,00288;3,94205;20892,69718;2,05260;7998,01585;3,90286;19030,96564;1,64983;7274,49599;1,69281;9623,46095;1,62619;12054,69631;1,72840;16375,37711;1,58786;3630,66788;1,61110;6520,74431;1,59948;6125,15556;2,32370;6375,18738;2,00613;6566,92731;2,11457;6329,35815;2,40890;6544,44116;2,33919;6294,34629;3,84572;6579,82236;1,61497;5919,30592
3,07352;14361,27779;3,50935;17847,87646;3,08491;18314,88239;2,39837;23019,67887;2,39755;26957,87047;2,20688;8712,91993;1,83546;5022,35282;1,82680;5043,03304;2,11251;5723,35982;2,69168;5046,69567;2,76691;13491,01328;2,89499;5989,05224;2,46434;15491,86888;2,94051;15469,64977;3,09305;18294,25402;3,17551;19679,18103;1,40855;9038,58003;1,53103e-2;624136,47084;1,66227;13139,35392;1,75413;16526,31569;1,97285;18393,55655;1,68462;43184,93518;4,40063;20943,91725;2,29432;8044,58813;4,35689;19029,65905;1,84411;7314,63941;1,88973;9696,10335;1,81537;12056,94506;1,92705;16471,04656;1,77485;2893,33130;1,80082;6542,06026;1,78784;6134,16436;2,59734;6388,19419;2,24237;6588,35213;2,36358;6368,72100;2,69258;6575,96045;2,61466;6442,47431;4,29860;6629,65655;1,80515;5957,11950
