X Intensity;CTAB200 1;CTAB200 2;CTAB200 3;CTAB300 1;CTAB300 2;CTAB300 3;CTAB100 1;CTAB100 2;CTAB100 3
0,4;0;0;0;0;0;0;0;0;0
0,463;0;0;0;0;0;0;0;0;0
0,536;0;0;0;0;0;0;0;0;0
0,621;0;0;0;0;0;0;0;0;0
0,719;0;0;0;0;0;0;0;0;0
0,833;0;0;0;0;0;0;0;0;0
0,965;0;0;0;0;0;0;0;0;0
1,12;0;0;0;0;0;2,03;0;0;0
1,29;0;0;0;0;0;4,97;0;0;0
1,5;0;0;0;6,31;17,3;6,78;0;0;0
1,74;1,88;2,18;0;19,3;25,3;6,35;0;0;0
2,01;2,58;2,7;0;17,1;10,6;4,08;0;0;0
2,33;0,678;0,227;0;0,712;0;1,46;0;1,56;0,653
2,7;0;0;0;0;0;0;0,349;3,37;1,85
3,12;0;0;0;0;0;0;1,97;1,98;2,29
3,62;0;0;0;0;0;0;2,67;0;1,6
4,19;0;0;0;0;0;0;1,48;0;0,528
4,85;0;0;0;0;0;0;0;0;0
5,61;0;0;0;0;0;0;0;0;0
6,5;0;0;0;0;0;0;0;0;0
7,53;0;0;0;0;0;0;0;0;0
8,72;0;0;0;0;0;0;0;0;0
10,1;0;0;0;0;0;0;0;0;0
11,7;0;0;0;0;0;0;0;0;0
13,5;0;0;0;0;0;0;0;0;0
15,7;0;0;0;0;0;0;0;0;0
18,2;0;0;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0
24,4;0;0;0;0;0;0;0;0;0
28,2;0;0;0;0;0;0;0;0;0
32,7;0;0;0;0;0;0;0;0;0
37,8;0;0;0;0;0;0;0;0;0
43,8;0;0;0;0;0;0;0;0;0
50,7;0;0;0;0;0;0;0;0;0
58,8;0;0;0;0;0;0;0;0;0
68,1;0;0;0;0;0;0;0;0;0
78,8;0;0;0;0;0;0;0;0;0
91,3;0;0;0;0;0;0;0;0;0
106;0;0;0;0;0;0;0;0;0
122;0;0;0;0;0;0;0;0;0
142;0;0;0;0;11,2;0;0;0;0
164;0;0;0;0;35,7;0;0;0;0
190;4,14;17,1;9,23;0;0;0;0;2,73;7,2
220;29,9;38,7;22,2;0;0;0;9,16;24;18,1
255;39,9;32,4;29,2;56,6;0;0;22,4;36,5;25,2
295;20,9;6,72;25;0;0;0;28,8;25,3;23,7
342;0;0;12,7;0;0;0;23,1;4,65;14,6
396;0;0;1,72;0;0;0;10;0;4,34
459;0;0;0;0;0;0;0;0;0
531;0;0;0;0;0;8,01;0;0;0
615;0;0;0;0;0;26,5;0;0;0
712;0;0;0;0;0;28,5;0;0;0
825;0;0;0;0;0;11,3;0;0;0
955;0;0;0;0;0;0;0;0;0
1,11E+03;0;0;0;0;0;0;0;0;0
1,28E+03;0;0;0;0;0;0;0;0;0
1,48E+03;0;0;0;0;0;0;0;0;0
1,72E+03;0;0;0;0;0;0;0;0;0
1,99E+03;0;0;0;0;0;0;0;0;0
2,30E+03;0;0;0;0;0;0;0;0;0
2,67E+03;0;0;0;0;0;0;0;0;0
3,09E+03;0;0;0;0;0;0;0;0;0
3,58E+03;0;0;0;0;0;0;0;0;0
4,15E+03;0;0;0;0;0;0;0;0;0
4,80E+03;0;0;0;0;0;0;0;0;0
5,56E+03;0;0;0;0;0;0;0;0;0
6,44E+03;0;0;0;0;0;0;0;0;0
7,46E+03;0;0;0;0;0;0;0;0;0
8,63E+03;0;0;0;0;0;0;0;0;0
