X Lag Time;Record 7: CTAB200 1;Record 8: CTAB200 2;Record 9: CTAB200 3;Record 16: CTAB300 1;Record 17: CTAB300 2;Record 18: CTAB300 3;Record 19: CTAB100 1;Record 20: CTAB100 2;Record 21: CTAB100 3
0,5;1,02;0,989;0,946;1,25;1,35;0,94;0,967;0,976;0,938
1;1,02;0,99;0,944;1,23;1,32;0,913;0,959;0,964;0,931
1,5;1,01;0,979;0,935;1,2;1,3;0,885;0,947;0,956;0,92
2;1;0,972;0,928;1,18;1,28;0,863;0,937;0,949;0,91
2,5;0,997;0,971;0,922;1,16;1,26;0,847;0,927;0,944;0,902
3;0,991;0,963;0,917;1,15;1,25;0,829;0,922;0,937;0,895
3,5;0,988;0,959;0,913;1,13;1,24;0,813;0,917;0,929;0,892
4;0,981;0,955;0,908;1,12;1,23;0,806;0,914;0,925;0,888
4,5;0,979;0,951;0,905;1,12;1,22;0,795;0,908;0,919;0,882
5,5;0,974;0,946;0,897;1,1;1,21;0,78;0,897;0,909;0,872
6,5;0,968;0,94;0,891;1,09;1,2;0,768;0,891;0,902;0,864
7,5;0,963;0,935;0,888;1,08;1,19;0,759;0,882;0,896;0,856
8,5;0,958;0,931;0,882;1,08;1,18;0,752;0,876;0,887;0,851
9,5;0,956;0,928;0,878;1,07;1,18;0,747;0,87;0,885;0,843
10,5;0,95;0,923;0,874;1,07;1,17;0,743;0,864;0,876;0,839
11,5;0,947;0,92;0,872;1,06;1,17;0,739;0,859;0,872;0,834
12,5;0,945;0,917;0,868;1,06;1,17;0,737;0,855;0,869;0,83
14,5;0,94;0,913;0,861;1,06;1,16;0,734;0,848;0,862;0,823
16,5;0,934;0,906;0,857;1,06;1,16;0,73;0,84;0,855;0,816
18,5;0,93;0,902;0,852;1,05;1,16;0,727;0,834;0,848;0,811
20,5;0,925;0,897;0,846;1,05;1,16;0,725;0,827;0,842;0,805
22,5;0,92;0,892;0,841;1,05;1,15;0,724;0,822;0,837;0,799
24,5;0,915;0,888;0,836;1,05;1,15;0,721;0,817;0,832;0,792
26,5;0,911;0,884;0,833;1,05;1,15;0,718;0,811;0,826;0,787
28,5;0,906;0,879;0,828;1,05;1,15;0,718;0,807;0,821;0,784
32,5;0,898;0,87;0,817;1,04;1,15;0,718;0,797;0,813;0,775
36,5;0,89;0,862;0,809;1,04;1,15;0,714;0,788;0,804;0,765
40,5;0,882;0,854;0,8;1,04;1,14;0,713;0,78;0,795;0,756
44,5;0,873;0,845;0,792;1,04;1,14;0,709;0,771;0,786;0,749
48,5;0,866;0,838;0,782;1,03;1,14;0,708;0,764;0,778;0,74
52,5;0,858;0,829;0,774;1,03;1,14;0,706;0,754;0,769;0,731
56,5;0,85;0,822;0,766;1,03;1,14;0,703;0,746;0,761;0,724
60,5;0,843;0,814;0,758;1,03;1,13;0,701;0,739;0,752;0,716
68,5;0,828;0,799;0,741;1,02;1,13;0,697;0,723;0,736;0,7
76,5;0,813;0,784;0,726;1,02;1,13;0,693;0,708;0,721;0,685
84,5;0,799;0,769;0,711;1,02;1,12;0,69;0,693;0,707;0,671
92,5;0,785;0,755;0,696;1,01;1,12;0,685;0,679;0,692;0,656
101;0,771;0,742;0,681;1,01;1,12;0,682;0,664;0,677;0,643
109;0,759;0,729;0,667;1;1,11;0,678;0,65;0,663;0,63
117;0,745;0,715;0,654;1;1,11;0,675;0,637;0,65;0,617
125;0,733;0,703;0,641;0,997;1,11;0,672;0,623;0,637;0,604
141;0,709;0,679;0,615;0,991;1,1;0,665;0,599;0,611;0,579
157;0,685;0,656;0,592;0,985;1,09;0,658;0,575;0,586;0,556
173;0,663;0,635;0,569;0,978;1,09;0,651;0,552;0,563;0,534
189;0,642;0,614;0,548;0,971;1,08;0,645;0,531;0,541;0,512
205;0,622;0,594;0,528;0,965;1,07;0,638;0,51;0,52;0,494
221;0,603;0,576;0,508;0,958;1,07;0,632;0,491;0,5;0,475
237;0,584;0,557;0,49;0,952;1,06;0,627;0,472;0,48;0,457
253;0,567;0,541;0,473;0,947;1,06;0,62;0,455;0,462;0,441
285;0,534;0,509;0,441;0,936;1,05;0,608;0,422;0,428;0,409
317;0,504;0,48;0,412;0,924;1,03;0,597;0,391;0,397;0,381
349;0,476;0,453;0,386;0,913;1,02;0,586;0,363;0,369;0,355
381;0,45;0,428;0,362;0,902;1,01;0,575;0,337;0,342;0,332
413;0,427;0,406;0,341;0,892;1;0,566;0,315;0,319;0,311
445;0,405;0,386;0,321;0,882;0,995;0,556;0,293;0,297;0,291
477;0,385;0,367;0,303;0,872;0,985;0,546;0,273;0,276;0,274
509;0,366;0,35;0,287;0,863;0,976;0,536;0,256;0,258;0,258
573;0,333;0,32;0,257;0,844;0,959;0,518;0,225;0,224;0,231
637;0,305;0,295;0,232;0,826;0,942;0,501;0,198;0,196;0,208
701;0,282;0,272;0,211;0,81;0,926;0,484;0,176;0,173;0,188
765;0,263;0,253;0,193;0,794;0,911;0,47;0,156;0,154;0,172
829;0,248;0,238;0,178;0,779;0,897;0,455;0,139;0,137;0,157
893;0,235;0,225;0,166;0,765;0,883;0,442;0,125;0,124;0,145
957;0,225;0,214;0,156;0,752;0,87;0,429;0,113;0,113;0,135
1,02E+03;0,216;0,206;0,147;0,74;0,858;0,417;0,103;0,104;0,125
1,15E+03;0,205;0,192;0,131;0,715;0,835;0,394;0,0881;0,091;0,11
1,28E+03;0,197;0,183;0,121;0,693;0,813;0,373;0,0761;0,0829;0,0979
1,40E+03;0,189;0,177;0,113;0,674;0,794;0,354;0,068;0,0795;0,0891
1,53E+03;0,183;0,173;0,107;0,656;0,776;0,337;0,0631;0,08;0,0814
1,66E+03;0,177;0,169;0,102;0,64;0,76;0,322;0,0611;0,0824;0,0754
1,79E+03;0,17;0,166;0,0982;0,625;0,745;0,308;0,0598;0,0856;0,0713
1,92E+03;0,163;0,163;0,0949;0,611;0,73;0,295;0,0599;0,0877;0,0684
2,04E+03;0,158;0,161;0,0917;0,598;0,718;0,284;0,0595;0,0894;0,0654
