X Lag Time;Record 1: DTAB200 1;Record 2: DTAB200 2;Record 3: DTAB200 3;;;;;
0,5;1,5;1,35;1,33;;;;;
1;1,49;1,33;1,31;;;;;
1,5;1,47;1,31;1,29;;;;;
2;1,45;1,3;1,28;;;;;
2,5;1,44;1,29;1,27;;;;;
3;1,43;1,28;1,26;;;;;
3,5;1,42;1,27;1,25;;;;;
4;1,42;1,26;1,25;;;;;
4,5;1,41;1,26;1,24;;;;;
5,5;1,4;1,25;1,23;;;;;
6,5;1,39;1,24;1,22;;;;;
7,5;1,39;1,23;1,22;;;;;
8,5;1,38;1,22;1,21;;;;;
9,5;1,38;1,22;1,21;;;;;
10,5;1,37;1,22;1,2;;;;;
11,5;1,37;1,21;1,2;;;;;
12,5;1,37;1,21;1,2;;;;;
14,5;1,36;1,21;1,19;;;;;
16,5;1,36;1,2;1,19;;;;;
18,5;1,36;1,2;1,19;;;;;
20,5;1,36;1,2;1,19;;;;;
22,5;1,35;1,2;1,19;;;;;
24,5;1,35;1,19;1,18;;;;;
26,5;1,35;1,19;1,18;;;;;
28,5;1,35;1,19;1,18;;;;;
32,5;1,35;1,19;1,18;;;;;
36,5;1,34;1,19;1,18;;;;;
40,5;1,34;1,18;1,17;;;;;
44,5;1,34;1,18;1,17;;;;;
48,5;1,34;1,18;1,17;;;;;
52,5;1,33;1,18;1,17;;;;;
56,5;1,33;1,17;1,16;;;;;
60,5;1,33;1,17;1,16;;;;;
68,5;1,33;1,16;1,16;;;;;
76,5;1,32;1,16;1,15;;;;;
84,5;1,31;1,15;1,15;;;;;
92,5;1,31;1,15;1,14;;;;;
101;1,31;1,14;1,14;;;;;
109;1,3;1,14;1,14;;;;;
117;1,3;1,13;1,13;;;;;
125;1,29;1,13;1,13;;;;;
141;1,28;1,12;1,12;;;;;
157;1,27;1,11;1,11;;;;;
173;1,26;1,1;1,1;;;;;
189;1,25;1,09;1,09;;;;;
205;1,24;1,08;1,09;;;;;
221;1,23;1,07;1,08;;;;;
237;1,22;1,06;1,07;;;;;
253;1,21;1,05;1,06;;;;;
285;1,19;1,04;1,05;;;;;
317;1,18;1,02;1,04;;;;;
349;1,16;1;1,02;;;;;
381;1,14;0,985;1,01;;;;;
413;1,12;0,969;0,999;;;;;
445;1,1;0,953;0,988;;;;;
477;1,09;0,937;0,976;;;;;
509;1,07;0,923;0,965;;;;;
573;1,04;0,895;0,944;;;;;
637;1,01;0,868;0,925;;;;;
701;0,981;0,843;0,907;;;;;
765;0,955;0,819;0,891;;;;;
829;0,933;0,798;0,875;;;;;
893;0,912;0,778;0,86;;;;;
957;0,895;0,759;0,845;;;;;
1,02E+03;0,88;0,743;0,832;;;;;
1,15E+03;0,857;0,715;0,807;;;;;
1,28E+03;0,842;0,693;0,785;;;;;
1,40E+03;0,835;0,676;0,765;;;;;
1,53E+03;0,833;0,663;0,748;;;;;
1,66E+03;0,835;0,653;0,733;;;;;
1,79E+03;0,838;0,644;0,719;;;;;
1,92E+03;0,841;0,637;0,706;;;;;
2,04E+03;0,842;0,63;0,695;;;;;
2,30E+03;0,836;0,617;0,674;;;;;
2,56E+03;0,821;0,604;0,655;;;;;
2,81E+03;0,798;0,594;0,639;;;;;
3,07E+03;0,776;0,586;0,626;;;;;
3,32E+03;0,76;0,581;0,615;;;;;
3,58E+03;0,754;0,576;0,605;;;;;
3,84E+03;0,755;0,573;0,596;;;;;
4,09E+03;0,756;0,569;0,588;;;;;
4,60E+03;0,75;0,56;0,571;;;;;
5,12E+03;0,73;0,55;0,558;;;;;
5,63E+03;0,714;0,54;0,545;;;;;
6,14E+03;0,712;0,531;0,534;;;;;
6,65E+03;0,714;0,523;0,526;;;;;
7,16E+03;0,705;0,517;0,519;;;;;
7,68E+03;0,693;0,514;0,513;;;;;
8,19E+03;0,69;0,511;0,507;;;;;
9,21E+03;0,676;0,501;0,498;;;;;
1,02E+04;0,656;0,492;0,485;;;;;
1,13E+04;0,644;0,484;0,475;;;;;
1,23E+04;0,629;0,476;0,464;;;;;
1,33E+04;0,622;0,471;0,454;;;;;
1,43E+04;0,605;0,463;0,446;;;;;
1,54E+04;0,596;0,455;0,437;;;;;
1,64E+04;0,581;0,454;0,431;;;;;
1,84E+04;0,551;0,439;0,421;;;;;
2,05E+04;0,518;0,413;0,411;;;;;
2,25E+04;0,482;0,396;0,398;;;;;
2,46E+04;0,446;0,379;0,385;;;;;
2,66E+04;0,413;0,356;0,367;;;;;
2,87E+04;0,383;0,34;0,35;;;;;
3,07E+04;0,351;0,331;0,325;;;;;
3,28E+04;0,321;0,318;0,297;;;;;
3,69E+04;0,262;0,283;0,259;;;;;
4,10E+04;0,215;0,246;0,228;;;;;
4,51E+04;0,177;0,22;0,204;;;;;
4,91E+04;0,145;0,198;0,176;;;;;
5,32E+04;0,117;0,178;0,151;;;;;
5,73E+04;0,0886;0,154;0,132;;;;;
6,14E+04;0,0675;0,139;0,111;;;;;
6,55E+04;0,0582;0,126;0,0887;;;;;
7,37E+04;0,0471;0,0973;0,0628;;;;;
8,19E+04;0,0485;0,0778;0,0415;;;;;
9,01E+04;0,0512;0,0633;0,0407;;;;;
9,83E+04;0,0568;0,0576;0,0318;;;;;
1,06E+05;0,0545;0,047;0,0236;;;;;
1,15E+05;0,0481;0,0368;0,0198;;;;;
1,23E+05;0,0387;0,0337;0,0164;;;;;
1,31E+05;0,0241;0,026;0,0132;;;;;
1,47E+05;0,0088;0,0195;0,00953;;;;;
1,64E+05;0,00772;0,0141;0,01;;;;;
1,80E+05;0,004;0,00882;0,0131;;;;;
1,97E+05;0,00224;0,00472;0,0148;;;;;
2,13E+05;0,00409;0,00513;0,0172;;;;;
2,29E+05;0,00384;0,00534;0,015;;;;;
2,46E+05;0,00167;0,0101;0,0127;;;;;
2,62E+05;0,00366;0,019;0,00959;;;;;
2,95E+05;0,00802;0,0275;0,00612;;;;;
3,28E+05;0,0206;0,0208;0,00909;;;;;
3,60E+05;0,0189;0,00769;0,00625;;;;;
3,93E+05;0,0158;0,0147;0;;;;;
4,26E+05;0,0088;0,0124;0,00068;;;;;
4,59E+05;0,000439;0,00193;0,00681;;;;;
4,92E+05;0;0,00229;0,0092;;;;;
5,24E+05;0,000406;0,00473;0,0157;;;;;
5,90E+05;0,00662;0,00757;0,0125;;;;;
6,55E+05;0,0608;0,000421;0,00442;;;;;
7,21E+05;0,0342;0,00267;0,0272;;;;;
7,86E+05;0,0315;0,00278;0,0508;;;;;
8,52E+05;0,00424;0,00478;0,0142;;;;;
9,18E+05;0,0112;0,00638;0,0141;;;;;
9,83E+05;0,00829;0,00521;0,041;;;;;
1,05E+06;0,00826;0,00566;0,0247;;;;;
1,18E+06;0,00695;0,0167;0;;;;;
1,31E+06;0,0122;0,00393;0,00916;;;;;
1,44E+06;0,0108;0,0168;0,00274;;;;;
1,57E+06;0,00385;0,0196;0,00768;;;;;
1,70E+06;0,0169;0,028;0,0105;;;;;
1,84E+06;0,0134;0,0262;0,00507;;;;;
1,97E+06;0,00252;0,0287;0;;;;;
2,10E+06;0,0072;0,0157;0,00249;;;;;
2,36E+06;0,00807;0,00881;0,0142;;;;;
2,62E+06;0,0076;0,00182;0,00196;;;;;
2,88E+06;0,0057;0,00534;0,0005;;;;;
3,15E+06;0,00583;0,00609;0,0141;;;;;
3,41E+06;0,0084;0,0335;0,0146;;;;;
3,67E+06;0,00148;0,0082;0,0322;;;;;
3,93E+06;0,00265;0,00821;0,00737;;;;;
4,19E+06;0;0;0;;;;;
4,72E+06;0;0;0;;;;;
5,24E+06;0;0;0;;;;;
5,77E+06;0;0;0;;;;;
6,29E+06;0;0;0;;;;;
6,82E+06;0;0;0;;;;;
7,34E+06;0;0;0;;;;;
7,86E+06;0;0;0;;;;;
8,39E+06;0;0;0;;;;;
9,44E+06;0;0;0;;;;;
1,05E+07;0;0;0;;;;;
1,15E+07;0;0;0;;;;;
1,26E+07;0;0;0;;;;;
1,36E+07;0;0;0;;;;;
1,47E+07;0;0;0;;;;;
1,57E+07;0;0;0;;;;;
1,68E+07;0;0;0;;;;;
1,89E+07;0;0;0;;;;;
2,10E+07;0;0;0;;;;;
2,31E+07;0;0;0;;;;;
2,52E+07;0;0;0;;;;;
2,73E+07;0;0;0;;;;;
2,94E+07;0;0;0;;;;;
3,15E+07;0;0;0;;;;;
3,36E+07;0;0;0;;;;;
3,77E+07;0;0;0;;;;;
4,19E+07;0;0;0;;;;;
4,61E+07;0;0;0;;;;;
5,03E+07;0;0;0;;;;;
5,45E+07;0;0;0;;;;;
5,87E+07;0;0;0;;;;;
