X Intensity;TTAB 200;TTAB 200;TTAB 200;TTAB 100;TTAB 100;TTAB 100;TTAB 300;TTAB 300;TTAB 300
0,4;0;0;0;0;0;0;0;0;0
0,463;0;0;0;0;0;0;0;0;0
0,536;0;0;0;0;0;0;0;0;0
0,621;0;0;0;0;0;0;0;0;0
0,719;2,39;0;0;0;0;0;0;0;0
0,833;9,34;0;0;0;0;0;0;0;0
0,965;6,15;0;1,58;0;0;0;0;0;0
1,12;0;0;7,36;0;0;0;0;0;0
1,29;0;0;5,56;0;0;0;4,87;5,64;3,82
1,5;0;0;0;0;0;0;16,9;18,7;13,5
1,74;0;0;0;8,97;0;0;17;19,5;17,5
2,01;0;0;0;21,3;5,07;5,09;3,79;5,56;9,85
2,33;0;0;0;12;14,6;15,9;0;0;0
2,7;0;0;0;0;13,5;15,7;0;0;0
3,12;0;0;0;0;2,27;3,92;0;0;0
3,62;0;0;0;0;0;0;0;0;0
4,19;0;0;0;0;0;0;0;0;0
4,85;0;0;0;0;0;0;0;0;0
5,61;0;0;0;0;0;0;0;0;0
6,5;0;0;0;0;0;0;0;0;0
7,53;0;0;0;0;0;0;0;0;0
8,72;0;0;0;0;0;0;0;0;0
10,1;0;0;0;0;0;0;0;0;0
11,7;0;0;0;0;0;0;0;0;0
13,5;0;0;0;0;0;0;0;0;0
15,7;0;0;0;0;0;0;0;0;0
18,2;0;0;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0
24,4;0;0;0;0;0;0;0;0;0
28,2;0;0;0;0;0;0;0;0;0
32,7;0;0;0;0;0;0;0;0;0
37,8;0;0;0;0;0;0;0;0;0
43,8;0;0;0;0;0;0;0;0;0
50,7;0;0;0;0;0;0;0;0;0
58,8;0;0;0;0;0;0;0;0;0
68,1;0;0;0;0;0;0;0;0;0
78,8;0;0;0;0;0;0;0;0;0
91,3;0;0;0;0;0;0;0;0;0
106;0;0;0;0;0;0;0;0;0
122;0;0;0;0;0;0;0;0;0
142;0;0;0;0;0;0;0;0;0
164;0;26,2;0;0;0;0;0;0;0
190;0;73,8;0;57,8;0;0;0;17,3;0
220;0;0;0;0;0;0;0,529;33,3;0
255;0;0;0;0;0;0;41,3;0;21,5
295;77,1;0;0;0;0;33,9;15,6;0;33,8
342;4,97;0;0,576;0;32,4;25,5;0;0;0
396;0;0;51,8;0;32,1;0;0;0;0
459;0;0;33,1;0;0;0;0;0;0
531;0;0;0;0;0;0;0;0;0
615;0;0;0;0;0;0;0;0;0
712;0;0;0;0;0;0;0;0;0
825;0;0;0;0;0;0;0;0;0
955;0;0;0;0;0;0;0;0;0
1,11E+03;0;0;0;0;0;0;0;0;0
1,28E+03;0;0;0;0;0;0;0;0;0
1,48E+03;0;0;0;0;0;0;0;0;0
1,72E+03;0;0;0;0;0;0;0;0;0
1,99E+03;0;0;0;0;0;0;0;0;0
2,30E+03;0;0;0;0;0;0;0;0;0
2,67E+03;0;0;0;0;0;0;0;0;0
3,09E+03;0;0;0;0;0;0;0;0;0
3,58E+03;0;0;0;0;0;0;0;0;0
4,15E+03;0;0;0;0;0;0;0;0;0
4,80E+03;0;0;0;0;0;0;0;0;0
5,56E+03;0;0;0;0;0;0;0;0;0
6,44E+03;0;0;0;0;0;0;0;0;0
7,46E+03;0;0;0;0;0;0;0;0;0
8,63E+03;0;0;0;0;0;0;0;0;0
