X Lag Time/us;Record 4: TTAB200 1;Record 5: TTAB200 2;Record 6: TTAB200 3;Record 10: TTAB100 1;Record 11: TTAB100 2;Record 12: TTAB100 3;Record 13: TTAB300 1;Record 14: TTAB300 2;Record 15: TTAB300 3
0,5;1,08;1,06;1,05;1,14;0,991;1,01;1,03;1,17;0,972
1;1,07;1,05;1,04;1,11;0,959;0,968;0,991;1,13;0,928
1,5;1,06;1,04;1,03;1,07;0,932;0,939;0,955;1,09;0,886
2;1,06;1,03;1,02;1,05;0,91;0,91;0,926;1,06;0,854
2,5;1,05;1,02;1,01;1,04;0,894;0,893;0,901;1,04;0,831
3;1,04;1,02;1,01;1,02;0,879;0,878;0,881;1,02;0,809
3,5;1,04;1,01;1;1;0,864;0,864;0,865;1;0,796
4;1,03;1,01;0,997;0,998;0,855;0,849;0,854;0,992;0,781
4,5;1,03;1;0,995;0,986;0,846;0,84;0,843;0,982;0,77
5,5;1,02;0,997;0,989;0,969;0,83;0,821;0,821;0,963;0,75
6,5;1,02;0,994;0,982;0,956;0,817;0,806;0,808;0,951;0,736
7,5;1,01;0,989;0,978;0,945;0,806;0,797;0,798;0,939;0,726
8,5;1,01;0,986;0,977;0,936;0,796;0,786;0,79;0,933;0,719
9,5;1,01;0,984;0,975;0,927;0,791;0,777;0,782;0,928;0,713
10,5;1,01;0,983;0,972;0,921;0,782;0,769;0,776;0,921;0,708
11,5;1;0,979;0,971;0,916;0,776;0,765;0,774;0,918;0,702
12,5;1;0,979;0,969;0,911;0,772;0,761;0,77;0,915;0,699
14,5;1;0,977;0,967;0,903;0,766;0,752;0,765;0,91;0,697
16,5;0,998;0,974;0,965;0,898;0,762;0,746;0,761;0,907;0,693
18,5;0,996;0,973;0,964;0,895;0,758;0,742;0,759;0,905;0,689
20,5;0,995;0,972;0,962;0,892;0,754;0,74;0,757;0,903;0,687
22,5;0,994;0,97;0,962;0,888;0,752;0,738;0,756;0,902;0,686
24,5;0,992;0,968;0,959;0,887;0,75;0,737;0,754;0,9;0,684
26,5;0,993;0,966;0,96;0,886;0,75;0,735;0,751;0,898;0,683
28,5;0,991;0,965;0,957;0,883;0,748;0,733;0,751;0,897;0,682
32,5;0,989;0,962;0,954;0,881;0,745;0,729;0,749;0,895;0,679
36,5;0,987;0,961;0,953;0,879;0,743;0,727;0,746;0,892;0,677
40,5;0,984;0,957;0,95;0,876;0,741;0,725;0,744;0,89;0,674
44,5;0,983;0,955;0,948;0,875;0,739;0,723;0,741;0,888;0,672
48,5;0,98;0,952;0,947;0,871;0,737;0,721;0,739;0,886;0,671
52,5;0,978;0,949;0,945;0,87;0,735;0,72;0,737;0,883;0,668
56,5;0,976;0,946;0,942;0,867;0,733;0,718;0,736;0,882;0,666
60,5;0,974;0,943;0,94;0,866;0,731;0,716;0,734;0,88;0,664
68,5;0,97;0,937;0,936;0,862;0,727;0,712;0,73;0,876;0,661
76,5;0,966;0,931;0,931;0,857;0,723;0,709;0,726;0,872;0,657
84,5;0,962;0,924;0,928;0,853;0,721;0,704;0,722;0,868;0,652
92,5;0,958;0,918;0,924;0,849;0,717;0,7;0,719;0,864;0,649
101;0,954;0,911;0,92;0,845;0,713;0,698;0,715;0,861;0,645
109;0,949;0,904;0,916;0,841;0,71;0,694;0,711;0,857;0,642
117;0,946;0,897;0,912;0,837;0,707;0,691;0,706;0,854;0,638
125;0,942;0,889;0,908;0,833;0,703;0,687;0,703;0,85;0,634
141;0,933;0,874;0,9;0,825;0,696;0,68;0,695;0,843;0,627
157;0,925;0,858;0,891;0,817;0,689;0,673;0,688;0,836;0,62
173;0,916;0,842;0,883;0,809;0,683;0,667;0,68;0,829;0,613
189;0,907;0,826;0,875;0,801;0,676;0,661;0,673;0,823;0,606
205;0,898;0,808;0,867;0,793;0,67;0,654;0,665;0,816;0,599
221;0,89;0,79;0,859;0,785;0,663;0,647;0,657;0,809;0,593
237;0,881;0,773;0,851;0,776;0,657;0,642;0,65;0,802;0,587
253;0,872;0,755;0,843;0,769;0,651;0,636;0,642;0,796;0,58
285;0,855;0,719;0,827;0,754;0,639;0,624;0,627;0,783;0,568
317;0,837;0,683;0,812;0,738;0,628;0,612;0,613;0,77;0,555
349;0,819;0,648;0,796;0,723;0,616;0,602;0,598;0,758;0,543
381;0,801;0,614;0,781;0,707;0,605;0,591;0,584;0,747;0,532
413;0,783;0,582;0,766;0,693;0,595;0,58;0,57;0,735;0,521
445;0,765;0,552;0,751;0,678;0,585;0,571;0,556;0,724;0,51
477;0,748;0,525;0,737;0,664;0,575;0,561;0,543;0,713;0,5
509;0,73;0,501;0,723;0,65;0,565;0,552;0,529;0,703;0,49
573;0,695;0,459;0,696;0,624;0,546;0,534;0,504;0,683;0,471
637;0,662;0,429;0,67;0,6;0,529;0,517;0,48;0,664;0,453
701;0,63;0,411;0,646;0,577;0,513;0,501;0,458;0,646;0,436
765;0,6;0,403;0,624;0,556;0,497;0,486;0,438;0,629;0,421
829;0,571;0,404;0,603;0,538;0,483;0,472;0,419;0,612;0,406
893;0,545;0,409;0,584;0,522;0,469;0,46;0,403;0,597;0,393
957;0,52;0,417;0,566;0,508;0,456;0,447;0,388;0,582;0,38
1,02E+03;0,498;0,426;0,55;0,496;0,444;0,436;0,376;0,569;0,369
1,15E+03;0,46;0,449;0,52;0,479;0,422;0,417;0,357;0,545;0,349
1,28E+03;0,432;0,467;0,496;0,469;0,403;0,399;0,346;0,525;0,333
1,40E+03;0,411;0,477;0,475;0,464;0,387;0,385;0,341;0,507;0,319
1,53E+03;0,399;0,48;0,458;0,463;0,373;0,373;0,34;0,492;0,308
1,66E+03;0,393;0,477;0,445;0,464;0,361;0,361;0,343;0,48;0,299
1,79E+03;0,392;0,469;0,433;0,464;0,351;0,352;0,346;0,47;0,293
1,92E+03;0,394;0,457;0,425;0,464;0,342;0,344;0,35;0,463;0,288
2,04E+03;0,399;0,444;0,419;0,462;0,335;0,337;0,353;0,457;0,284
2,30E+03;0,411;0,424;0,412;0,451;0,324;0,325;0,355;0,449;0,279
2,56E+03;0,42;0,419;0,409;0,435;0,316;0,317;0,347;0,444;0,275
2,81E+03;0,426;0,417;0,409;0,417;0,31;0,309;0,332;0,44;0,271
3,07E+03;0,429;0,41;0,408;0,402;0,307;0,303;0,314;0,436;0,269
3,32E+03;0,429;0,402;0,406;0,392;0,305;0,296;0,298;0,434;0,265
3,58E+03;0,431;0,399;0,402;0,388;0,302;0,288;0,287;0,432;0,26
3,84E+03;0,434;0,398;0,398;0,388;0,298;0,283;0,282;0,43;0,255
4,09E+03;0,436;0,391;0,393;0,388;0,293;0,278;0,283;0,428;0,252
4,60E+03;0,429;0,379;0,383;0,388;0,282;0,271;0,287;0,422;0,245
5,12E+03;0,404;0,379;0,374;0,382;0,271;0,265;0,283;0,413;0,239
5,63E+03;0,379;0,374;0,369;0,374;0,263;0,263;0,272;0,407;0,234
6,14E+03;0,375;0,368;0,367;0,375;0,259;0,261;0,265;0,4;0,231
6,65E+03;0,386;0,37;0,365;0,376;0,256;0,256;0,259;0,396;0,229
7,16E+03;0,391;0,363;0,362;0,373;0,252;0,251;0,254;0,391;0,226
7,68E+03;0,383;0,362;0,359;0,37;0,248;0,247;0,25;0,388;0,222
8,19E+03;0,379;0,362;0,355;0,369;0,246;0,245;0,247;0,386;0,22
9,21E+03;0,373;0,361;0,343;0,366;0,239;0,239;0,241;0,38;0,221
1,02E+04;0,363;0,354;0,336;0,358;0,233;0,233;0,233;0,37;0,218
1,13E+04;0,364;0,347;0,333;0,35;0,227;0,227;0,225;0,36;0,213
1,23E+04;0,352;0,338;0,327;0,34;0,225;0,222;0,22;0,353;0,209
1,33E+04;0,342;0,327;0,321;0,334;0,225;0,218;0,216;0,347;0,202
1,43E+04;0,331;0,321;0,32;0,322;0,223;0,214;0,206;0,339;0,197
1,54E+04;0,327;0,313;0,325;0,313;0,218;0,213;0,2;0,331;0,194
1,64E+04;0,321;0,305;0,316;0,31;0,216;0,21;0,194;0,319;0,191
1,84E+04;0,309;0,297;0,312;0,298;0,212;0,21;0,187;0,295;0,184
2,05E+04;0,297;0,288;0,31;0,287;0,208;0,205;0,182;0,28;0,181
2,25E+04;0,284;0,271;0,301;0,28;0,202;0,203;0,179;0,264;0,171
2,46E+04;0,27;0,251;0,296;0,27;0,191;0,201;0,176;0,252;0,163
2,66E+04;0,254;0,235;0,289;0,259;0,187;0,195;0,168;0,24;0,16
2,87E+04;0,242;0,223;0,287;0,25;0,186;0,187;0,161;0,231;0,15
3,07E+04;0,223;0,214;0,29;0,232;0,182;0,179;0,155;0,211;0,145
3,28E+04;0,213;0,201;0,289;0,213;0,177;0,173;0,147;0,196;0,137
3,69E+04;0,19;0,179;0,283;0,186;0,168;0,161;0,132;0,17;0,128
4,10E+04;0,169;0,163;0,274;0,171;0,16;0,15;0,111;0,146;0,117
4,51E+04;0,149;0,144;0,262;0,151;0,16;0,145;0,0921;0,126;0,107
4,91E+04;0,135;0,129;0,255;0,136;0,148;0,136;0,0746;0,0991;0,0937
5,32E+04;0,121;0,116;0,246;0,117;0,134;0,132;0,067;0,0891;0,0819
5,73E+04;0,111;0,0988;0,239;0,101;0,122;0,117;0,0612;0,0699;0,07
6,14E+04;0,103;0,0924;0,233;0,0861;0,121;0,107;0,049;0,0599;0,059
6,55E+04;0,097;0,088;0,233;0,0699;0,119;0,102;0,0381;0,0513;0,0497
7,37E+04;0,0863;0,0809;0,241;0,0471;0,111;0,0873;0,0242;0,0312;0,0371
