Amostra;aquecimento;resfriamento
Karl_CTAB Sol-Liq.txt;15.567019999999998;1.9991380000000003
Karl_CTAB100 Ur 38%.txt;5.559339999999999;2.9845000000000024
Karl_CTAB100 Ur 39%.txt;6.395970000000002;2.3622499999999995
Karl_CTAB100 Ur 40%.txt;6.133539999999996;2.4629499999999993
Karl_CTAB100 Ur 41%.txt;5.254959999999997;1.5690900000000028
Karl_CTAB100 Ur 42%.txt;5.964840000000002;1.9430499999999995
Karl_CTAB100 Ur 43%.txt;5.369199999999999;1.8181799999999981
Karl_CTAB100 Ur 44%.txt;4.897980000000004;1.5794599999999974
Karl_CTAB100 Ur 45%.txt;4.570310000000006;1.5468099999999936
Karl_CTAB200 Ur 45%.txt;10.282199999999996;3.4593499999999935
Karl_CTAB300 Ur 45%.txt;15.390229999999995;5.780859999999997
Karl_DTAB100 Ur 45%.txt;2.4925600000000045;1.0537700000000036
Karl_DTAB200 Ur 45%.txt;6.314249999999994;2.7873800000000024
Karl_DTAB300 Ur 45%.txt;10.628990000000002;3.666140000000002
Karl_TTAB100 Ur 45%.txt;4.657979999999995;1.6160899999999891
Karl_TTAB200 Ur 45%.txt;8.849910000000001;2.6009600000000006
Karl_TTAB300 Ur 45%.txt;13.987000000000005;4.146820000000009
