13BD15-3 w;13BD15-3 G1;13BD15-3 G2;13BD15-3 T
0,06283;0,0004095;0,03438;25,0
0,08115;0,0001519;0,04490;25,0
0,1048;0,0005233;0,05693;25,0
0,1354;0,0008997;0,07115;25,0
0,1748;0,001094;0,09027;25,0
0,2258;0,001268;0,1172;25,0
0,2916;0,001883;0,1492;25,0
0,3767;0,002845;0,1903;25,0
0,4865;0,004613;0,2429;25,0
0,6283;0,007218;0,3116;25,0
0,8115;0,01085;0,4009;25,0
1,048;0,01623;0,5154;25,0
1,354;0,02394;0,6639;25,0
1,748;0,03581;0,8543;25,0
2,258;0,05326;1,100;25,0
2,916;0,07928;1,417;25,0
3,767;0,1211;1,826;25,0
4,865;0,1922;2,352;25,0
6,283;0,2811;3,051;25,0
8,115;0,4142;3,946;25,0
10,48;0,6659;5,078;25,0
13,54;1,145;6,491;25,0
17,48;1,738;8,304;25,0
22,58;2,624;10,58;25,0
29,16;2,125;12,62;25,0
37,67;7,607;15,78;25,0
48,65;10,62;18,87;25,0
62,83;5,960;21,03;25,0
