DMSO15-1 w;DMSO15-1 G1;DMSO15-1 G2;DMSO15-1 T
0,0628;10,8;14,8;25,1
0,0811;14,0;15,6;25,1
0,105;17,7;15,7;25,1
0,135;21,3;15,1;25,1
0,175;24,4;13,9;25,1
0,226;27,1;12,3;25,1
0,292;29,1;10,6;25,1
0,377;30,6;8,97;25,1
0,486;31,7;7,47;25,1
0,628;32,4;6,20;25,2
0,811;32,9;5,14;25,2
1,05;33,3;4,31;25,2
1,35;33,7;3,65;25,2
1,75;34,0;3,15;25,2
2,26;34,4;2,76;25,2
2,92;34,5;2,47;25,2
3,77;35,1;2,25;25,2
4,86;34,9;2,01;25,2
6,28;35,3;1,97;25,2
8,11;35,4;1,87;25,2
10,5;35,7;1,79;25,2
13,5;35,9;1,82;25,2
17,5;36,4;1,71;25,2
22,6;36,2;1,66;25,2
29,2;39,6;0,0386;25,2
37,7;47,8;3,08;25,2
48,6;31,5;3,49;25,2
62,8;47,8;5,60;25,2
