Glic30-2 w;Glic30-2 G1;Glic30-2 G2;Glic30-2 T
0,0628;0,0434;1,52;25,0
0,0811;0,0728;1,95;25,0
0,105;0,121;2,50;25,0
0,135;0,202;3,22;25,0
0,175;0,335;4,15;25,0
0,226;0,555;5,33;25,0
0,292;0,915;6,82;25,0
0,377;1,50;8,70;25,0
0,486;2,44;11,0;25,0
0,628;3,94;13,8;25,0
0,811;6,23;16,9;25,0
1,05;9,60;20,3;25,0
1,35;14,2;23,3;25,0
1,75;19,9;25,4;25,0
2,26;26,4;26,3;25,0
2,92;32,9;25,5;25,0
3,77;38,6;23,5;25,0
4,86;43,1;20,6;25,0
6,28;46,6;17,6;25,0
8,11;49,0;14,7;25,0
10,5;50,6;12,2;25,0
13,5;51,7;10,1;25,0
17,5;52,5;8,50;25,0
22,6;53,2;7,28;25,0
29,2;53,7;6,27;25,0
37,7;55,6;5,99;25,0
48,6;56,1;10,7;25,0
62,8;60,1;7,02;25,0
