Sac50-2 w;Sac50-2 G1;Sac50-2 G2;Sac50-2 T
0,0628;0,0164;0,970;25,1
0,0811;0,0275;1,25;25,2
0,105;0,0460;1,61;25,2
0,135;0,0769;2,08;25,2
0,175;0,128;2,68;25,2
0,226;0,212;3,46;25,2
0,292;0,351;4,45;25,3
0,377;0,580;5,71;25,3
0,486;0,956;7,33;25,3
0,628;1,57;9,35;25,3
0,811;2,56;11,9;25,3
1,05;4,13;14,9;25,3
1,35;6,54;18,3;25,3
1,75;10,1;21,9;25,3
2,26;15,0;25,4;25,3
2,92;21,1;27,9;25,3
3,77;28,2;29,1;25,3
4,86;35,3;28,6;25,3
6,28;41,6;26,5;25,3
8,11;46,6;23,6;25,3
10,5;50,6;20,7;25,3
13,5;53,3;17,8;25,3
17,5;55,2;15,5;25,3
22,6;56,7;13,8;25,3
29,2;57,9;12,5;25,3
37,7;59,6;11,9;25,3
48,6;60,5;12,6;25,3
62,8;56,1;6,81;25,3
