Ur15-2 w;Ur15-2 G1;Ur15-2 G2;Ur15-2 T
0,06283;4,064;14,15;25,09
0,08115;6,436;17,32;25,09
0,1048;9,902;20,63;25,1
0,1354;14,67;23,69;25,1
0,1748;20,52;25,76;25,09
0,2258;27,12;26,47;25,09
0,2916;33,62;25,71;25,1
0,3767;39,39;23,59;25,1
0,4865;44,05;20,67;25,1
0,6283;47,45;17,48;25,1
0,8115;49,77;14,41;25,1
1,048;51,32;11,72;25,1
1,354;52,30;9,421;25,1
1,748;52,87;7,503;25,1
2,258;53,65;6,051;25,1
2,916;53,79;4,868;25,1
3,767;54,00;4,002;25,1
4,865;54,46;3,181;25,1
6,283;54,63;2,840;25,11
8,115;54,73;2,326;25,11
10,48;55,01;2,232;25,1
13,54;55,32;1,970;25,1
17,48;54,67;1,821;25,11
22,58;54,62;1,645;25,1
29,16;56,24;0,3665;25,11
37,67;59,24;8,072;25,11
48,65;74,26;3,400;25,11
62,83;20,30;8,144;25,11
