adit;conc;nasal;pto_final;g0;g0err;tr;trerr;R2;R2lin
DMSO;15;60;23;34.42772962996053;0.25768986253083825;9.3421428515163;0.27342380776325426;0.960;0.958
DMSO;15;100;26;51.10908828875543;0.23936557065395098;0.23815482178697422;0.0025412210315502505;0.998;0.998
DMSO;15;260;26;50.04528667794194;0.28849661630737244;0.15356309556180725;0.001846366084029222;0.998;0.997
DMSO;25;60;24;25.443229752015867;0.4960075215338466;1.4154352139972848;0.07691358781127947;0.938;0.935
DMSO;25;100;16;44.11657377152569;0.22375653332882228;0.21778122301037328;0.0023722408974439163;0.998;0.997
DMSO;25;260;20;56.51645319935824;1.2276548637797084;0.0409393317661817;0.0016264692614274675;0.975;0.973
13BD;15;100;26;47.552424949465895;0.2503330761445227;0.051517179796370494;0.0004269632088777282;0.999;0.999
13BD;15;260;27;54.56465683947549;3.7778295132418425;0.008089956862701753;0.0006000794864698267;0.955;0.953
13BD;25;100;21;0.7556787871662944;0.13802084642954485;0.0697888885070832;0.01522363877701693;0.571;0.548
Glicerina;30;60;19;35.51581572977648;0.2723654721860408;6.366486510828117;0.1512669138594182;0.981;0.980
Glicerina;30;100;25;53.794567610512225;0.24981143370054434;0.42777424222240357;0.004800758686112227;0.998;0.998
Glicerina;30;260;24;51.97037599379734;0.2413323792901027;0.6305610881235444;0.007236197472406644;0.998;0.998
Glicerina;60;60;18;26.266327687205706;1.5226036882852092;0.02733828566131713;0.002228950296929407;0.901;0.894
Glicerina;60;100;25;43.41815869399083;0.4698862664860775;0.19639747549372877;0.004423782328894826;0.991;0.991
Glicerina;60;260;26;45.00747384239599;0.28865297618409275;0.04436695839626226;0.0004286128340698588;0.998;0.998
Sacarose;50;60;35;56.29261167643536;0.7631304946635277;24.549497472413485;1.281603822437955;0.916;0.914
Sacarose;50;100;26;59.86560695654675;0.5863194221902487;0.23994703482291513;0.005361636034307468;0.992;0.991
Sacarose;50;260;26;55.669081317777916;0.7678790739739239;2.5980336778129924;0.11465326231447748;0.951;0.949
Ureia;5;60;18;42.76204660987819;0.2878130472508485;54.79415069187954;1.0619352167326745;0.989;0.988
Ureia;5;100;34;62.99267677036663;0.20511907172446472;0.7531292238259051;0.006466948498569757;0.999;0.999
Ureia;5;260;23;50.96166080126066;0.1628893673657921;2.530331732109953;0.023698365628333745;0.998;0.998
Ureia;15;60;23;35.291161654615564;0.2894732657686157;14.163493046050947;0.5502265495305674;0.913;0.909
Ureia;15;100;23;54.325040963514724;0.14322643986259495;4.368510875629517;0.036872216057030886;0.998;0.998
Ureia;15;260;24;53.55120062949272;0.22615550376914936;1.4686548503865384;0.017375142918816658;0.997;0.997
Ureia;30;60;27;22.60851196779456;1.2917380424392313;0.09970774693534357;0.011426740934549335;0.765;0.756
Ureia;30;100;13;49.96814112737933;0.20571181440713282;6.714102472348391;0.08988123843844197;0.996;0.996
Ureia;30;260;25;50.17958903243953;0.24612618920091706;0.572548534438962;0.007115024890402991;0.997;0.997
