adit;conc;nasal;pto_final;g0;g0err;tr;trerr;eta_inf;eta_inf_err;R2;R2lin
DMSO;15;60;23;34.403228048428446;0.22394423983813994;9.396300899009576;0.2399213333097779;0.10793257213476619;0.027644731924711174;0.971;0.969
DMSO;15;100;26;51.06735580654225;0.2545142369927305;0.23867079122262735;0.0027525848656371923;0.004873432413142817;0.009744069655018587;0.998;0.998
DMSO;15;260;26;49.33045069188409;0.2306486669149015;0.1585797381539913;0.001572443811482188;0.0546514846818127;0.008004970772432052;0.999;0.999
DMSO;25;60;24;25.161102625451417;0.37221391469883836;1.4864227558456418;0.06204664817001472;0.1796146093374009;0.02964814284803507;0.966;0.964
DMSO;25;100;16;43.759671749320866;0.1942268863330929;0.22199157931502267;0.0021547824402572656;0.03854129700742787;0.008911530024798477;0.999;0.998
DMSO;25;260;20;60.636212993638786;1.509089725163748;0.03633181023285337;0.0015193230175431255;-0.07568195545644392;0.018795516705603938;0.982;0.981
13BD;15;100;26;47.55962268974884;0.4428809080852788;0.05150737801593319;0.0006511226186922173;-0.00018268947943986507;0.009363229838496747;0.999;0.999
13BD;15;260;27;12.504869409770064;1.8686585173635721;0.023798300207304335;0.003495431796360887;0.24496965268067913;0.020670333361205974;0.975;0.974
13BD;25;100;21;0.38398960822860917;0.2017234762608142;0.11656382757630745;0.06237472987321241;0.017482268651393084;0.01083795682893676;0.602;0.581
Glicerina;30;60;19;35.4176475870768;0.21719082511141152;6.456303789120058;0.12386215557386146;0.2987835535258555;0.06381736206002284;0.988;0.988
Glicerina;30;100;25;53.43517840240609;0.1522910234174718;0.4364168899513816;0.0030574885163241875;0.07621621830623235;0.008057466894699857;0.999;0.999
Glicerina;30;260;24;51.66259561055339;0.1435000668047984;0.6424012741793454;0.004478958304280957;0.09573918145207232;0.010038049631158303;0.999;0.999
Glicerina;60;60;18;65.02903568956056;13.563960971053557;0.013020996320456835;0.0018854192809973154;-0.3371203405803596;0.08661265341279957;0.941;0.937
Glicerina;60;100;25;41.9250921906215;0.2107938092031613;0.2127483586948884;0.0022893884135775813;0.14694400192171683;0.00953887368549866;0.999;0.998
Glicerina;60;260;26;43.29325420769128;0.46104931834212826;0.04641519054060761;0.0006310955806602869;0.03847111802069468;0.00908284415589888;0.999;0.999
Sacarose;50;60;35;56.26604976331894;0.5702731489880581;24.64763240227998;0.9624198154283836;0.28114184181212376;0.038011882549470695;0.954;0.952
Sacarose;50;100;26;58.54528436715405;0.19663888320147765;0.25487435560144234;0.0020051385487541403;0.15867379140261553;0.007632603623857404;0.999;0.999
Sacarose;50;260;26;55.46319545396379;0.3747749521540772;2.6499852930074765;0.057515427037270764;0.25897011445252;0.020448085362610592;0.989;0.988
Ureia;5;60;18;42.69054770537206;0.2801466813701268;55.1966557194323;1.0544059936636854;1.8617815976689078;1.0046738857232638;0.990;0.989
Ureia;5;100;34;62.856955581885096;0.1790507080587256;0.7589061408415163;0.005756320799537003;0.05039036616497393;0.01039378422910837;0.999;0.999
Ureia;5;260;23;50.90192480051997;0.12695623295466058;2.5433954052184116;0.018677139905489346;0.07410764191515903;0.013560465304882247;0.999;0.999
Ureia;15;60;23;35.275688882995325;0.26598660586472456;14.238297562418952;0.5103476193341734;0.10241978399304376;0.033962944236285264;0.928;0.925
Ureia;15;100;23;54.29137165498531;0.10795556550180481;4.382644119323553;0.027975233477246165;0.07247821750092073;0.012320306349807344;0.999;0.999
Ureia;15;260;24;53.444479190785955;0.17984901578428383;1.4805494803066348;0.014050604083396498;0.07637563250594194;0.014317707424075411;0.998;0.998
Ureia;30;60;27;19.943796006673008;1.2029390766240533;0.14697610768274338;0.01958954504666526;0.09447835738098337;0.03385492886569689;0.786;0.777
Ureia;30;100;13;49.924679925164064;0.17423061210212337;6.745854713210516;0.07701210662561316;0.14272419911968193;0.043813390876325645;0.997;0.997
Ureia;30;260;25;49.96322913365701;0.19727222343504777;0.5808182718522454;0.0058881621921029175;0.06040617268661626;0.010975750150263768;0.998;0.998
