adit;conc;nasal;pto_final;g01;g01err;tr1;tr1err;g02;g02err;tr2;tr2err;R2;R2lin
DMSO;15;60;23;32.84856044106632;0.18099525115826348;10.078861532538557;0.14723330293703604;3.4277242591272445;0.22921946340604424;0.31547143639763586;0.043314833427267795;0.994;0.993
DMSO;15;100;26;47.77211546250893;1.2743269884415693;0.2562351124534912;0.005555459440750725;4.6228398739959555;1.156643265875749;0.05929624027355995;0.017186498085124315;0.999;0.999
DMSO;15;260;26;47.27350501393185;0.4564835475672471;0.16569119176247038;0.0017448225259464774;6.4655047370417575;0.4768348850882494;0.02171755754356952;0.0037648849706836025;1.000;0.999
DMSO;25;60;24;22.17717554350489;0.21532189881693312;1.7784757750347846;0.03299912109515783;7.962215849335262;0.28934827213750697;0.08906309632817644;0.006406653217417921;0.996;0.996
DMSO;25;100;16;41.66353226521575;0.40018432849121977;0.23319122164063244;0.0020729562232463267;4.179623993066389;0.33348406604133296;0.04329298131818815;0.006147290627604035;1.000;1.000
DMSO;25;260;20;7.698211907805813;12.510264502326638;0.1101132007413057;0.10980216166907378;50.08971523249388;11.896637106197252;0.03496347977720915;0.006423306270512818;0.977;0.976
13BD;15;100;26;5.775793795678125;4.577600592779141;0.10595587843092735;0.03456518194036473;42.657173951792124;4.406548962581343;0.04598216243125752;0.0025936443228924376;0.999;0.999
13BD;15;260;27;12.502669495836553;4.730010411076285;0.02380060336991141;0.005757687567041648;209135.2380081961;399371856.8614492;1.171429728108464e-06;0.002258662950469141;0.975;0.974
13BD;25;100;21;4.81793738238423e-09;0;10.776733179510165;0;0.7556781786085636;0;0.0697889682144488;0;0.571;0.548
Glicerina;30;60;19;33.33908277552613;0.2855764955056393;7.021358241220211;0.10230209547032627;3.814259592911813;0.289757984240118;0.610924574726357;0.08638100200164782;0.997;0.997
Glicerina;30;100;25;5.25252001034703;0.22297560718250792;0.02889129630855969;0.0022503269871162784;52.27827025243916;0.11229818528834157;0.44782743013198933;0.0015390637419498332;1.000;1.000
Glicerina;30;260;24;50.341335522142685;0.15367184935825445;0.6620980958481288;0.0031312143934851275;4.477618182948304;0.2118783647788711;0.05030327197638096;0.0048314609369284785;1.000;1.000
Glicerina;60;60;18;2.360211465728624;2.1105122518116257;0.18065621661722986;0.19182331306296369;25.7115253596208;2.0322080086812226;0.022754873200064196;0.003958832674134538;0.912;0.906
Glicerina;60;100;25;39.7287834045556;0.12930051951322538;0.22479348496002616;0.0009388823469407645;12.465102919380548;0.3118622265941452;0.01955288310492098;0.0008819153702991697;1.000;1.000
Glicerina;60;260;26;30.733086335542733;15.442232385367525;0.03507881977342531;0.0067051449263845105;15.526747574698252;15.788907167088007;0.06436363026925207;0.018581813543010847;0.999;0.999
Sacarose;50;60;35;46.13392953690531;2.1116198411400378;32.93650983474955;2.3871260382677324;12.554382464039426;2.1067523057758226;3.109926017900663;0.8566863905160406;0.953;0.952
Sacarose;50;100;26;57.04570286671178;0.09648784396539163;0.2621618168644777;0.0007349578807752226;18.76933807945685;0.6645510636338774;0.010936956400003472;0.0005126903367316864;1.000;1.000
Sacarose;50;260;26;53.95852033422671;0.17595024033074982;2.738470159251704;0.024752376617800814;21.62554566367068;1.19704468469008;0.0164642783256288;0.0011499567052673163;0.998;0.998
Ureia;5;60;18;13.980778524915126;1.401964999258286;25.771876216755008;1.5938095662474177;29.720150379699284;1.4226527612618252;75.15514661466815;2.223942043683457;0.999;0.999
Ureia;5;100;34;61.510472262963134;0.22492698289985052;0.7804042910510447;0.00474055356925526;3.732555317371249;0.28204189297467164;0.05389086241555585;0.008242995112852211;1.000;1.000
Ureia;5;260;23;49.3252815329036;0.29579038660009915;2.643602904901827;0.021788619918522982;2.509792005603063;0.28581943739406185;0.3087498700670963;0.05746791123497964;0.999;0.999
Ureia;15;60;23;33.016331057109305;0.42337929484103104;16.01482481094455;0.5489957839524808;3.611251011585808;0.44727829049406637;0.8715998748826292;0.20992058796966676;0.969;0.967
Ureia;15;100;23;53.51908767634187;0.1284645916026899;4.464948001085219;0.02278808565527773;1.8925354431139856;0.16411768641537824;0.18634446376818392;0.03239941737751089;1.000;1.000
Ureia;15;260;24;51.410118014125885;0.2998323614951929;1.5537952846519252;0.013029208031688494;3.6177099607057546;0.2933989629076809;0.1615868285478974;0.023392449738285758;0.999;0.999
Ureia;30;60;27;9.816061781014872;0.8648678795916755;0.549675282265708;0.08764142375287699;20.209342472672947;1.2698233505159802;0.029983159493431222;0.003678762874827171;0.938;0.936
Ureia;30;100;13;47.11807898078495;0.7490335786982281;7.22539730760732;0.11690780220867282;3.4966860526791024;0.7245029446881748;1.4785110063624893;0.32028561985502535;0.999;0.999
Ureia;30;260;25;47.09700971053466;0.2894621770636862;0.6217015817902214;0.0044252343162812305;4.885579728357339;0.26636308126123265;0.09096662689058688;0.007963964598555084;1.000;1.000
