Aditivo;Conc. Adit;Conc NaSal;Maxwell;OldroydB;Jeffreys;Dois Modos
DMSO;15;60;34.42772962996053;34.403228046730995;34.41471282682345;32.848560441066326
DMSO;15;100;51.10908828875542;51.0673557701608;51.08777692344609;47.77211546250893
DMSO;15;260;50.045286677941945;49.33045069698811;49.67508495865538;47.27350501393185
DMSO;25;60;25.44322975201587;25.161102626848823;25.281933200063378;22.17717554350489
DMSO;25;100;44.11657377152569;43.75967173631341;43.933286804811175;41.66353226521575
DMSO;25;260;56.516453199358246;60.635878212910185;56.51649007017278;7.698211907805812
13BD;15;100;47.552424949465895;47.55964991760957;47.55242461276449;5.7757937956781245
13BD;15;260;54.56465683947549;12.504869449441168;22.79847015200608;12.502669495836553
13BD;25;100;0.7556787871662944;0.3839895990593309;0.5337966962972813;4.81793738238423e-09
Glicerina;30;60;35.51581572977648;35.41764758813521;35.463942402616134;33.33908277552613
Glicerina;30;100;53.794567610512225;53.43517840865397;53.60982318614276;5.25252001034703
Glicerina;30;260;51.97037599379734;51.66259560640304;51.81162954168149;50.341335522142685
Glicerina;60;60;26.266327687205703;65.02739836354273;26.266311452288235;2.360211465728624
Glicerina;60;100;43.41815869399083;41.92509219328638;42.61578569327497;39.7287834045556
Glicerina;60;260;45.007473842395996;43.2932453529024;44.12209966497671;30.73308633554273
Sacarose;50;60;56.29261167643536;56.2660497476552;56.27743922140632;46.133929536905306
Sacarose;50;100;59.86560695654674;58.54528437201829;59.167840498284704;57.04570286671178
Sacarose;50;260;55.669081317777916;55.46319545534408;55.56091133508921;53.95852033422671
Ureia;5;60;42.76204660987819;42.690547731616576;42.72428115597239;13.980778524915126
Ureia;5;100;62.99267677036663;62.856958333623155;62.92335696109532;61.51047226296314
Ureia;5;260;50.96166080126065;50.901924801856545;50.931058876801345;49.3252815329036
Ureia;15;60;35.291161654615564;35.27568888579932;35.282885623950264;33.016331057109305
Ureia;15;100;54.32504096351472;54.29137165450086;54.307908899355155;53.51908767634187
Ureia;15;260;53.55120062949272;53.4444791937741;53.49606553046553;51.41011801412589
Ureia;30;60;22.608511967794556;19.943796011806672;20.58331897152033;9.816061781014874
Ureia;30;100;49.96814112737933;49.924679922597505;49.94583516258103;47.11807898078495
Ureia;30;260;50.17958903243953;49.963229120457754;50.06722634462331;47.09700971053466
