Aditivo;Conc. Adit;Conc NaSal;Maxwell;OldroydB;Jeffreys;Dois Modos
DMSO;15;60;0.96;0.971;0.971;0.9940000000000001
DMSO;15;100;0.998;0.998;0.998;0.9990000000000001
DMSO;15;260;0.998;0.9990000000000001;0.9990000000000001;1.0
DMSO;25;60;0.938;0.966;0.966;0.996
DMSO;25;100;0.998;0.9990000000000001;0.9990000000000001;1.0
DMSO;25;260;0.975;0.982;0.975;0.977
13BD;15;100;0.9990000000000001;0.9990000000000001;0.9990000000000001;0.9990000000000001
13BD;15;260;0.955;0.975;0.975;0.975
13BD;25;100;0.5710000000000001;0.602;0.602;0.5710000000000001
Glicerina;30;60;0.981;0.988;0.988;0.997
Glicerina;30;100;0.998;0.9990000000000001;0.9990000000000001;1.0
Glicerina;30;260;0.998;0.9990000000000001;0.9990000000000001;1.0
Glicerina;60;60;0.9009999999999999;0.941;0.9009999999999999;0.912
Glicerina;60;100;0.991;0.9990000000000001;0.9990000000000001;1.0
Glicerina;60;260;0.998;0.9990000000000001;0.9990000000000001;0.9990000000000001
Sacarose;50;60;0.9159999999999999;0.9540000000000001;0.9540000000000001;0.953
Sacarose;50;100;0.992;0.9990000000000001;0.9990000000000001;1.0
Sacarose;50;260;0.951;0.9890000000000001;0.9890000000000001;0.998
Ureia;5;60;0.9890000000000001;0.99;0.99;0.9990000000000001
Ureia;5;100;0.9990000000000001;0.9990000000000001;0.9990000000000001;1.0
Ureia;5;260;0.998;0.9990000000000001;0.9990000000000001;0.9990000000000001
Ureia;15;60;0.9129999999999999;0.9279999999999999;0.9279999999999999;0.9690000000000001
Ureia;15;100;0.998;0.9990000000000001;0.9990000000000001;1.0
Ureia;15;260;0.997;0.998;0.998;0.9990000000000001
Ureia;30;60;0.765;0.7859999999999999;0.7859999999999999;0.938
Ureia;30;100;0.996;0.997;0.997;0.9990000000000001
Ureia;30;260;0.997;0.998;0.998;1.0
