Aditivo;Conc. Adit;Conc NaSal;Maxwell;OldroydB;Jeffreys;Dois Modos;Garcia-Saraji
DMSO;15;60;0.958;0.9690000000000001;0.9690000000000001;0.993;0.977
DMSO;15;100;0.998;0.998;0.998;0.9990000000000001;0.998
DMSO;15;260;0.997;0.9990000000000001;0.9990000000000001;0.9990000000000001;0.9990000000000001
DMSO;25;60;0.935;0.9640000000000001;0.9640000000000001;0.996;0.971
DMSO;25;100;0.997;0.998;0.998;1.0;0.9990000000000001
DMSO;25;260;0.973;0.981;0.973;0.976;0.973
13BD;15;100;0.9990000000000001;0.9990000000000001;0.9990000000000001;0.9990000000000001;0.9990000000000001
13BD;15;260;0.953;0.9740000000000001;0.9740000000000001;0.9740000000000001;0.971
13BD;25;100;0.5479999999999999;0.581;0.581;0.5479999999999999;0.745
Glicerina;30;60;0.98;0.988;0.988;0.997;0.991
Glicerina;30;100;0.998;0.9990000000000001;0.9990000000000001;1.0;0.9990000000000001
Glicerina;30;260;0.998;0.9990000000000001;0.9990000000000001;1.0;0.9990000000000001
Glicerina;60;60;0.894;0.937;0.894;0.9059999999999999;0.894
Glicerina;60;100;0.991;0.998;0.998;1.0;0.998
Glicerina;60;260;0.998;0.9990000000000001;0.9990000000000001;0.9990000000000001;0.9990000000000001
Sacarose;50;60;0.914;0.9520000000000001;0.9520000000000001;0.9520000000000001;0.958
Sacarose;50;100;0.991;0.9990000000000001;0.9990000000000001;1.0;0.9990000000000001
Sacarose;50;260;0.9490000000000001;0.988;0.988;0.998;0.9840000000000001
Ureia;5;60;0.988;0.9890000000000001;0.9890000000000001;0.9990000000000001;0.988
Ureia;5;100;0.9990000000000001;0.9990000000000001;0.9990000000000001;1.0;0.9990000000000001
Ureia;5;260;0.998;0.9990000000000001;0.9990000000000001;0.9990000000000001;0.9990000000000001
Ureia;15;60;0.909;0.925;0.925;0.9670000000000001;0.938
Ureia;15;100;0.998;0.9990000000000001;0.9990000000000001;1.0;0.9990000000000001
Ureia;15;260;0.997;0.998;0.998;0.9990000000000001;0.9990000000000001
Ureia;30;60;0.7559999999999999;0.777;0.777;0.9359999999999999;0.799
Ureia;30;100;0.996;0.997;0.997;0.9990000000000001;0.998
Ureia;30;260;0.997;0.998;0.998;1.0;0.9990000000000001
