RG72 w;RG72 G1;RG72 G2;RG72 T
0,0628;3,45;10,7;25,0
0,0811;5,34;12,9;25,0
0,105;8,01;15,2;25,0
0,135;11,5;17,2;25,0
0,175;15,7;18,6;25,0
0,226;20,4;19,0;25,0
0,292;25,0;18,4;25,0
0,377;29,0;16,9;25,0
0,486;32,4;14,9;25,0
0,628;34,9;12,7;25,0
0,811;36,7;10,5;25,0
1,05;37,9;8,57;25,0
1,35;38,7;6,91;25,0
1,75;39,1;5,56;25,0
2,26;39,6;4,45;25,0
2,92;39,8;3,66;25,0
3,77;39,8;2,98;25,0
4,86;40,7;2,38;25,0
6,28;40,5;1,94;25,0
8,11;40,1;1,81;25,0
10,5;40,8;1,58;25,0
13,5;40,6;1,10;25,0
17,5;42,0;2,03;25,0
22,6;41,0;1,69;25,0
29,2;55,9;2,34;25,0
37,7;24,4;14,3;25,0
48,6;43,4;11,8;25,0
62,8;82,3;2,84;25,0
