RH189-3 w;RH189-3 G1;RH189-3 G2;RH189-3 T
0,0628;0,209;3,18;25,0
0,0811;0,350;4,10;25,0
0,105;0,582;5,27;25,0
0,135;0,968;6,76;25,0
0,175;1,60;8,64;25,0
0,226;2,65;11,0;25,0
0,292;4,29;13,7;25,0
0,377;6,76;16,7;25,0
0,486;10,3;19,7;25,0
0,628;14,9;22,2;25,0
0,811;20,5;23,8;25,0
1,05;26,6;23,9;25,0
1,35;32,2;22,7;25,0
1,75;37,1;20,5;25,0
2,26;40,8;17,6;25,0
2,92;43,7;14,8;25,0
3,77;45,7;12,2;25,0
4,86;46,5;9,81;25,0
6,28;47,7;7,99;25,0
8,11;48,4;6,46;25,0
10,5;48,8;5,36;25,0
13,5;49,2;4,47;25,0
17,5;49,6;3,78;25,0
22,6;49,9;3,15;25,0
29,2;51,5;2,74;25,0
37,7;54,5;2,16;25,0
48,6;54,8;7,68;25,0
62,8;50,4;12,9;25,0
