RH189 w;RH189 G1;RH189 G2;RH189 T
0,0628;0,194;3,02;25,0
0,0811;0,329;3,89;25,0
0,105;0,451;4,61;25,1
0,135;1,12;7,05;24,8
0,175;1,48;8,24;25,0
0,226;2,46;10,5;25,0
0,292;3,95;13,1;25,0
0,377;6,27;16,1;25,0
0,486;9,50;19,0;25,0
0,628;13,8;21,6;25,0
0,811;18,7;23,3;25,0
1,05;24,1;23,9;25,1
1,35;29,7;23,4;25,2
1,75;34,5;21,6;25,2
2,26;38,6;19,2;25,3
2,92;42,0;16,6;25,4
3,77;44,4;14,0;25,4
4,86;45,5;11,3;25,4
6,28;46,9;9,30;25,4
8,11;47,6;7,57;25,4
10,5;48,3;6,22;25,4
13,5;48,9;5,16;25,4
17,5;49,0;4,38;25,4
22,6;49,8;3,63;25,3
29,2;50,9;3,25;25,3
37,7;53,1;2,21;25,2
48,6;53,6;0,836;25,2
62,8;58,0;10,2;25,2
