Agua3 w;Agua3 G1;Agua3 G2;Agua3 T
0,06283;1,495;8,571;24,92
0,08115;2,273;10,30;25,08
0,1048;3,949;13,62;24,85
0,1354;6,391;16,61;24,98
0,1748;8,365;18,55;25,19
0,2258;11,02;20,90;25,46
0,2916;23,11;25,03;24,27
0,3767;30,11;24,59;24,26
0,4865;33,83;23,74;24,87
0,6283;37,75;22,11;24,99
0,8115;41,80;19,57;25,0
1,048;44,86;16,65;25,0
1,354;47,09;13,75;25,0
1,748;48,90;11,29;25,0
2,258;50,17;9,193;25,01
2,916;50,70;7,437;25,02
3,767;51,24;6,137;25,03
4,865;51,06;4,851;25,04
6,283;51,84;4,063;25,05
8,115;51,89;3,557;25,07
10,48;52,18;2,932;25,09
13,54;52,23;2,453;25,12
17,48;51,83;2,258;25,15
22,58;52,67;2,333;25,18
29,16;51,18;2,446;25,23
37,67;57,16;4,983;25,27
48,65;45,35;15,01;25,32
62,83;105,2;5,841;25,38
