Q(1/nm) TTAB30045P_50_norm_minus_branco1_norm.dat 
1.3431242E-01 1.3885398E+08 
1.4240868E-01 1.0958655E+08 
1.5050495E-01 8.5428336E+07 
1.5860121E-01 6.7443232E+07 
1.6669747E-01 5.3508948E+07 
1.7479375E-01 4.3369152E+07 
1.8289001E-01 3.5166076E+07 
1.9098628E-01 2.8739910E+07 
1.9908255E-01 2.3771224E+07 
2.0717882E-01 1.9632152E+07 
2.1527508E-01 1.6359506E+07 
2.2337136E-01 1.3766616E+07 
2.3146760E-01 1.1629099E+07 
2.3956388E-01 9.7688180E+06 
2.4766015E-01 8.2222130E+06 
2.5575641E-01 6.9718280E+06 
2.6385269E-01 5.9913590E+06 
2.7194893E-01 5.0329645E+06 
2.8004521E-01 4.3045455E+06 
2.8814149E-01 3.5524078E+06 
2.9623777E-01 3.0157258E+06 
3.0433401E-01 2.5423592E+06 
3.1243026E-01 2.1830400E+06 
3.2052654E-01 1.7679828E+06 
3.2862282E-01 1.4337318E+06 
3.3671910E-01 1.2541219E+06 
3.4481534E-01 1.0049059E+06 
3.5291159E-01 7.8746262E+05 
3.6100787E-01 6.6187881E+05 
3.6910415E-01 4.8967381E+05 
3.7720042E-01 3.5104678E+05 
3.8529667E-01 2.7368012E+05 
3.9339295E-01 2.0726756E+05 
4.0148920E-01 1.0331860E+05 
4.0958548E-01 5.2811984E+04 
4.1768175E-01 -2.3948168E+04 
4.2577800E-01 -2.7846791E+04 
4.3387428E-01 -6.9585766E+04 
4.4197056E-01 -8.8536805E+04 
4.5006680E-01 -8.8796938E+04 
4.5816308E-01 -8.2944141E+04 
4.6625933E-01 -8.4857719E+04 
4.7435561E-01 -1.0358880E+05 
4.8245189E-01 -9.8772898E+04 
4.9054813E-01 -7.4751711E+04 
4.9864441E-01 -5.9050113E+04 
5.0674069E-01 -4.5207855E+04 
5.1483691E-01 -8.8257203E+04 
5.2293324E-01 3.3181956E+03 
5.3102946E-01 1.5706280E+04 
5.3912574E-01 4.4391977E+04 
5.4722202E-01 1.0242635E+05 
5.5531824E-01 1.8885936E+05 
5.6341457E-01 2.3042294E+05 
5.7151079E-01 3.4679184E+05 
5.7960707E-01 3.1411738E+05 
5.8770335E-01 3.5832347E+05 
5.9579957E-01 4.3104016E+05 
6.0389590E-01 4.8504297E+05 
6.1199212E-01 5.6525850E+05 
6.2008840E-01 6.1104888E+05 
6.2818468E-01 7.5910438E+05 
6.3628095E-01 7.6875225E+05 
6.4437723E-01 8.0531069E+05 
6.5247345E-01 8.9390938E+05 
6.6056973E-01 9.9006719E+05 
6.6866601E-01 1.0466243E+06 
6.7676228E-01 1.1263940E+06 
