Q(1/nm) CTAB100Ur38_norm_minus_branco1_norm.dat 
1.3431242E-01 3.1589533E+08 
1.4240868E-01 3.0324538E+08 
1.5050495E-01 2.9121360E+08 
1.5860121E-01 2.8093040E+08 
1.6669747E-01 2.7447859E+08 
1.7479375E-01 2.7051245E+08 
1.8289001E-01 2.6802054E+08 
1.9098628E-01 2.6711197E+08 
1.9908255E-01 2.6621616E+08 
2.0717882E-01 2.6466067E+08 
2.1527508E-01 2.6171688E+08 
2.2337136E-01 2.5891898E+08 
2.3146760E-01 2.5366928E+08 
2.3956388E-01 2.4606814E+08 
2.4766015E-01 2.3549784E+08 
2.5575641E-01 2.2111107E+08 
2.6385269E-01 2.0489739E+08 
2.7194893E-01 1.8727914E+08 
2.8004521E-01 1.6899274E+08 
2.8814149E-01 1.4999920E+08 
2.9623777E-01 1.3200262E+08 
3.0433401E-01 1.1513147E+08 
3.1243026E-01 1.0009039E+08 
3.2052654E-01 8.7268080E+07 
3.2862282E-01 7.5582488E+07 
3.3671910E-01 6.6373832E+07 
3.4481534E-01 5.8838096E+07 
3.5291159E-01 5.2998088E+07 
3.6100787E-01 4.8165000E+07 
3.6910415E-01 4.4536252E+07 
3.7720042E-01 4.1713276E+07 
3.8529667E-01 3.9299056E+07 
3.9339295E-01 3.7382020E+07 
4.0148920E-01 3.5584404E+07 
4.0958548E-01 3.4486512E+07 
4.1768175E-01 3.3570628E+07 
4.2577800E-01 3.2562600E+07 
4.3387428E-01 3.2027250E+07 
4.4197056E-01 3.1444500E+07 
4.5006680E-01 3.0661918E+07 
4.5816308E-01 3.0002454E+07 
4.6625933E-01 2.9419796E+07 
4.7435561E-01 2.8694760E+07 
4.8245189E-01 2.8116162E+07 
4.9054813E-01 2.7282516E+07 
4.9864441E-01 2.6397950E+07 
5.0674069E-01 2.5508666E+07 
5.1483691E-01 2.4536564E+07 
5.2293324E-01 2.3248958E+07 
5.3102946E-01 2.2205508E+07 
5.3912574E-01 2.1163122E+07 
5.4722202E-01 1.9853278E+07 
5.5531824E-01 1.8701844E+07 
5.6341457E-01 1.7520884E+07 
5.7151079E-01 1.6426680E+07 
5.7960707E-01 1.5312891E+07 
5.8770335E-01 1.4247926E+07 
5.9579957E-01 1.3397114E+07 
6.0389590E-01 1.2476046E+07 
6.1199212E-01 1.1585574E+07 
6.2008840E-01 1.0845567E+07 
6.2818468E-01 1.0206393E+07 
6.3628095E-01 9.5824370E+06 
6.4437723E-01 8.9330790E+06 
6.5247345E-01 8.3763290E+06 
6.6056973E-01 7.9766520E+06 
6.6866601E-01 7.5802220E+06 
6.7676228E-01 7.2799890E+06 
6.8485856E-01 6.9638345E+06 
6.9295478E-01 6.6508710E+06 
7.0105106E-01 6.3059250E+06 
7.0914733E-01 6.0642785E+06 
7.1724361E-01 5.9078280E+06 
7.2533989E-01 5.5623110E+06 
7.3343617E-01 5.3606220E+06 
7.4153239E-01 5.1481155E+06 
7.4962866E-01 4.9349580E+06 
7.5772494E-01 4.6632165E+06 
7.6582122E-01 4.4654285E+06 
7.7391750E-01 4.2667220E+06 
7.8201371E-01 4.0126528E+06 
7.9010999E-01 3.8542285E+06 
7.9820627E-01 3.6928960E+06 
8.0630255E-01 3.5408948E+06 
8.1439883E-01 3.4101072E+06 
8.2249504E-01 3.2461120E+06 
8.3059132E-01 3.0268462E+06 
8.3868760E-01 2.8920755E+06 
8.4678388E-01 2.7649490E+06 
8.5488015E-01 2.6159370E+06 
8.6297643E-01 2.4918560E+06 
8.7107265E-01 2.3774305E+06 
8.7916893E-01 2.3080515E+06 
8.8726521E-01 2.1857175E+06 
8.9536148E-01 2.0663634E+06 
9.0345776E-01 2.0038120E+06 
9.1155398E-01 1.9442109E+06 
9.1965026E-01 1.7781964E+06 
9.2774653E-01 1.7532759E+06 
9.3584281E-01 1.7223131E+06 
9.4393909E-01 1.6298552E+06 
9.5203531E-01 1.5760310E+06 
9.6013159E-01 1.4852546E+06 
9.6822786E-01 1.4681840E+06 
9.7632414E-01 1.4011589E+06 
9.8442042E-01 1.3475886E+06 
9.9251670E-01 1.3492394E+06 
1.0006130E+00 1.3178590E+06 
1.0087092E+00 1.2532035E+06 
1.0168054E+00 1.2578248E+06 
1.0249017E+00 1.2447534E+06 
1.0329981E+00 1.2186594E+06 
1.0410943E+00 1.1754769E+06 
1.0491905E+00 1.1349544E+06 
1.0572867E+00 1.0883718E+06 
1.0653831E+00 1.0951814E+06 
1.0734794E+00 1.0734764E+06 
1.0815756E+00 1.0850565E+06 
1.0896719E+00 1.0515875E+06 
1.0977681E+00 1.0551739E+06 
1.1058644E+00 1.0308441E+06 
1.1139607E+00 1.0252779E+06 
1.1220570E+00 9.9190150E+05 
1.1301532E+00 9.6515744E+05 
1.1382495E+00 9.8949681E+05 
