Q(1/nm) CTAB100a_norm_minus_branco1_norm.dat 
1.3431242E-01 1.8327054E+08 
1.4240868E-01 1.7445104E+08 
1.5050495E-01 1.6686165E+08 
1.5860121E-01 1.6118093E+08 
1.6669747E-01 1.5809907E+08 
1.7479375E-01 1.5561562E+08 
1.8289001E-01 1.5435733E+08 
1.9098628E-01 1.5373178E+08 
1.9908255E-01 1.5340130E+08 
2.0717882E-01 1.5324066E+08 
2.1527508E-01 1.5202818E+08 
2.2337136E-01 1.5210618E+08 
2.3146760E-01 1.5094938E+08 
2.3956388E-01 1.4908136E+08 
2.4766015E-01 1.4714302E+08 
2.5575641E-01 1.4266656E+08 
2.6385269E-01 1.3721594E+08 
2.7194893E-01 1.3111794E+08 
2.8004521E-01 1.2414951E+08 
2.8814149E-01 1.1650850E+08 
2.9623777E-01 1.0815175E+08 
3.0433401E-01 1.0016414E+08 
3.1243026E-01 9.1890432E+07 
3.2052654E-01 8.3609008E+07 
3.2862282E-01 7.5427792E+07 
3.3671910E-01 6.7684296E+07 
3.4481534E-01 6.0435816E+07 
3.5291159E-01 5.4136140E+07 
3.6100787E-01 4.8421448E+07 
3.6910415E-01 4.3135188E+07 
3.7720042E-01 3.8598936E+07 
3.8529667E-01 3.5006988E+07 
3.9339295E-01 3.1781864E+07 
4.0148920E-01 2.8855486E+07 
4.0958548E-01 2.6650944E+07 
4.1768175E-01 2.4692272E+07 
4.2577800E-01 2.3039544E+07 
4.3387428E-01 2.1641464E+07 
4.4197056E-01 2.0550128E+07 
4.5006680E-01 1.9803816E+07 
4.5816308E-01 1.8986016E+07 
4.6625933E-01 1.8281568E+07 
4.7435561E-01 1.7550554E+07 
4.8245189E-01 1.6903366E+07 
4.9054813E-01 1.6513958E+07 
4.9864441E-01 1.5978136E+07 
5.0674069E-01 1.5407490E+07 
5.1483691E-01 1.4648853E+07 
5.2293324E-01 1.4223405E+07 
5.3102946E-01 1.3666199E+07 
5.3912574E-01 1.3159688E+07 
5.4722202E-01 1.2577867E+07 
5.5531824E-01 1.2069302E+07 
5.6341457E-01 1.1514897E+07 
5.7151079E-01 1.1116164E+07 
5.7960707E-01 1.0679584E+07 
5.8770335E-01 1.0056744E+07 
5.9579957E-01 9.5597630E+06 
6.0389590E-01 9.0809450E+06 
6.1199212E-01 8.5681860E+06 
6.2008840E-01 8.2261770E+06 
6.2818468E-01 7.7676640E+06 
6.3628095E-01 7.2670060E+06 
6.4437723E-01 6.9714425E+06 
