Q(1/nm) CTAB200_norm_minus_branco1_norm.dat 
1.3431242E-01 1.6686110E+08 
1.4240868E-01 1.5423475E+08 
1.5050495E-01 1.4433698E+08 
1.5860121E-01 1.3684686E+08 
1.6669747E-01 1.3263831E+08 
1.7479375E-01 1.2939468E+08 
1.8289001E-01 1.2773382E+08 
1.9098628E-01 1.2779635E+08 
1.9908255E-01 1.2784471E+08 
2.0717882E-01 1.2968322E+08 
2.1527508E-01 1.3266795E+08 
2.2337136E-01 1.3625949E+08 
2.3146760E-01 1.4100312E+08 
2.3956388E-01 1.4771350E+08 
2.4766015E-01 1.5363542E+08 
2.5575641E-01 1.6041405E+08 
2.6385269E-01 1.6691813E+08 
2.7194893E-01 1.7366840E+08 
2.8004521E-01 1.7920706E+08 
2.8814149E-01 1.8264834E+08 
2.9623777E-01 1.8481531E+08 
3.0433401E-01 1.8483315E+08 
3.1243026E-01 1.8253152E+08 
3.2052654E-01 1.7709283E+08 
3.2862282E-01 1.6856074E+08 
3.3671910E-01 1.5717690E+08 
3.4481534E-01 1.4423238E+08 
3.5291159E-01 1.3026807E+08 
3.6100787E-01 1.1556138E+08 
3.6910415E-01 1.0129614E+08 
3.7720042E-01 8.7615272E+07 
3.8529667E-01 7.5087040E+07 
3.9339295E-01 6.3796936E+07 
4.0148920E-01 5.4223124E+07 
4.0958548E-01 4.5900148E+07 
4.1768175E-01 3.9009232E+07 
4.2577800E-01 3.3845704E+07 
4.3387428E-01 2.9312632E+07 
4.4197056E-01 2.5905238E+07 
4.5006680E-01 2.3070772E+07 
4.5816308E-01 2.1091584E+07 
4.6625933E-01 1.9429352E+07 
4.7435561E-01 1.8312578E+07 
4.8245189E-01 1.7545226E+07 
4.9054813E-01 1.6746234E+07 
4.9864441E-01 1.6047734E+07 
5.0674069E-01 1.5636140E+07 
5.1483691E-01 1.5334097E+07 
5.2293324E-01 1.5321437E+07 
5.3102946E-01 1.5070163E+07 
5.3912574E-01 1.4762662E+07 
5.4722202E-01 1.4927127E+07 
5.5531824E-01 1.4957317E+07 
5.6341457E-01 1.4771460E+07 
5.7151079E-01 1.4743305E+07 
5.7960707E-01 1.4471458E+07 
5.8770335E-01 1.4364622E+07 
5.9579957E-01 1.4134343E+07 
6.0389590E-01 1.3923880E+07 
6.1199212E-01 1.3657982E+07 
6.2008840E-01 1.3219531E+07 
6.2818468E-01 1.2863641E+07 
6.3628095E-01 1.2522283E+07 
6.4437723E-01 1.2013593E+07 
6.5247345E-01 1.1372318E+07 
6.6056973E-01 1.0828115E+07 
6.6866601E-01 1.0326846E+07 
6.7676228E-01 9.7956680E+06 
6.8485856E-01 9.3055630E+06 
6.9295478E-01 8.6493640E+06 
7.0105106E-01 8.2020635E+06 
7.0914733E-01 7.5864445E+06 
7.1724361E-01 7.0364510E+06 
7.2533989E-01 6.4725510E+06 
7.3343617E-01 6.0269830E+06 
7.4153239E-01 5.5823330E+06 
7.4962866E-01 5.2249350E+06 
7.5772494E-01 4.8199110E+06 
7.6582122E-01 4.4736415E+06 
7.7391750E-01 4.1378075E+06 
7.8201371E-01 3.9169242E+06 
7.9010999E-01 3.6779802E+06 
7.9820627E-01 3.4118358E+06 
8.0630255E-01 3.1958050E+06 
8.1439883E-01 3.0349455E+06 
8.2249504E-01 2.9043175E+06 
8.3059132E-01 2.8230942E+06 
8.3868760E-01 2.5911430E+06 
8.4678388E-01 2.4741970E+06 
8.5488015E-01 2.3482358E+06 
8.6297643E-01 2.2046715E+06 
8.7107265E-01 2.1180540E+06 
8.7916893E-01 2.1128390E+06 
8.8726521E-01 2.1008902E+06 
8.9536148E-01 1.9681080E+06 
9.0345776E-01 1.8346076E+06 
9.1155398E-01 1.7744311E+06 
9.1965026E-01 1.7863639E+06 
9.2774653E-01 1.6822629E+06 
9.3584281E-01 1.5843180E+06 
9.4393909E-01 1.5915425E+06 
9.5203531E-01 1.5172815E+06 
9.6013159E-01 1.4533405E+06 
9.6822786E-01 1.3682671E+06 
9.7632414E-01 1.3520378E+06 
9.8442042E-01 1.2804542E+06 
9.9251670E-01 1.2301018E+06 
1.0006130E+00 1.2294054E+06 
1.0087092E+00 1.2142644E+06 
1.0168054E+00 1.2643306E+06 
1.0249017E+00 1.1943098E+06 
1.0329981E+00 1.1195566E+06 
1.0410943E+00 1.1174534E+06 
1.0491905E+00 1.0956865E+06 
1.0572867E+00 1.1052640E+06 
1.0653831E+00 1.1141171E+06 
1.0734794E+00 1.0599830E+06 
1.0815756E+00 1.0294902E+06 
1.0896719E+00 1.0395844E+06 
1.0977681E+00 1.0518598E+06 
1.1058644E+00 1.0440242E+06 
1.1139607E+00 1.0143848E+06 
1.1220570E+00 1.0331752E+06 
1.1301532E+00 1.0503710E+06 
1.1382495E+00 1.0548050E+06 
1.1463457E+00 1.0496996E+06 
1.1544420E+00 9.9627312E+05 
1.1625383E+00 1.0330292E+06 
1.1706345E+00 1.0167972E+06 
1.1787308E+00 1.0304792E+06 
1.1868271E+00 1.0135759E+06 
1.1949233E+00 1.0829799E+06 
1.2030196E+00 1.0914219E+06 
1.2111158E+00 1.0558271E+06 
1.2192122E+00 1.0414929E+06 
1.2273084E+00 1.0676720E+06 
1.2354046E+00 1.1067638E+06 
1.2435009E+00 1.1257479E+06 
1.2515972E+00 1.1224379E+06 
1.2596935E+00 1.0886309E+06 
1.2677897E+00 1.1489051E+06 
1.2758859E+00 1.1548552E+06 
1.2839823E+00 1.0904110E+06 
1.2920785E+00 1.1369334E+06 
1.3001748E+00 1.1773560E+06 
1.3082711E+00 1.1932350E+06 
1.3163674E+00 1.1625859E+06 
1.3244636E+00 1.1767054E+06 
1.3325598E+00 1.2251490E+06 
1.3406562E+00 1.1987999E+06 
1.3487524E+00 1.2373292E+06 
1.3568487E+00 1.2491515E+06 
1.3649449E+00 1.2329140E+06 
1.3730412E+00 1.2399055E+06 
1.3811375E+00 1.2489228E+06 
1.3892337E+00 1.2427358E+06 
1.3973300E+00 1.2711459E+06 
1.4054263E+00 1.3227495E+06 
1.4135225E+00 1.2780796E+06 
1.4216188E+00 1.2677315E+06 
1.4297150E+00 1.3121784E+06 
1.4378114E+00 1.3089152E+06 
1.4459076E+00 1.3181981E+06 
1.4540038E+00 1.3242371E+06 
1.4621001E+00 1.3144472E+06 
1.4701964E+00 1.3280831E+06 
1.4782927E+00 1.3568781E+06 
1.4863889E+00 1.3582380E+06 
1.4944851E+00 1.3836045E+06 
1.5025815E+00 1.4253760E+06 
1.5106777E+00 1.3879974E+06 
1.5187740E+00 1.3961106E+06 
1.5268703E+00 1.3773372E+06 
1.5349665E+00 1.4050961E+06 
1.5430628E+00 1.3954165E+06 
1.5511590E+00 1.3871186E+06 
1.5592554E+00 1.4069216E+06 
1.5673516E+00 1.3803684E+06 
1.5754479E+00 1.3948122E+06 
1.5835441E+00 1.3935656E+06 
1.5916404E+00 1.3823544E+06 
1.5997367E+00 1.3680656E+06 
1.6078329E+00 1.4057268E+06 
1.6159292E+00 1.4145762E+06 
1.6240255E+00 1.4032140E+06 
1.6321217E+00 1.4418484E+06 
