Q(1/nm) DTAB200_norm_minus_branco1_norm.dat 
1.3431242E-01 2.8571940E+07 
1.4240868E-01 3.0974294E+07 
1.5050495E-01 2.9363904E+07 
1.5860121E-01 2.6798430E+07 
1.6669747E-01 2.4941014E+07 
1.7479375E-01 2.3956838E+07 
1.8289001E-01 2.3355000E+07 
1.9098628E-01 2.3154588E+07 
1.9908255E-01 2.3750074E+07 
2.0717882E-01 2.4256634E+07 
2.1527508E-01 2.5421456E+07 
2.2337136E-01 2.7573898E+07 
2.3146760E-01 3.0142262E+07 
2.3956388E-01 3.3683684E+07 
2.4766015E-01 3.7814704E+07 
2.5575641E-01 4.3287836E+07 
2.6385269E-01 4.9382432E+07 
2.7194893E-01 5.6129432E+07 
2.8004521E-01 6.1846832E+07 
2.8814149E-01 6.4716116E+07 
2.9623777E-01 6.4342652E+07 
3.0433401E-01 5.9653308E+07 
3.1243026E-01 5.1363136E+07 
3.2052654E-01 4.1261108E+07 
3.2862282E-01 3.1807138E+07 
3.3671910E-01 2.4012298E+07 
3.4481534E-01 1.8081022E+07 
3.5291159E-01 1.3906648E+07 
3.6100787E-01 1.0849036E+07 
3.6910415E-01 8.8609520E+06 
3.7720042E-01 7.4206615E+06 
3.8529667E-01 6.2618165E+06 
3.9339295E-01 5.4308595E+06 
4.0148920E-01 4.8276540E+06 
4.0958548E-01 4.4227740E+06 
4.1768175E-01 4.2100080E+06 
4.2577800E-01 3.9336595E+06 
4.3387428E-01 3.7428108E+06 
4.4197056E-01 3.7114330E+06 
4.5006680E-01 3.6256155E+06 
4.5816308E-01 3.6226142E+06 
4.6625933E-01 3.6675715E+06 
4.7435561E-01 3.7267018E+06 
4.8245189E-01 3.7921752E+06 
4.9054813E-01 3.9053780E+06 
4.9864441E-01 4.0197282E+06 
5.0674069E-01 4.1847710E+06 
5.1483691E-01 4.4074775E+06 
5.2293324E-01 4.6055170E+06 
5.3102946E-01 4.8319875E+06 
5.3912574E-01 4.9904360E+06 
5.4722202E-01 5.2527960E+06 
5.5531824E-01 5.4269070E+06 
5.6341457E-01 5.6492570E+06 
5.7151079E-01 5.7372930E+06 
5.7960707E-01 5.6910740E+06 
5.8770335E-01 5.6211865E+06 
5.9579957E-01 5.4892925E+06 
6.0389590E-01 5.2297990E+06 
6.1199212E-01 4.9535090E+06 
6.2008840E-01 4.5381495E+06 
6.2818468E-01 4.1944935E+06 
6.3628095E-01 3.8644090E+06 
6.4437723E-01 3.5129978E+06 
6.5247345E-01 3.1655168E+06 
6.6056973E-01 2.8714930E+06 
6.6866601E-01 2.5758215E+06 
6.7676228E-01 2.3964705E+06 
6.8485856E-01 2.2213400E+06 
6.9295478E-01 2.0365925E+06 
7.0105106E-01 1.9097119E+06 
7.0914733E-01 1.8069314E+06 
7.1724361E-01 1.7222189E+06 
7.2533989E-01 1.6651546E+06 
7.3343617E-01 1.6182000E+06 
7.4153239E-01 1.5554905E+06 
7.4962866E-01 1.5423975E+06 
7.5772494E-01 1.4921518E+06 
7.6582122E-01 1.4349821E+06 
7.7391750E-01 1.4578561E+06 
7.8201371E-01 1.4296574E+06 
7.9010999E-01 1.4436654E+06 
7.9820627E-01 1.4399328E+06 
8.0630255E-01 1.4295055E+06 
8.1439883E-01 1.4341931E+06 
8.2249504E-01 1.4066958E+06 
8.3059132E-01 1.4278268E+06 
8.3868760E-01 1.3790244E+06 
8.4678388E-01 1.4355978E+06 
8.5488015E-01 1.3990256E+06 
8.6297643E-01 1.3533702E+06 
8.7107265E-01 1.3939109E+06 
8.7916893E-01 1.3865575E+06 
8.8726521E-01 1.3373919E+06 
8.9536148E-01 1.3089940E+06 
9.0345776E-01 1.3305652E+06 
9.1155398E-01 1.2654014E+06 
9.1965026E-01 1.2409176E+06 
9.2774653E-01 1.1790969E+06 
9.3584281E-01 1.1594435E+06 
9.4393909E-01 1.1149622E+06 
9.5203531E-01 1.0692885E+06 
9.6013159E-01 1.0543161E+06 
9.6822786E-01 1.0381269E+06 
9.7632414E-01 1.0142101E+06 
9.8442042E-01 9.9655950E+05 
9.9251670E-01 9.2577250E+05 
1.0006130E+00 9.2382388E+05 
1.0087092E+00 9.1377600E+05 
1.0168054E+00 9.2437412E+05 
1.0249017E+00 9.1342375E+05 
1.0329981E+00 8.7149762E+05 
1.0410943E+00 8.6734669E+05 
1.0491905E+00 9.0806612E+05 
1.0572867E+00 8.9501881E+05 
1.0653831E+00 8.4676962E+05 
1.0734794E+00 8.0898694E+05 
1.0815756E+00 8.5257406E+05 
1.0896719E+00 8.3095956E+05 
1.0977681E+00 8.1642219E+05 
1.1058644E+00 7.9648475E+05 
1.1139607E+00 8.0697006E+05 
1.1220570E+00 8.1803275E+05 
1.1301532E+00 8.1102906E+05 
1.1382495E+00 8.4117419E+05 
1.1463457E+00 8.4475400E+05 
1.1544420E+00 8.2738588E+05 
1.1625383E+00 8.1218656E+05 
1.1706345E+00 7.8025094E+05 
1.1787308E+00 7.9045475E+05 
1.1868271E+00 8.1441462E+05 
1.1949233E+00 7.8433044E+05 
1.2030196E+00 7.7336012E+05 
1.2111158E+00 7.5812012E+05 
1.2192122E+00 7.4439725E+05 
1.2273084E+00 7.5769019E+05 
1.2354046E+00 7.7670006E+05 
1.2435009E+00 7.8182369E+05 
1.2515972E+00 7.4757800E+05 
1.2596935E+00 7.4501019E+05 
1.2677897E+00 7.5598975E+05 
1.2758859E+00 7.4965531E+05 
1.2839823E+00 7.5986406E+05 
1.2920785E+00 8.0004888E+05 
1.3001748E+00 7.4944450E+05 
1.3082711E+00 7.3242425E+05 
1.3163674E+00 7.4574525E+05 
1.3244636E+00 7.5499944E+05 
1.3325598E+00 7.4588088E+05 
1.3406562E+00 7.2601762E+05 
1.3487524E+00 7.2818219E+05 
1.3568487E+00 7.2368762E+05 
