Q(1/nm) DTAB200a_norm_minus_branco1_norm.dat 
1.3431242E-01 3.5351172E+07 
1.4240868E-01 3.2543394E+07 
1.5050495E-01 3.0440510E+07 
1.5860121E-01 2.9738202E+07 
1.6669747E-01 2.8879180E+07 
1.7479375E-01 2.8633544E+07 
1.8289001E-01 2.9237076E+07 
1.9098628E-01 2.9376686E+07 
1.9908255E-01 3.0170206E+07 
2.0717882E-01 3.1601284E+07 
2.1527508E-01 3.3526030E+07 
2.2337136E-01 3.6615144E+07 
2.3146760E-01 4.0103420E+07 
2.3956388E-01 4.4677028E+07 
2.4766015E-01 4.9790472E+07 
2.5575641E-01 5.6724740E+07 
2.6385269E-01 6.3783612E+07 
2.7194893E-01 6.9306504E+07 
2.8004521E-01 7.3819264E+07 
2.8814149E-01 7.4456752E+07 
2.9623777E-01 7.3665840E+07 
3.0433401E-01 6.8337024E+07 
3.1243026E-01 6.0405700E+07 
3.2052654E-01 5.0507064E+07 
3.2862282E-01 3.9791268E+07 
3.3671910E-01 3.1163936E+07 
3.4481534E-01 2.3479398E+07 
3.5291159E-01 1.8069094E+07 
3.6100787E-01 1.4102121E+07 
3.6910415E-01 1.1182187E+07 
3.7720042E-01 9.2382210E+06 
3.8529667E-01 7.7668475E+06 
3.9339295E-01 7.0038930E+06 
4.0148920E-01 6.2543325E+06 
4.0958548E-01 5.8284930E+06 
4.1768175E-01 5.6176855E+06 
4.2577800E-01 5.2475405E+06 
4.3387428E-01 5.1902025E+06 
4.4197056E-01 5.1455535E+06 
4.5006680E-01 5.0394575E+06 
4.5816308E-01 5.0508790E+06 
4.6625933E-01 5.0308435E+06 
4.7435561E-01 5.1023785E+06 
4.8245189E-01 5.2354765E+06 
4.9054813E-01 5.4036510E+06 
4.9864441E-01 5.5748065E+06 
5.0674069E-01 5.8102955E+06 
5.1483691E-01 5.9582735E+06 
5.2293324E-01 6.3303285E+06 
5.3102946E-01 6.6064345E+06 
5.3912574E-01 6.8153575E+06 
5.4722202E-01 7.1823245E+06 
5.5531824E-01 7.4658065E+06 
5.6341457E-01 7.7073735E+06 
5.7151079E-01 7.6345450E+06 
5.7960707E-01 7.6545040E+06 
5.8770335E-01 7.5179870E+06 
5.9579957E-01 7.2624735E+06 
6.0389590E-01 6.8393520E+06 
6.1199212E-01 6.2994275E+06 
6.2008840E-01 5.8883745E+06 
6.2818468E-01 5.3800390E+06 
6.3628095E-01 4.9102270E+06 
6.4437723E-01 4.3676215E+06 
6.5247345E-01 3.8194800E+06 
6.6056973E-01 3.5161785E+06 
6.6866601E-01 3.2209295E+06 
6.7676228E-01 2.9523635E+06 
6.8485856E-01 2.8251865E+06 
6.9295478E-01 2.6091078E+06 
7.0105106E-01 2.4365115E+06 
7.0914733E-01 2.3101392E+06 
7.1724361E-01 2.1863725E+06 
7.2533989E-01 2.1214645E+06 
7.3343617E-01 1.9551678E+06 
7.4153239E-01 2.0043014E+06 
7.4962866E-01 1.9749255E+06 
7.5772494E-01 1.9361332E+06 
7.6582122E-01 1.9306518E+06 
7.7391750E-01 1.8425730E+06 
7.8201371E-01 1.9367345E+06 
7.9010999E-01 1.9369121E+06 
7.9820627E-01 1.9292029E+06 
8.0630255E-01 1.9162625E+06 
8.1439883E-01 1.9334411E+06 
8.2249504E-01 2.0031665E+06 
8.3059132E-01 1.9355280E+06 
8.3868760E-01 1.9088689E+06 
8.4678388E-01 1.8950751E+06 
8.5488015E-01 1.8453958E+06 
8.6297643E-01 1.8671164E+06 
8.7107265E-01 1.8131728E+06 
8.7916893E-01 1.8001332E+06 
8.8726521E-01 1.8048331E+06 
8.9536148E-01 1.7515549E+06 
9.0345776E-01 1.6343509E+06 
9.1155398E-01 1.6752559E+06 
9.1965026E-01 1.6397546E+06 
9.2774653E-01 1.5653294E+06 
9.3584281E-01 1.5403038E+06 
9.4393909E-01 1.5062375E+06 
9.5203531E-01 1.4598450E+06 
9.6013159E-01 1.4451059E+06 
9.6822786E-01 1.3638996E+06 
9.7632414E-01 1.3175664E+06 
9.8442042E-01 1.2513758E+06 
9.9251670E-01 1.2784010E+06 
1.0006130E+00 1.2265850E+06 
1.0087092E+00 1.1939531E+06 
1.0168054E+00 1.2032778E+06 
1.0249017E+00 1.2197841E+06 
1.0329981E+00 1.1937671E+06 
1.0410943E+00 1.1854090E+06 
1.0491905E+00 1.2155524E+06 
1.0572867E+00 1.1317191E+06 
1.0653831E+00 1.1412974E+06 
1.0734794E+00 1.1946276E+06 
1.0815756E+00 1.1440082E+06 
1.0896719E+00 1.1351198E+06 
1.0977681E+00 1.1152691E+06 
1.1058644E+00 1.0892009E+06 
1.1139607E+00 1.1335392E+06 
1.1220570E+00 1.1718236E+06 
1.1301532E+00 1.0875985E+06 
1.1382495E+00 1.0881824E+06 
1.1463457E+00 1.1090408E+06 
1.1544420E+00 1.0654948E+06 
1.1625383E+00 1.0412474E+06 
1.1706345E+00 1.0493412E+06 
1.1787308E+00 1.0160321E+06 
1.1868271E+00 1.0473006E+06 
1.1949233E+00 1.0575835E+06 
1.2030196E+00 1.0607315E+06 
1.2111158E+00 1.0946445E+06 
1.2192122E+00 1.0529410E+06 
1.2273084E+00 1.0646339E+06 
1.2354046E+00 1.0536929E+06 
1.2435009E+00 1.0401038E+06 
1.2515972E+00 1.0137477E+06 
1.2596935E+00 1.0560276E+06 
1.2677897E+00 1.0523871E+06 
1.2758859E+00 1.0250449E+06 
1.2839823E+00 9.8546544E+05 
1.2920785E+00 9.9890056E+05 
1.3001748E+00 1.0168860E+06 
1.3082711E+00 1.0069134E+06 
1.3163674E+00 1.0258978E+06 
1.3244636E+00 1.0224269E+06 
1.3325598E+00 9.9954825E+05 
1.3406562E+00 1.0239541E+06 
1.3487524E+00 1.0561925E+06 
1.3568487E+00 1.0344477E+06 
1.3649449E+00 1.0416434E+06 
1.3730412E+00 1.0162399E+06 
1.3811375E+00 1.0333202E+06 
1.3892337E+00 1.0054621E+06 
1.3973300E+00 9.8539656E+05 
1.4054263E+00 1.0180186E+06 
1.4135225E+00 1.0527979E+06 
1.4216188E+00 1.0409474E+06 
1.4297150E+00 1.0380809E+06 
1.4378114E+00 1.0023099E+06 
1.4459076E+00 1.0222460E+06 
1.4540038E+00 1.0325741E+06 
1.4621001E+00 1.0156157E+06 
1.4701964E+00 1.0360170E+06 
1.4782927E+00 1.0372318E+06 
1.4863889E+00 1.0414880E+06 
1.4944851E+00 1.0133946E+06 
1.5025815E+00 1.0261022E+06 
1.5106777E+00 1.0259654E+06 
1.5187740E+00 1.0534534E+06 
1.5268703E+00 1.0299668E+06 
1.5349665E+00 1.0541308E+06 
1.5430628E+00 1.0698779E+06 
1.5511590E+00 1.0380822E+06 
1.5592554E+00 1.0312711E+06 
1.5673516E+00 1.0305106E+06 
1.5754479E+00 1.0284062E+06 
1.5835441E+00 1.0228887E+06 
1.5916404E+00 1.0266778E+06 
1.5997367E+00 1.0548170E+06 
1.6078329E+00 1.0301862E+06 
1.6159292E+00 1.0470810E+06 
1.6240255E+00 1.0635230E+06 
1.6321217E+00 1.0593662E+06 
1.6402180E+00 1.0349663E+06 
1.6483142E+00 1.0599168E+06 
1.6564106E+00 1.0502431E+06 
1.6645068E+00 1.0156697E+06 
1.6726030E+00 1.0680210E+06 
1.6806993E+00 1.0790395E+06 
1.6887956E+00 1.0470209E+06 
1.6968919E+00 1.0803830E+06 
1.7049881E+00 1.0384294E+06 
1.7130843E+00 1.0374029E+06 
1.7211807E+00 1.0502850E+06 
1.7292769E+00 1.0423431E+06 
1.7373732E+00 1.0687065E+06 
1.7454695E+00 1.0738852E+06 
1.7535657E+00 1.0533894E+06 
1.7616620E+00 1.0548976E+06 
1.7697582E+00 1.0363018E+06 
1.7778546E+00 1.0741492E+06 
1.7859508E+00 1.0894012E+06 
1.7940470E+00 1.0840314E+06 
1.8021433E+00 1.0768718E+06 
1.8102396E+00 1.0974049E+06 
1.8183359E+00 1.0754404E+06 
1.8264321E+00 1.0835870E+06 
1.8345284E+00 1.0621325E+06 
1.8426247E+00 1.0643461E+06 
1.8507209E+00 1.0841950E+06 
1.8588172E+00 1.1003685E+06 
1.8669134E+00 1.0604576E+06 
1.8750098E+00 1.0799495E+06 
1.8831060E+00 1.0849682E+06 
1.8912022E+00 1.0889561E+06 
1.8992985E+00 1.1099088E+06 
1.9073948E+00 1.1073172E+06 
1.9154911E+00 1.0699922E+06 
1.9235873E+00 1.0835091E+06 
1.9316835E+00 1.0578031E+06 
1.9397799E+00 1.0694812E+06 
1.9478761E+00 1.0674559E+06 
1.9559724E+00 1.0812794E+06 
1.9640687E+00 1.0889810E+06 
1.9721649E+00 1.0834390E+06 
1.9802612E+00 1.0848474E+06 
1.9883574E+00 1.0823750E+06 
1.9964538E+00 1.0755188E+06 
2.0045500E+00 1.0873831E+06 
2.0126462E+00 1.0543895E+06 
2.0207424E+00 1.0345578E+06 
2.0288386E+00 1.0871165E+06 
2.0369351E+00 1.1045156E+06 
2.0450313E+00 1.0741195E+06 
2.0531275E+00 1.0852094E+06 
2.0612240E+00 1.0903419E+06 
2.0693202E+00 1.1038250E+06 
2.0774164E+00 1.1288886E+06 
2.0855126E+00 1.1201888E+06 
2.0936089E+00 1.1083340E+06 
2.1017051E+00 1.1071048E+06 
2.1098013E+00 1.1043536E+06 
2.1178977E+00 1.0841304E+06 
2.1259940E+00 1.0759108E+06 
2.1340902E+00 1.0426506E+06 
2.1421864E+00 1.0614932E+06 
2.1502829E+00 1.0906800E+06 
2.1583791E+00 1.0919500E+06 
2.1664753E+00 1.0733604E+06 
2.1745715E+00 1.0583496E+06 
2.1826677E+00 1.0532792E+06 
2.1907642E+00 1.0725328E+06 
2.1988604E+00 1.0598645E+06 
2.2069566E+00 1.0722035E+06 
2.2150528E+00 1.1000025E+06 
2.2231493E+00 1.0866876E+06 
2.2312455E+00 1.0954228E+06 
2.2393417E+00 1.0954415E+06 
2.2474380E+00 1.1122978E+06 
2.2555342E+00 1.0950902E+06 
