Q(1/nm) MG2_norm_minus_branco1_norm.dat 
1.3431242E-01 1.6407362E+08 
1.4240868E-01 1.4643043E+08 
1.5050495E-01 1.2782654E+08 
1.5860121E-01 1.1323549E+08 
1.6669747E-01 1.0042202E+08 
1.7479375E-01 9.0687296E+07 
1.8289001E-01 8.1965328E+07 
1.9098628E-01 7.5065712E+07 
1.9908255E-01 6.8996760E+07 
2.0717882E-01 6.3754140E+07 
2.1527508E-01 5.8689700E+07 
2.2337136E-01 5.4600760E+07 
2.3146760E-01 5.1535852E+07 
2.3956388E-01 4.8349824E+07 
2.4766015E-01 4.6149880E+07 
2.5575641E-01 4.3877852E+07 
2.6385269E-01 4.1699116E+07 
2.7194893E-01 3.9930536E+07 
2.8004521E-01 3.8398880E+07 
2.8814149E-01 3.6593152E+07 
2.9623777E-01 3.5876404E+07 
3.0433401E-01 3.4705896E+07 
3.1243026E-01 3.3477432E+07 
3.2052654E-01 3.2878822E+07 
3.2862282E-01 3.1880456E+07 
3.3671910E-01 3.0951750E+07 
3.4481534E-01 3.0726862E+07 
3.5291159E-01 3.0180190E+07 
3.6100787E-01 2.9758742E+07 
3.6910415E-01 2.9724966E+07 
3.7720042E-01 2.9211514E+07 
3.8529667E-01 2.9116596E+07 
3.9339295E-01 2.9150512E+07 
4.0148920E-01 2.9108454E+07 
4.0958548E-01 2.9172942E+07 
4.1768175E-01 2.9440492E+07 
4.2577800E-01 2.9463674E+07 
4.3387428E-01 2.9871712E+07 
4.4197056E-01 3.0200404E+07 
4.5006680E-01 3.0591576E+07 
4.5816308E-01 3.1086000E+07 
4.6625933E-01 3.1804228E+07 
4.7435561E-01 3.2479832E+07 
4.8245189E-01 3.2913248E+07 
4.9054813E-01 3.3161470E+07 
4.9864441E-01 3.2967026E+07 
5.0674069E-01 3.2635178E+07 
5.1483691E-01 3.1717320E+07 
5.2293324E-01 3.0355562E+07 
5.3102946E-01 2.8742268E+07 
5.3912574E-01 2.6698996E+07 
5.4722202E-01 2.4251052E+07 
5.5531824E-01 2.2051786E+07 
5.6341457E-01 1.9934348E+07 
5.7151079E-01 1.7934128E+07 
5.7960707E-01 1.5862132E+07 
5.8770335E-01 1.3939390E+07 
5.9579957E-01 1.2477460E+07 
6.0389590E-01 1.1148937E+07 
6.1199212E-01 9.8879190E+06 
6.2008840E-01 8.7776530E+06 
6.2818468E-01 7.8643585E+06 
6.3628095E-01 7.1450655E+06 
6.4437723E-01 6.4460180E+06 
6.5247345E-01 5.7910325E+06 
6.6056973E-01 5.4185095E+06 
6.6866601E-01 5.0038725E+06 
6.7676228E-01 4.5939000E+06 
6.8485856E-01 4.3229570E+06 
6.9295478E-01 3.9542552E+06 
7.0105106E-01 3.7050630E+06 
7.0914733E-01 3.5647975E+06 
7.1724361E-01 3.3006030E+06 
7.2533989E-01 3.0608152E+06 
7.3343617E-01 2.9498208E+06 
7.4153239E-01 2.8619118E+06 
7.4962866E-01 2.7446678E+06 
7.5772494E-01 2.6467928E+06 
7.6582122E-01 2.6092170E+06 
7.7391750E-01 2.4591598E+06 
7.8201371E-01 2.3873700E+06 
7.9010999E-01 2.2811918E+06 
7.9820627E-01 2.1664110E+06 
8.0630255E-01 2.1069378E+06 
8.1439883E-01 2.0486289E+06 
8.2249504E-01 2.0689730E+06 
8.3059132E-01 2.0396094E+06 
8.3868760E-01 1.9149352E+06 
8.4678388E-01 1.8906851E+06 
8.5488015E-01 1.8306368E+06 
8.6297643E-01 1.7881814E+06 
8.7107265E-01 1.7670524E+06 
8.7916893E-01 1.7746155E+06 
8.8726521E-01 1.7686901E+06 
8.9536148E-01 1.7064614E+06 
9.0345776E-01 1.6559101E+06 
9.1155398E-01 1.5947155E+06 
9.1965026E-01 1.6135248E+06 
9.2774653E-01 1.5655555E+06 
9.3584281E-01 1.5194756E+06 
9.4393909E-01 1.5150509E+06 
9.5203531E-01 1.5133048E+06 
9.6013159E-01 1.5386618E+06 
9.6822786E-01 1.4992470E+06 
9.7632414E-01 1.4857165E+06 
9.8442042E-01 1.4212496E+06 
9.9251670E-01 1.3598052E+06 
1.0006130E+00 1.3225231E+06 
1.0087092E+00 1.3449041E+06 
1.0168054E+00 1.3677896E+06 
1.0249017E+00 1.3046529E+06 
1.0329981E+00 1.2742490E+06 
1.0410943E+00 1.2564810E+06 
1.0491905E+00 1.2352390E+06 
1.0572867E+00 1.2606016E+06 
1.0653831E+00 1.2507322E+06 
1.0734794E+00 1.2373085E+06 
1.0815756E+00 1.2740266E+06 
1.0896719E+00 1.2460225E+06 
1.0977681E+00 1.2027244E+06 
1.1058644E+00 1.2392165E+06 
1.1139607E+00 1.2288846E+06 
1.1220570E+00 1.1979685E+06 
1.1301532E+00 1.2625656E+06 
1.1382495E+00 1.2738619E+06 
1.1463457E+00 1.1893681E+06 
1.1544420E+00 1.1990469E+06 
1.1625383E+00 1.2024120E+06 
1.1706345E+00 1.1924024E+06 
1.1787308E+00 1.2555592E+06 
1.1868271E+00 1.2397760E+06 
1.1949233E+00 1.2057019E+06 
1.2030196E+00 1.2331954E+06 
1.2111158E+00 1.2602320E+06 
1.2192122E+00 1.2635012E+06 
1.2273084E+00 1.2364364E+06 
1.2354046E+00 1.2146454E+06 
1.2435009E+00 1.2719240E+06 
1.2515972E+00 1.2710841E+06 
1.2596935E+00 1.2723091E+06 
1.2677897E+00 1.2478542E+06 
1.2758859E+00 1.3138546E+06 
1.2839823E+00 1.2973754E+06 
1.2920785E+00 1.2808559E+06 
1.3001748E+00 1.2612816E+06 
1.3082711E+00 1.2188774E+06 
1.3163674E+00 1.3400062E+06 
1.3244636E+00 1.3736971E+06 
1.3325598E+00 1.3530420E+06 
1.3406562E+00 1.3730191E+06 
1.3487524E+00 1.3146278E+06 
1.3568487E+00 1.2738359E+06 
1.3649449E+00 1.3117691E+06 
1.3730412E+00 1.2889400E+06 
1.3811375E+00 1.3447266E+06 
1.3892337E+00 1.3877686E+06 
1.3973300E+00 1.3582844E+06 
1.4054263E+00 1.3715108E+06 
1.4135225E+00 1.3804386E+06 
1.4216188E+00 1.4020844E+06 
1.4297150E+00 1.3913079E+06 
1.4378114E+00 1.3920324E+06 
1.4459076E+00 1.4308552E+06 
1.4540038E+00 1.4638836E+06 
1.4621001E+00 1.4335231E+06 
1.4701964E+00 1.5200501E+06 
1.4782927E+00 1.4512684E+06 
1.4863889E+00 1.4684431E+06 
1.4944851E+00 1.5086741E+06 
1.5025815E+00 1.5208166E+06 
1.5106777E+00 1.5553246E+06 
1.5187740E+00 1.5802435E+06 
1.5268703E+00 1.5615131E+06 
1.5349665E+00 1.5838195E+06 
1.5430628E+00 1.6101986E+06 
1.5511590E+00 1.5657126E+06 
1.5592554E+00 1.5616849E+06 
1.5673516E+00 1.5415835E+06 
1.5754479E+00 1.5607522E+06 
1.5835441E+00 1.5696588E+06 
1.5916404E+00 1.5858149E+06 
1.5997367E+00 1.6219238E+06 
1.6078329E+00 1.6128601E+06 
1.6159292E+00 1.5682549E+06 
1.6240255E+00 1.5670155E+06 
1.6321217E+00 1.5197864E+06 
1.6402180E+00 1.5294710E+06 
1.6483142E+00 1.5391305E+06 
1.6564106E+00 1.5490954E+06 
1.6645068E+00 1.5119992E+06 
1.6726030E+00 1.4998865E+06 
1.6806993E+00 1.5660869E+06 
1.6887956E+00 1.5408230E+06 
1.6968919E+00 1.5402624E+06 
1.7049881E+00 1.5384811E+06 
1.7130843E+00 1.5148868E+06 
1.7211807E+00 1.5618338E+06 
1.7292769E+00 1.5491844E+06 
1.7373732E+00 1.5283700E+06 
1.7454695E+00 1.5543686E+06 
1.7535657E+00 1.5366720E+06 
1.7616620E+00 1.5154549E+06 
1.7697582E+00 1.5273961E+06 
1.7778546E+00 1.5244416E+06 
1.7859508E+00 1.4545341E+06 
1.7940470E+00 1.4671795E+06 
1.8021433E+00 1.4922765E+06 
1.8102396E+00 1.4498141E+06 
1.8183359E+00 1.4585928E+06 
1.8264321E+00 1.4508711E+06 
1.8345284E+00 1.4667056E+06 
1.8426247E+00 1.5034605E+06 
1.8507209E+00 1.4655978E+06 
1.8588172E+00 1.4578910E+06 
1.8669134E+00 1.4474696E+06 
1.8750098E+00 1.4696961E+06 
1.8831060E+00 1.4535781E+06 
1.8912022E+00 1.4324394E+06 
1.8992985E+00 1.4606328E+06 
1.9073948E+00 1.4667362E+06 
1.9154911E+00 1.4464639E+06 
1.9235873E+00 1.4368444E+06 
1.9316835E+00 1.3943136E+06 
1.9397799E+00 1.4101365E+06 
1.9478761E+00 1.4199864E+06 
1.9559724E+00 1.4246100E+06 
1.9640687E+00 1.4245629E+06 
1.9721649E+00 1.4288380E+06 
1.9802612E+00 1.4388588E+06 
1.9883574E+00 1.4121815E+06 
