Q(1/nm) TTAB300_norm_minus_branco1_norm.dat 
1.3431242E-01 9.8915272E+07 
1.4240868E-01 9.0774216E+07 
1.5050495E-01 8.3912392E+07 
1.5860121E-01 7.8754648E+07 
1.6669747E-01 7.3994680E+07 
1.7479375E-01 7.0475072E+07 
1.8289001E-01 6.8656488E+07 
1.9098628E-01 6.6802840E+07 
1.9908255E-01 6.5695636E+07 
2.0717882E-01 6.6106612E+07 
2.1527508E-01 6.6968992E+07 
2.2337136E-01 6.9040384E+07 
2.3146760E-01 7.2061568E+07 
2.3956388E-01 7.6694208E+07 
2.4766015E-01 8.3255384E+07 
2.5575641E-01 9.2030872E+07 
2.6385269E-01 1.0371705E+08 
2.7194893E-01 1.1868652E+08 
2.8004521E-01 1.3854846E+08 
2.8814149E-01 1.6226704E+08 
2.9623777E-01 1.9297648E+08 
3.0433401E-01 2.2857394E+08 
3.1243026E-01 2.7030746E+08 
3.2052654E-01 3.1369056E+08 
3.2862282E-01 3.5366374E+08 
3.3671910E-01 3.8632646E+08 
3.4481534E-01 4.0218493E+08 
3.5291159E-01 3.9703798E+08 
3.6100787E-01 3.7079584E+08 
3.6910415E-01 3.2175222E+08 
3.7720042E-01 2.6446582E+08 
3.8529667E-01 2.0317757E+08 
3.9339295E-01 1.5037206E+08 
4.0148920E-01 1.0668003E+08 
4.0958548E-01 7.4651288E+07 
4.1768175E-01 5.3001784E+07 
4.2577800E-01 3.7995484E+07 
4.3387428E-01 2.8311014E+07 
4.4197056E-01 2.2539178E+07 
4.5006680E-01 1.8389654E+07 
4.5816308E-01 1.5852309E+07 
4.6625933E-01 1.4128135E+07 
4.7435561E-01 1.2991775E+07 
4.8245189E-01 1.1938471E+07 
4.9054813E-01 1.1316884E+07 
4.9864441E-01 1.0828846E+07 
5.0674069E-01 1.0516464E+07 
5.1483691E-01 1.0532600E+07 
5.2293324E-01 1.0359794E+07 
5.3102946E-01 1.0393414E+07 
5.3912574E-01 1.0682560E+07 
5.4722202E-01 1.0864684E+07 
5.5531824E-01 1.1265268E+07 
5.6341457E-01 1.1687575E+07 
5.7151079E-01 1.2354857E+07 
5.7960707E-01 1.2935059E+07 
5.8770335E-01 1.3653915E+07 
5.9579957E-01 1.4645424E+07 
6.0389590E-01 1.5664749E+07 
6.1199212E-01 1.6730040E+07 
6.2008840E-01 1.7907670E+07 
6.2818468E-01 1.9179890E+07 
6.3628095E-01 2.0518174E+07 
6.4437723E-01 2.1397580E+07 
6.5247345E-01 2.2514282E+07 
6.6056973E-01 2.3663442E+07 
6.6866601E-01 2.4425892E+07 
6.7676228E-01 2.4990660E+07 
6.8485856E-01 2.5250494E+07 
6.9295478E-01 2.5266916E+07 
7.0105106E-01 2.4768840E+07 
7.0914733E-01 2.4039594E+07 
7.1724361E-01 2.2789896E+07 
7.2533989E-01 2.1157314E+07 
7.3343617E-01 1.9285458E+07 
7.4153239E-01 1.7148688E+07 
7.4962866E-01 1.4917691E+07 
7.5772494E-01 1.2906391E+07 
7.6582122E-01 1.0968529E+07 
7.7391750E-01 9.1469470E+06 
7.8201371E-01 7.8583240E+06 
7.9010999E-01 6.6405280E+06 
7.9820627E-01 5.6768345E+06 
8.0630255E-01 5.0352665E+06 
8.1439883E-01 4.4695935E+06 
8.2249504E-01 3.9977390E+06 
8.3059132E-01 3.6632305E+06 
8.3868760E-01 3.4800182E+06 
8.4678388E-01 3.3159690E+06 
8.5488015E-01 3.1239018E+06 
8.6297643E-01 3.0195232E+06 
8.7107265E-01 2.9631522E+06 
8.7916893E-01 2.8764490E+06 
8.8726521E-01 2.8350270E+06 
8.9536148E-01 2.8969092E+06 
9.0345776E-01 2.8233188E+06 
9.1155398E-01 2.7573540E+06 
9.1965026E-01 2.7017068E+06 
9.2774653E-01 2.8174022E+06 
9.3584281E-01 2.7519675E+06 
9.4393909E-01 2.6997245E+06 
9.5203531E-01 2.6816472E+06 
9.6013159E-01 2.7002420E+06 
9.6822786E-01 2.6404772E+06 
9.7632414E-01 2.6144448E+06 
9.8442042E-01 2.5293882E+06 
9.9251670E-01 2.5812538E+06 
1.0006130E+00 2.5144480E+06 
1.0087092E+00 2.4659328E+06 
1.0168054E+00 2.4196382E+06 
1.0249017E+00 2.3472618E+06 
1.0329981E+00 2.3506532E+06 
1.0410943E+00 2.2794500E+06 
1.0491905E+00 2.2363368E+06 
1.0572867E+00 2.1167910E+06 
1.0653831E+00 2.0413350E+06 
1.0734794E+00 1.9869065E+06 
1.0815756E+00 1.8511749E+06 
1.0896719E+00 1.7610445E+06 
1.0977681E+00 1.7333669E+06 
1.1058644E+00 1.6024631E+06 
1.1139607E+00 1.5472472E+06 
1.1220570E+00 1.5663299E+06 
1.1301532E+00 1.5141655E+06 
1.1382495E+00 1.4398320E+06 
1.1463457E+00 1.4446735E+06 
1.1544420E+00 1.3743579E+06 
1.1625383E+00 1.3544458E+06 
1.1706345E+00 1.2916739E+06 
1.1787308E+00 1.2635780E+06 
1.1868271E+00 1.2929620E+06 
1.1949233E+00 1.3006655E+06 
1.2030196E+00 1.2790451E+06 
1.2111158E+00 1.2433109E+06 
1.2192122E+00 1.2362646E+06 
1.2273084E+00 1.2564421E+06 
1.2354046E+00 1.2878191E+06 
1.2435009E+00 1.2292301E+06 
1.2515972E+00 1.2239154E+06 
1.2596935E+00 1.1730670E+06 
1.2677897E+00 1.2168562E+06 
1.2758859E+00 1.2230020E+06 
1.2839823E+00 1.2361581E+06 
1.2920785E+00 1.2739779E+06 
1.3001748E+00 1.2687006E+06 
1.3082711E+00 1.2533839E+06 
1.3163674E+00 1.2678004E+06 
1.3244636E+00 1.2714851E+06 
1.3325598E+00 1.2573996E+06 
1.3406562E+00 1.3167282E+06 
1.3487524E+00 1.2257779E+06 
1.3568487E+00 1.2439665E+06 
1.3649449E+00 1.2380270E+06 
1.3730412E+00 1.2907512E+06 
1.3811375E+00 1.2476944E+06 
1.3892337E+00 1.2342606E+06 
1.3973300E+00 1.3313558E+06 
1.4054263E+00 1.3335119E+06 
1.4135225E+00 1.3451391E+06 
1.4216188E+00 1.3928305E+06 
1.4297150E+00 1.3650359E+06 
1.4378114E+00 1.4012469E+06 
1.4459076E+00 1.3841290E+06 
1.4540038E+00 1.4018102E+06 
1.4621001E+00 1.3767249E+06 
1.4701964E+00 1.4116185E+06 
1.4782927E+00 1.4189298E+06 
1.4863889E+00 1.4142869E+06 
1.4944851E+00 1.4297171E+06 
1.5025815E+00 1.4504636E+06 
1.5106777E+00 1.4531540E+06 
1.5187740E+00 1.4978851E+06 
1.5268703E+00 1.4386541E+06 
1.5349665E+00 1.4289260E+06 
1.5430628E+00 1.4455969E+06 
1.5511590E+00 1.4600325E+06 
1.5592554E+00 1.4319380E+06 
1.5673516E+00 1.4542484E+06 
1.5754479E+00 1.4725892E+06 
1.5835441E+00 1.4877318E+06 
1.5916404E+00 1.4782511E+06 
1.5997367E+00 1.4853691E+06 
1.6078329E+00 1.4891260E+06 
1.6159292E+00 1.4616456E+06 
1.6240255E+00 1.4566751E+06 
1.6321217E+00 1.4570536E+06 
1.6402180E+00 1.4945018E+06 
1.6483142E+00 1.5329465E+06 
1.6564106E+00 1.5610315E+06 
1.6645068E+00 1.5651990E+06 
1.6726030E+00 1.5481731E+06 
1.6806993E+00 1.5302552E+06 
1.6887956E+00 1.5682175E+06 
1.6968919E+00 1.5993756E+06 
1.7049881E+00 1.6106092E+06 
1.7130843E+00 1.5527834E+06 
1.7211807E+00 1.5380914E+06 
1.7292769E+00 1.6003250E+06 
1.7373732E+00 1.5726644E+06 
1.7454695E+00 1.6147361E+06 
1.7535657E+00 1.5850481E+06 
1.7616620E+00 1.6190082E+06 
1.7697582E+00 1.6184542E+06 
1.7778546E+00 1.6426020E+06 
1.7859508E+00 1.6394021E+06 
1.7940470E+00 1.6622044E+06 
1.8021433E+00 1.6960196E+06 
1.8102396E+00 1.6855975E+06 
1.8183359E+00 1.6658762E+06 
1.8264321E+00 1.6491639E+06 
1.8345284E+00 1.6490154E+06 
1.8426247E+00 1.6712725E+06 
1.8507209E+00 1.6970512E+06 
1.8588172E+00 1.6329048E+06 
1.8669134E+00 1.5841631E+06 
1.8750098E+00 1.6120825E+06 
1.8831060E+00 1.6011740E+06 
1.8912022E+00 1.6120949E+06 
1.8992985E+00 1.5924965E+06 
1.9073948E+00 1.5868976E+06 
1.9154911E+00 1.5889870E+06 
1.9235873E+00 1.5677684E+06 
1.9316835E+00 1.5941016E+06 
1.9397799E+00 1.5835679E+06 
1.9478761E+00 1.5533219E+06 
1.9559724E+00 1.5411511E+06 
1.9640687E+00 1.5530481E+06 
1.9721649E+00 1.5400814E+06 
1.9802612E+00 1.5252396E+06 
1.9883574E+00 1.5485939E+06 
1.9964538E+00 1.5495836E+06 
2.0045500E+00 1.5697276E+06 
2.0126462E+00 1.5290174E+06 
2.0207424E+00 1.5612282E+06 
2.0288386E+00 1.5579192E+06 
2.0369351E+00 1.6058812E+06 
2.0450313E+00 1.6008714E+06 
2.0531275E+00 1.5430108E+06 
2.0612240E+00 1.4626270E+06 
2.0693202E+00 1.5361326E+06 
2.0774164E+00 1.5632302E+06 
2.0855126E+00 1.5700519E+06 
2.0936089E+00 1.5197194E+06 
2.1017051E+00 1.4786611E+06 
2.1098013E+00 1.5205905E+06 
2.1178977E+00 1.5136839E+06 
2.1259940E+00 1.5293860E+06 
2.1340902E+00 1.4684242E+06 
2.1421864E+00 1.4950830E+06 
2.1502829E+00 1.5548801E+06 
2.1583791E+00 1.5004370E+06 
2.1664753E+00 1.5007909E+06 
2.1745715E+00 1.5030236E+06 
2.1826677E+00 1.5008728E+06 
2.1907642E+00 1.5159046E+06 
2.1988604E+00 1.5133489E+06 
2.2069566E+00 1.4465465E+06 
2.2150528E+00 1.4915346E+06 
2.2231493E+00 1.4673920E+06 
2.2312455E+00 1.4056221E+06 
2.2393417E+00 1.4291489E+06 
2.2474380E+00 1.4504636E+06 
2.2555342E+00 1.4364860E+06 
2.2636306E+00 1.3861051E+06 
2.2717268E+00 1.3665492E+06 
2.2798231E+00 1.3799039E+06 
2.2879193E+00 1.3598286E+06 
2.2960155E+00 1.3889480E+06 
2.3041120E+00 1.3964285E+06 
2.3122082E+00 1.3637818E+06 
2.3203044E+00 1.3456359E+06 
2.3284006E+00 1.3541044E+06 
2.3364968E+00 1.3482939E+06 
2.3445933E+00 1.3582631E+06 
2.3526895E+00 1.2901019E+06 
2.3607857E+00 1.3512821E+06 
2.3688819E+00 1.3517935E+06 
2.3769782E+00 1.3037398E+06 
2.3850746E+00 1.2979929E+06 
2.3931708E+00 1.2764815E+06 
2.4012671E+00 1.2981858E+06 
2.4093633E+00 1.3379032E+06 
2.4174595E+00 1.3620854E+06 
2.4255559E+00 1.3161365E+06 
2.4336522E+00 1.2851716E+06 
2.4417484E+00 1.2576021E+06 
2.4498446E+00 1.2167936E+06 
2.4579408E+00 1.2441015E+06 
2.4660373E+00 1.2914910E+06 
2.4741335E+00 1.2905686E+06 
2.4822297E+00 1.2638790E+06 
2.4903259E+00 1.2528091E+06 
2.4984221E+00 1.2747524E+06 
2.5065186E+00 1.2339598E+06 
2.5146148E+00 1.2692900E+06 
2.5227110E+00 1.2595386E+06 
2.5308073E+00 1.2272978E+06 
2.5389035E+00 1.1867712E+06 
2.5469999E+00 1.2185599E+06 
2.5550961E+00 1.1871391E+06 
2.5631924E+00 1.2052052E+06 
2.5712886E+00 1.2013952E+06 
2.5793848E+00 1.2144461E+06 
2.5874813E+00 1.2037782E+06 
2.5955775E+00 1.1744141E+06 
2.6036737E+00 1.1757625E+06 
2.6117699E+00 1.2047124E+06 
2.6198661E+00 1.1607840E+06 
2.6279626E+00 1.1744369E+06 
