Sac50-3 GP;Sac50-3 Eta;Sac50-3 T;Sac50-3 Tau
0,0000996;130;25,1;0,013
0,000137;136;25,1;0,0185
0,000186;149;25,1;0,0277
0,000259;154;25,1;0,0399
0,000351;149;25,1;0,0524
0,000475;147;25,1;0,0699
0,000652;149;25,1;0,0972
0,000897;147;25,1;0,132
0,00124;146;25,1;0,18100000000000002
0,00166;152;25,1;0,252
0,00231;148;25,1;0,341
0,00311;153;25,1;0,478
0,00425;153;25,1;0,6509999999999999
0,00586;152;25,1;0,893
0,00799;153;25,1;1,23
0,0109;153;25,1;1,67
0,0149;153;25,1;2,29
0,0204;153;25,1;3,13
0,0280;153;25,1;4,27
0,0382;152;25,1;5,82
0,0523;151;25,1;7,89
0,0715;149;25,1;10,7
0,0978;147;25,1;14,3
0,134;142;25,1;19,0
0,183;135;25,1;24,8
0,250;126;25,1;31,4
0,342;112;25,1;38,4
0,468;96,0;25,1;44,9
0,640;77,9;25,1;49,8
0,875;60,3;25,1;52,7
1,20;45,0;25,1;53,9
1,64;33,0;25,2;54,0
2,24;24,1;25,2;54,0
3,06;18,3;25,2;56,1
4,18;13,6;25,2;56,9
5,72;9,86;25,1;56,4
7,81;7,24;25,1;56,6
10,6;6,90;25,1;73,4
14,6;4,42;25,1;64,6
20,0;4,16;25,1;83,3
